model,accuracy_00_pd_toydata,brier_00_pd_toydata,f1_00_pd_toydata,precision_00_pd_toydata,recall_00_pd_toydata,h_measure_00_pd_toydata,aucroc_00_pd_toydata,aucpr_00_pd_toydata,accuracy_02_taiwan_creditcard,brier_02_taiwan_creditcard,f1_02_taiwan_creditcard,precision_02_taiwan_creditcard,recall_02_taiwan_creditcard,h_measure_02_taiwan_creditcard,aucroc_02_taiwan_creditcard,aucpr_02_taiwan_creditcard,accuracy_07_case_study,brier_07_case_study,f1_07_case_study,precision_07_case_study,recall_07_case_study,h_measure_07_case_study,aucroc_07_case_study,aucpr_07_case_study,accuracy_14_german_credit,brier_14_german_credit,f1_14_german_credit,precision_14_german_credit,recall_14_german_credit,h_measure_14_german_credit,aucroc_14_german_credit,aucpr_14_german_credit,accuracy_34_hmeq_data,brier_34_hmeq_data,f1_34_hmeq_data,precision_34_hmeq_data,recall_34_hmeq_data,h_measure_34_hmeq_data,aucroc_34_hmeq_data,aucpr_34_hmeq_data,accuracy_30_home_credit,brier_30_home_credit,f1_30_home_credit,precision_30_home_credit,recall_30_home_credit,h_measure_30_home_credit,aucroc_30_home_credit,aucpr_30_home_credit,accuracy_28_thomas,brier_28_thomas,f1_28_thomas,precision_28_thomas,recall_28_thomas,h_measure_28_thomas,aucroc_28_thomas,aucpr_28_thomas,accuracy_09_myhom,brier_09_myhom,f1_09_myhom,precision_09_myhom,recall_09_myhom,h_measure_09_myhom,aucroc_09_myhom,aucpr_09_myhom,accuracy_22_bank_status,brier_22_bank_status,f1_22_bank_status,precision_22_bank_status,recall_22_bank_status,h_measure_22_bank_status,aucroc_22_bank_status,aucpr_22_bank_status,accuracy_10_hackerearth,brier_10_hackerearth,f1_10_hackerearth,precision_10_hackerearth,recall_10_hackerearth,h_measure_10_hackerearth,aucroc_10_hackerearth,aucpr_10_hackerearth,accuracy_11_cobranded,brier_11_cobranded,f1_11_cobranded,precision_11_cobranded,recall_11_cobranded,h_measure_11_cobranded,aucroc_11_cobranded,aucpr_11_cobranded,accuracy_01_gmsc,brier_01_gmsc,f1_01_gmsc,precision_01_gmsc,recall_01_gmsc,h_measure_01_gmsc,aucroc_01_gmsc,aucpr_01_gmsc,accuracy_03_vehicle_loan,brier_03_vehicle_loan,f1_03_vehicle_loan,precision_03_vehicle_loan,recall_03_vehicle_loan,h_measure_03_vehicle_loan,aucroc_03_vehicle_loan,aucpr_03_vehicle_loan,accuracy_06_lendingclub,brier_06_lendingclub,f1_06_lendingclub,precision_06_lendingclub,recall_06_lendingclub,h_measure_06_lendingclub,aucroc_06_lendingclub,aucpr_06_lendingclub
ab,7.0,12.0,7.0,6.0,6.0,7.0,7.0,8.0,5.0,14.0,8.0,4.0,10.0,5.0,5.0,5.0,3.0,14.0,9.0,1.0,10.0,5.0,5.0,5.0,10.0,13.0,9.0,9.0,9.0,10.0,10.0,11.0,6.0,14.0,7.0,4.0,8.0,6.0,6.0,6.0,1.0,14.0,11.0,11.0,11.0,5.0,5.0,5.0,6.0,11.0,10.0,3.0,10.0,4.0,2.0,5.0,6.0,10.0,13.0,5.0,13.0,5.0,5.0,5.0,4.0,14.0,14.0,1.0,14.0,5.0,5.0,6.0,7.0,14.0,12.0,6.0,13.0,8.0,10.0,6.0,7.0,14.0,12.0,2.0,14.0,7.0,7.0,6.0,2.0,14.0,9.0,1.0,10.0,5.0,5.0,5.0,2.0,13.0,12.0,12.0,12.0,7.0,7.0,7.0,3.0,14.0,13.0,1.0,13.0,6.0,6.0,7.0
ann,13.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,12.0,9.0,15.0,1.0,15.0,12.0,12.0,12.0,8.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,4.0,3.0,14.0,5.0,14.0,2.0,2.0,8.0,13.0,12.0,15.0,12.0,15.0,15.0,15.0,14.0,1.0,6.0,11.0,11.0,11.0,7.0,7.0,7.0,4.0,2.0,14.0,14.0,14.0,3.0,3.0,3.0,3.0,7.0,15.0,15.0,15.0,10.0,10.0,10.0,2.0,8.0,12.0,1.0,13.0,10.0,10.0,10.0,10.0,10.0,15.0,7.0,15.0,12.0,12.0,12.0,10.0,9.0,15.0,1.0,15.0,11.0,11.0,10.0,8.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0,7.0,12.0,12.0,12.0,10.0,11.0,10.0,4.0,5.0,15.0,15.0,15.0,5.0,5.0,4.0
bnb,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,12.0,14.0,14.0,14.0,15.0,15.0,15.0,12.0,6.0,1.0,9.0,2.0,7.0,8.0,8.0,9.0,10.0,1.0,11.0,3.0,5.0,5.0,9.0,12.0,11.0,13.0,13.0,13.0,14.0,14.0,15.0,13.0,12.0,2.0,8.0,3.0,13.0,12.0,12.0,11.0,10.0,2.0,5.0,4.0,2.0,6.0,4.0,10.0,9.0,9.0,8.0,9.0,13.0,11.0,12.0,13.0,12.0,15.0,13.0,15.0,15.0,15.0,15.0,13.0,11.0,7.0,12.0,6.0,13.0,13.0,13.0,13.0,13.0,3.0,13.0,3.0,13.0,13.0,12.0,12.0,6.0,1.0,9.0,2.0,8.0,8.0,9.0,11.0,10.0,5.0,7.0,5.0,13.0,13.0,12.0,10.0,8.0,8.0,4.0,8.0,12.0,12.0,11.0
cb,5.0,3.0,5.0,5.0,6.0,5.0,4.0,4.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,9.0,1.0,1.0,2.0,6.0,7.0,10.0,2.0,10.0,7.0,6.0,5.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,7.0,1.0,6.0,1.0,6.0,2.0,1.0,1.0,1.0,6.0,11.0,8.0,11.0,8.0,4.0,2.0,5.0,6.0,11.0,3.0,12.0,4.0,4.0,4.0,10.0,3.0,6.0,9.0,6.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,6.0,5.0,2.0,2.0,4.0,3.0,1.0,7.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0,1.0,1.0,1.0,7.0,4.0,12.0,14.0,12.0,4.0,4.0,5.0
dt,12.0,11.0,12.0,3.0,12.0,13.0,14.0,14.0,10.0,11.0,9.0,11.0,8.0,13.0,14.0,13.0,13.0,11.0,4.0,10.0,4.0,10.0,12.0,11.0,13.0,14.0,7.0,13.0,5.0,15.0,15.0,15.0,7.0,7.0,6.0,10.0,7.0,7.0,9.0,8.0,12.0,11.0,4.0,7.0,4.0,11.0,13.0,13.0,13.0,14.0,3.0,12.0,3.0,15.0,14.0,14.0,12.0,14.0,5.0,12.0,5.0,12.0,13.0,13.0,11.0,10.0,3.0,11.0,4.0,11.0,11.0,13.0,6.0,9.0,6.0,8.0,9.0,10.0,11.0,9.0,12.0,12.0,13.0,12.0,8.0,15.0,15.0,15.0,13.0,12.0,4.0,10.0,4.0,10.0,12.0,11.0,12.0,11.0,4.0,8.0,4.0,12.0,12.0,13.0,13.0,12.0,3.0,10.0,3.0,15.0,15.0,15.0
gnb,10.0,10.0,11.0,10.0,10.0,12.0,10.0,7.0,15.0,15.0,5.0,15.0,1.0,9.0,8.0,11.0,14.0,13.0,11.0,12.0,3.0,12.0,10.0,12.0,15.0,15.0,5.0,15.0,1.0,11.0,12.0,12.0,14.0,13.0,10.0,14.0,9.0,12.0,12.0,12.0,15.0,15.0,3.0,10.0,1.0,15.0,15.0,15.0,15.0,15.0,1.0,11.0,1.0,7.0,5.0,9.0,15.0,15.0,2.0,11.0,1.0,9.0,9.0,9.0,15.0,15.0,2.0,15.0,1.0,12.0,12.0,12.0,15.0,15.0,10.0,15.0,1.0,15.0,15.0,15.0,15.0,15.0,2.0,15.0,2.0,12.0,12.0,13.0,14.0,13.0,11.0,12.0,3.0,12.0,10.0,12.0,15.0,15.0,2.0,11.0,1.0,11.0,10.0,11.0,14.0,13.0,2.0,9.0,2.0,8.0,7.0,8.0
knn,2.0,4.0,2.0,9.0,3.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,9.0,14.0,13.0,14.0,11.0,12.0,12.0,11.0,12.0,15.0,15.0,15.0,11.0,11.0,13.0,12.0,11.0,14.0,13.0,13.0,8.0,6.0,8.0,1.0,11.0,8.0,8.0,9.0,11.0,10.0,7.0,9.0,7.0,14.0,14.0,14.0,12.0,12.0,5.0,10.0,5.0,14.0,12.0,13.0,13.0,13.0,3.0,13.0,3.0,15.0,14.0,14.0,12.0,11.0,4.0,12.0,3.0,14.0,14.0,14.0,12.0,12.0,13.0,14.0,12.0,14.0,14.0,14.0,11.0,10.0,14.0,11.0,13.0,14.0,14.0,14.0,11.0,11.0,12.0,11.0,12.0,15.0,15.0,15.0,13.0,12.0,3.0,10.0,3.0,15.0,15.0,15.0,12.0,11.0,4.0,11.0,4.0,14.0,14.0,14.0
lda,11.0,9.0,10.0,12.0,2.0,8.0,12.0,12.0,7.0,7.0,12.0,3.0,12.0,11.0,11.0,10.0,10.0,7.0,10.0,8.0,11.0,11.0,11.0,10.0,8.0,8.0,2.0,10.0,4.0,9.0,9.0,6.0,10.0,9.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,8.0,5.0,5.0,5.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,5.0,7.0,10.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,1.0,4.0,7.0,13.0,3.0,12.0,7.0,7.0,7.0,8.0,6.0,9.0,11.0,8.0,7.0,7.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,7.0,10.0,8.0,11.0,11.0,11.0,10.0,9.0,5.0,8.0,4.0,8.0,5.0,5.0,6.0,9.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0
lgbm,4.0,5.0,4.0,1.0,9.0,4.0,5.0,5.0,4.0,3.0,6.0,8.0,6.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,6.0,3.0,4.0,4.0,12.0,9.0,15.0,1.0,15.0,12.0,11.0,10.0,4.0,5.0,3.0,6.0,3.0,4.0,4.0,4.0,7.0,3.0,9.0,2.0,9.0,3.0,3.0,4.0,7.0,5.0,8.0,4.0,8.0,9.0,11.0,8.0,9.0,4.0,12.0,6.0,11.0,7.0,6.0,6.0,8.0,1.0,7.0,8.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,6.0,4.0,7.0,4.0,4.0,3.0,5.0,4.0,8.0,4.0,9.0,2.0,3.0,3.0,6.0,2.0,7.0,2.0,7.0,2.0,2.0,2.0,6.0,6.0,14.0,8.0,14.0,7.0,8.0,6.0
lr,6.0,8.0,6.0,11.0,1.0,3.0,3.0,3.0,9.0,8.0,13.0,2.0,13.0,10.0,10.0,9.0,7.0,8.0,13.0,6.0,13.0,13.0,13.0,13.0,6.0,4.0,8.0,7.0,8.0,1.0,1.0,2.0,11.0,10.0,14.0,8.0,14.0,11.0,11.0,11.0,6.0,4.0,10.0,3.0,10.0,6.0,6.0,6.0,2.0,3.0,12.0,2.0,12.0,6.0,9.0,7.0,1.0,3.0,10.0,1.0,10.0,2.0,2.0,2.0,2.0,6.0,11.0,5.0,11.0,9.0,9.0,8.0,9.0,7.0,11.0,10.0,11.0,11.0,8.0,11.0,6.0,6.0,10.0,8.0,11.0,6.0,6.0,7.0,7.0,8.0,13.0,6.0,13.0,13.0,13.0,13.0,7.0,4.0,11.0,5.0,11.0,4.0,4.0,4.0,2.0,1.0,9.0,6.0,9.0,2.0,3.0,2.0
