model,split,mse,mae,r2,rmse
cb,0,3474.80798,45.79165,0.33497,58.9475
cb,1,3329.71241,46.6225,0.44555,57.70366
cb,2,4346.58797,52.10959,0.33752,65.92866
dt,0,6551.16047,65.25338,-0.2538,80.93924
dt,1,7344.11224,67.91837,-0.22291,85.6978
dt,2,7178.82653,64.98639,-0.09415,84.72796
lgbm,0,3530.67357,46.55569,0.32428,59.41947
lgbm,1,3079.98508,46.72668,0.48713,55.49761
lgbm,2,3991.8834,52.53655,0.39158,63.18135
lr,0,3244.53152,45.83038,0.37904,56.96079
lr,1,2995.21804,45.95149,0.50125,54.72859
lr,2,3076.74612,44.03889,0.53106,55.46842
rf,0,3531.31906,47.01277,0.32415,59.4249
rf,1,3090.38444,45.73646,0.4854,55.59123
rf,2,4209.67483,52.20571,0.35839,64.88201
tabnet,0,3401.13147,47.33498,0.34907,58.31922
tabnet,1,3464.92384,48.84947,0.42303,58.8636
tabnet,2,4012.37646,54.48995,0.38846,63.34332
tabpfn,0,3399.53022,46.36024,0.34938,58.30549
tabpfn,1,2798.14461,43.69146,0.53406,52.89749
tabpfn,2,2973.73127,44.64154,0.54676,54.53193
