model,split,mse,mae,r2,rmse
ab,0,0.10504,0.24518,0.43835,0.3241
ab,1,0.10766,0.24668,0.42453,0.32811
ab,2,0.10537,0.24259,0.43547,0.32461
ann,0,0.12858,0.30767,0.3125,0.35857
ann,1,0.13171,0.30993,0.29593,0.36292
ann,2,0.13172,0.31187,0.2943,0.36293
cb,0,0.09057,0.2138,0.51573,0.30094
cb,1,0.09194,0.21555,0.50853,0.30322
cb,2,0.08853,0.21077,0.52569,0.29754
dt,0,0.14247,0.17841,0.23823,0.37745
dt,1,0.14912,0.18556,0.20289,0.38616
dt,2,0.14749,0.18135,0.20983,0.38404
en,0,0.13707,0.32811,0.26707,0.37023
en,1,0.13934,0.32793,0.25519,0.37328
en,2,0.13908,0.32824,0.25486,0.37293
knn,0,0.12117,0.23496,0.3521,0.3481
knn,1,0.12513,0.23906,0.33113,0.35374
knn,2,0.12427,0.23877,0.33422,0.35252
lgbm,0,0.08263,0.19953,0.55819,0.28745
lgbm,1,0.08504,0.20236,0.54541,0.29162
lgbm,2,0.08027,0.19523,0.56993,0.28332
lr,0,0.11863,0.26691,0.36566,0.34443
lr,1,0.12292,0.26982,0.34294,0.3506
lr,2,0.11984,0.26661,0.35795,0.34618
rf,0,0.06709,0.17206,0.64127,0.25902
rf,1,0.06924,0.17612,0.62988,0.26314
rf,2,0.06649,0.17198,0.64377,0.25786
svr,0,0.13162,0.23341,0.29623,0.36279
svr,1,0.13548,0.23565,0.27579,0.36808
svr,2,0.13293,0.23135,0.28781,0.3646
tabnet,0,0.10789,0.24046,0.42313,0.32846
tabnet,1,0.10996,0.25386,0.41219,0.33161
tabnet,2,0.10648,0.24358,0.4295,0.32632
tabpfn,0,0.10148,0.21603,0.45739,0.31855
tabpfn,1,0.10097,0.2153,0.46024,0.31776
tabpfn,2,0.10246,0.21043,0.45106,0.3201
xgb,0,0.07884,0.18761,0.57842,0.28079
xgb,1,0.08196,0.19361,0.56189,0.28629
xgb,2,0.0784,0.18945,0.57997,0.28
