model,split,mse,mae,r2,rmse
ab,0,0.00061,0.02191,0.99184,0.02475
ab,1,0.00051,0.01905,0.99272,0.02256
ab,2,0.00055,0.02045,0.9927,0.02346
ann,0,0.04386,0.16715,0.41609,0.20943
ann,1,0.05525,0.19131,0.20961,0.23505
ann,2,0.0487,0.18106,0.35441,0.22068
cb,0,0.00021,0.00962,0.99719,0.01453
cb,1,0.00013,0.0076,0.99813,0.01144
cb,2,0.00017,0.00865,0.99775,0.01302
dt,0,0.0,0.00108,0.99994,0.00216
dt,1,0.0,0.00094,0.99997,0.00154
dt,2,0.0,0.00107,0.99996,0.0017
en,0,0.06442,0.2056,0.14234,0.25381
en,1,0.06656,0.21231,0.04787,0.25798
en,2,0.06583,0.21138,0.1273,0.25658
knn,0,0.05847,0.19033,0.22155,0.24181
knn,1,0.06472,0.20103,0.07408,0.25441
knn,2,0.0597,0.19552,0.20858,0.24434
lgbm,0,1e-05,0.00134,0.99993,0.00226
lgbm,1,0.0,0.00121,0.99995,0.00185
lgbm,2,0.0,0.00128,0.99995,0.00194
lr,0,0.30169,0.06515,-3.01643,0.54926
lr,1,71162040973.01334,6784.59134,-1018027221348.1499,266762.14307
lr,2,0.02562,0.10346,0.66035,0.16007
rf,0,0.0,0.00053,0.99999,0.0009
rf,1,0.0,0.0005,0.99999,0.0008
rf,2,0.0,0.00051,0.99999,0.00083
svr,0,0.01529,0.09038,0.7965,0.12363
svr,1,0.03585,0.12499,0.48718,0.18933
svr,2,0.02605,0.1265,0.65473,0.16139
tabnet,0,0.03222,0.14134,0.5711,0.17949
tabnet,1,0.06543,0.20397,0.06399,0.25579
tabnet,2,0.05689,0.1927,0.24583,0.23852
tabpfn,0,4e-05,0.00079,0.99948,0.00623
tabpfn,1,2e-05,0.0006,0.99971,0.00448
tabpfn,2,0.0,0.00059,0.99994,0.00215
xgb,0,1e-05,0.00224,0.99983,0.00353
xgb,1,1e-05,0.00201,0.99988,0.00286
xgb,2,1e-05,0.00211,0.99987,0.00311
