model,split,mse,mae,r2,rmse
ab,0,0.11005,0.28402,0.26593,0.33174
ab,1,0.08923,0.25181,0.33639,0.29871
ab,2,0.09456,0.24793,0.33438,0.3075
ann,0,0.11569,0.28922,0.22827,0.34014
ann,1,0.10803,0.28266,0.19653,0.32868
ann,2,0.11246,0.28208,0.20833,0.33536
cb,0,0.10495,0.24559,0.2999,0.32397
cb,1,0.08945,0.22093,0.33471,0.29908
cb,2,0.09252,0.22254,0.3487,0.30418
dt,0,0.20493,0.29324,-0.36698,0.45269
dt,1,0.18034,0.27035,-0.34126,0.42466
dt,2,0.18436,0.26867,-0.29774,0.42937
en,0,0.11104,0.28435,0.25933,0.33322
en,1,0.09793,0.25913,0.27163,0.31294
en,2,0.11014,0.26782,0.22471,0.33187
knn,0,0.11117,0.25,0.25843,0.33342
knn,1,0.1121,0.25689,0.16627,0.33481
knn,2,0.11883,0.25981,0.1635,0.34472
lgbm,0,0.10463,0.25156,0.30204,0.32347
lgbm,1,0.08974,0.22266,0.33258,0.29956
lgbm,2,0.09582,0.22787,0.32551,0.30955
lr,0,375.32101,3.7426,-2502.55624,19.3732
lr,1,901.12007,8.41625,-6701.08082,30.01866
lr,2,367974.01421,40.65727,-2590273.45925,606.60862
rf,0,0.10699,0.25696,0.28633,0.32709
rf,1,0.08485,0.21858,0.36892,0.29129
rf,2,0.09189,0.22955,0.35313,0.30314
svr,0,0.09507,0.24937,0.36586,0.30833
svr,1,0.09174,0.23367,0.31769,0.30288
svr,2,0.09498,0.233,0.33139,0.30819
tabnet,0,0.1525,0.32913,-0.01722,0.39051
tabnet,1,0.13551,0.33185,-0.00782,0.36811
tabnet,2,0.13223,0.32271,0.0692,0.36363
tabpfn,0,0.10727,0.2555,0.28447,0.32752
tabpfn,1,0.08808,0.23641,0.34489,0.29679
tabpfn,2,0.09657,0.22638,0.32022,0.31076
xgb,0,0.12691,0.25319,0.15347,0.35624
xgb,1,0.09642,0.22007,0.28288,0.31051
xgb,2,0.10418,0.2218,0.26662,0.32278
