dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
03_vehicle_loan,off,False,ab,0,0.78202,0.24569,0.02023,0.42373,0.01036,0.06104,0.63358,0.30672,6.375303
03_vehicle_loan,off,False,ab,1,0.78166,0.24567,0.01728,0.46715,0.0088,0.07191,0.64527,0.32284,8.48093
03_vehicle_loan,off,False,ab,2,0.78394,0.24568,0.03433,0.46715,0.01782,0.0684,0.64312,0.31365,7.46513
03_vehicle_loan,off,False,ann,0,0.78283,0.16824,0.0,0.0,0.0,0.02125,0.57254,0.26343,1852.421863
03_vehicle_loan,off,False,ann,1,0.78193,0.16878,0.0,0.0,0.0,0.02355,0.57444,0.2719,1662.199394
03_vehicle_loan,off,False,ann,2,0.78448,0.16699,0.0,0.0,0.0,0.02378,0.57637,0.26701,1763.346757
03_vehicle_loan,off,False,bnb,0,0.76726,0.17708,0.10042,0.31264,0.05981,0.01648,0.55735,0.25346,0.413084
03_vehicle_loan,off,False,bnb,1,0.77017,0.17617,0.1068,0.35015,0.06301,0.01859,0.55954,0.26238,0.372057
03_vehicle_loan,off,False,bnb,2,0.76912,0.17518,0.10636,0.32073,0.06375,0.01786,0.56488,0.25727,0.490743
03_vehicle_loan,off,False,cb,0,0.78256,0.16255,0.04152,0.48607,0.02169,0.07243,0.64676,0.32225,33.49713
03_vehicle_loan,off,False,cb,1,0.78172,0.16214,0.04011,0.48875,0.02091,0.07942,0.65416,0.3303,26.217301
03_vehicle_loan,off,False,cb,2,0.78403,0.16126,0.04611,0.47934,0.02422,0.07729,0.6521,0.32227,41.960836
03_vehicle_loan,off,False,dt,0,0.66719,0.33284,0.25653,0.24912,0.2644,0.0029,0.52163,0.22562,1.941367
03_vehicle_loan,off,False,dt,1,0.66451,0.3355,0.26432,0.25328,0.27638,0.00365,0.52456,0.22781,1.184683
03_vehicle_loan,off,False,dt,2,0.66613,0.3338,0.26361,0.25123,0.27728,0.00389,0.52532,0.22545,1.833424
03_vehicle_loan,off,False,gnb,0,0.24972,0.741,0.35993,0.22089,0.9714,0.03041,0.5916,0.26723,0.385255
03_vehicle_loan,off,False,gnb,1,0.25695,0.73374,0.36139,0.22237,0.96409,0.02957,0.59057,0.27708,0.161043
03_vehicle_loan,off,False,gnb,2,0.35709,0.5077,0.36398,0.23131,0.85356,0.02998,0.59114,0.27016,0.306007
03_vehicle_loan,off,False,knn,0,0.74387,0.19696,0.16654,0.28386,0.11783,0.01034,0.55112,0.2419,1.974161
03_vehicle_loan,off,False,knn,1,0.74416,0.19555,0.16244,0.2839,0.11377,0.01207,0.55688,0.24527,1.767594
03_vehicle_loan,off,False,knn,2,0.74761,0.19325,0.17946,0.29977,0.12806,0.01481,0.56178,0.24757,2.296301
03_vehicle_loan,off,False,lda,0,0.78235,0.1641,0.01118,0.41837,0.00566,0.05993,0.63332,0.304,3.906498
03_vehicle_loan,off,False,lda,1,0.78157,0.16346,0.0079,0.41429,0.00399,0.06859,0.64284,0.31769,3.059683
03_vehicle_loan,off,False,lda,2,0.78415,0.16229,0.0164,0.45802,0.00835,0.06907,0.64285,0.31326,4.299662
03_vehicle_loan,off,False,lgbm,0,0.78286,0.16292,0.02558,0.50265,0.01312,0.06818,0.64231,0.31731,779.68251
03_vehicle_loan,off,False,lgbm,1,0.7822,0.1621,0.02262,0.5283,0.01156,0.07897,0.65292,0.33033,840.976946
03_vehicle_loan,off,False,lgbm,2,0.78475,0.16122,0.02765,0.52308,0.0142,0.07528,0.64888,0.32345,774.510528
03_vehicle_loan,off,False,lr,0,0.78247,0.16387,0.00766,0.41176,0.00387,0.06054,0.63442,0.30598,1.98945
03_vehicle_loan,off,False,lr,1,0.78166,0.16339,0.00492,0.4,0.00248,0.06839,0.64265,0.31802,1.277185
03_vehicle_loan,off,False,lr,2,0.78436,0.16201,0.01101,0.47619,0.00557,0.06968,0.64371,0.3155,1.560908
03_vehicle_loan,off,False,rf,0,0.77497,0.16928,0.07884,0.35509,0.04434,0.04302,0.61238,0.28922,25.449827
03_vehicle_loan,off,False,rf,1,0.7735,0.1691,0.07566,0.34372,0.04251,0.04574,0.61628,0.29401,21.886425
03_vehicle_loan,off,False,rf,2,0.77575,0.16865,0.09229,0.36156,0.0529,0.04277,0.61273,0.28815,18.489421
03_vehicle_loan,off,False,tabnet,0,0.56102,0.23784,0.39249,0.28057,0.65299,0.05273,0.62485,0.29393,215.816994
03_vehicle_loan,off,False,tabnet,1,0.56275,0.24204,0.40176,0.2863,0.67327,0.06161,0.6351,0.30526,174.271624
03_vehicle_loan,off,False,tabnet,2,0.56185,0.23897,0.39636,0.28188,0.66746,0.06308,0.63727,0.30688,101.92891
03_vehicle_loan,off,False,tabpfn,0,0.78283,0.16648,0.0,0.0,0.0,0.05979,0.63148,0.30896,377.522923
03_vehicle_loan,off,False,tabpfn,1,0.7819,0.16647,0.0,0.0,0.0,0.04673,0.61448,0.29769,393.648816
03_vehicle_loan,off,False,tabpfn,2,0.78448,0.16536,0.0,0.0,0.0,0.06148,0.63342,0.31085,390.874506
03_vehicle_loan,off,False,xgb,0,0.77851,0.16572,0.07097,0.39831,0.03896,0.05847,0.63085,0.3071,224.425256
03_vehicle_loan,off,False,xgb,1,0.77788,0.16485,0.06915,0.40146,0.03783,0.0666,0.64051,0.31477,211.920298
03_vehicle_loan,off,False,xgb,2,0.77893,0.1645,0.07599,0.38306,0.04218,0.06276,0.63706,0.30513,194.322599
