dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,off,True,ab,0,0.83746,0.16784,0.0,0.0,0.0,0.086,0.65802,0.25028,0.286051
06_lendingclub,off,True,ab,1,0.84278,0.16617,0.0,0.0,0.0,0.09202,0.65546,0.25951,0.305107
06_lendingclub,off,True,ab,2,0.8396,0.16701,0.0,0.0,0.0,0.08852,0.65832,0.25022,0.303481
06_lendingclub,off,True,ann,0,0.83746,0.13063,0.0,0.0,0.0,0.102,0.66383,0.27586,1.114468
06_lendingclub,off,True,ann,1,0.84278,0.12654,0.0,0.0,0.0,0.10237,0.66274,0.27181,1.24859
06_lendingclub,off,True,ann,2,0.8396,0.12988,0.0,0.0,0.0,0.09562,0.65794,0.27133,1.32908
06_lendingclub,off,True,bnb,0,0.83589,0.13082,0.0038,0.14286,0.00193,0.08175,0.64021,0.25908,0.005435
06_lendingclub,off,True,bnb,1,0.84435,0.12722,0.03495,0.69231,0.01793,0.08144,0.63584,0.25919,0.005359
06_lendingclub,off,True,bnb,2,0.83615,0.13209,0.06104,0.37778,0.0332,0.06204,0.62238,0.24324,0.005788
06_lendingclub,off,True,cb,0,0.83746,0.1292,0.0,0.0,0.0,0.11157,0.67368,0.28204,0.209556
06_lendingclub,off,True,cb,1,0.84278,0.12585,0.0,0.0,0.0,0.10642,0.67141,0.27952,0.224014
06_lendingclub,off,True,cb,2,0.83991,0.12866,0.0039,1.0,0.00195,0.10124,0.66523,0.26948,0.216623
06_lendingclub,off,True,dt,0,0.83746,0.13229,0.0,0.0,0.0,0.05879,0.61374,0.22529,0.011931
06_lendingclub,off,True,dt,1,0.84278,0.12784,0.0,0.0,0.0,0.074,0.63753,0.22861,0.012958
06_lendingclub,off,True,dt,2,0.8396,0.13085,0.0,0.0,0.0,0.06309,0.62595,0.2196,0.012517
06_lendingclub,off,True,gnb,0,0.7839,0.16248,0.30444,0.31924,0.29094,0.10789,0.67211,0.28331,0.006201
06_lendingclub,off,True,gnb,1,0.77012,0.1859,0.26453,0.26613,0.26295,0.07868,0.64255,0.24605,0.007332
06_lendingclub,off,True,gnb,2,0.78008,0.17263,0.3008,0.30691,0.29492,0.09658,0.65903,0.26788,0.006243
06_lendingclub,off,True,knn,0,0.83746,0.13496,0.0226,0.5,0.01156,0.05478,0.62572,0.22901,0.019081
06_lendingclub,off,True,knn,1,0.8409,0.13029,0.04511,0.4,0.0239,0.06946,0.63239,0.24108,0.022545
06_lendingclub,off,True,knn,2,0.83709,0.13661,0.02985,0.33333,0.01562,0.03669,0.60033,0.21655,0.02041
06_lendingclub,off,True,lda,0,0.83558,0.12896,0.06417,0.42857,0.03468,0.11886,0.6764,0.28939,0.014561
06_lendingclub,off,True,lda,1,0.84278,0.12574,0.11307,0.5,0.06375,0.11418,0.67398,0.28539,0.013183
06_lendingclub,off,True,lda,2,0.83866,0.12812,0.10122,0.47541,0.05664,0.114,0.67681,0.28642,0.008201
06_lendingclub,off,True,lgbm,0,0.83652,0.12947,0.0,0.0,0.0,0.10173,0.66375,0.2738,0.071543
06_lendingclub,off,True,lgbm,1,0.84278,0.12599,0.00791,0.5,0.00398,0.10219,0.66442,0.27394,0.317142
06_lendingclub,off,True,lgbm,2,0.83929,0.12996,0.00774,0.4,0.00391,0.08084,0.65302,0.24862,0.317653
06_lendingclub,off,True,lr,0,0.83714,0.12858,0.01141,0.42857,0.00578,0.11189,0.67197,0.28653,0.039444
06_lendingclub,off,True,lr,1,0.84247,0.12548,0.03824,0.47619,0.01992,0.1089,0.66662,0.2806,0.037918
06_lendingclub,off,True,lr,2,0.84211,0.12746,0.04545,0.75,0.02344,0.10951,0.6723,0.28364,0.040335
06_lendingclub,off,True,rf,0,0.83714,0.12909,0.0,0.0,0.0,0.10968,0.67521,0.2818,0.246205
06_lendingclub,off,True,rf,1,0.84309,0.12598,0.00398,1.0,0.00199,0.101,0.66237,0.27879,0.330669
06_lendingclub,off,True,rf,2,0.83991,0.12881,0.0039,1.0,0.00195,0.094,0.65992,0.26494,0.325912
06_lendingclub,off,True,tabnet,0,0.62856,0.23849,0.33446,0.23595,0.57418,0.08263,0.64714,0.25414,9.811839
06_lendingclub,off,True,tabnet,1,0.65738,0.22785,0.31454,0.22943,0.5,0.07951,0.6392,0.25455,11.346136
06_lendingclub,off,True,tabnet,2,0.62782,0.22118,0.3093,0.2202,0.51953,0.07366,0.64175,0.24185,4.88811
06_lendingclub,off,True,xgb,0,0.83714,0.12885,0.0,0.0,0.0,0.11164,0.67517,0.28425,0.029136
06_lendingclub,off,True,xgb,1,0.84341,0.12559,0.00794,1.0,0.00398,0.10533,0.66786,0.28296,0.028094
06_lendingclub,off,True,xgb,2,0.83991,0.12856,0.0039,1.0,0.00195,0.09354,0.66232,0.26911,0.02841
06_lendingclub,off,False,tabpfn,0,0.83714,0.12818,0.04412,0.48,0.02312,0.11563,0.67716,0.29033,10.301792
06_lendingclub,off,False,tabpfn,1,0.84215,0.12527,0.05263,0.46667,0.02789,0.10899,0.66881,0.28251,6.913368
06_lendingclub,off,False,tabpfn,2,0.84054,0.12858,0.04143,0.57895,0.02148,0.10404,0.67318,0.27348,6.722345
