dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
07_case_study,off,False,ab,0,0.93628,0.23476,0.28868,0.54904,0.19582,0.37951,0.83097,0.3556,3.470121
07_case_study,off,False,ab,1,0.93604,0.23457,0.26635,0.5505,0.17567,0.36756,0.82409,0.34791,4.279576
07_case_study,off,False,ab,2,0.93652,0.23485,0.27929,0.57024,0.18493,0.36987,0.82951,0.36094,3.510369
07_case_study,off,False,ann,0,0.93397,0.0613,0.0,0.0,0.0,0.05471,0.63069,0.10846,929.440843
07_case_study,off,False,ann,1,0.93391,0.06122,0.0,0.0,0.0,0.05695,0.6352,0.10703,818.136928
07_case_study,off,False,ann,2,0.93349,0.06163,0.0,0.0,0.0,0.05647,0.63256,0.11146,934.482533
07_case_study,off,False,bnb,0,0.92689,0.05635,0.3863,0.43333,0.34848,0.36606,0.80376,0.32808,0.278288
07_case_study,off,False,bnb,1,0.92902,0.05631,0.37007,0.44752,0.31548,0.3441,0.79331,0.31887,0.190384
07_case_study,off,False,bnb,2,0.92734,0.05627,0.38246,0.43988,0.33829,0.35035,0.79558,0.33354,0.402566
07_case_study,off,False,cb,0,0.93691,0.04937,0.30156,0.56049,0.20627,0.42786,0.86223,0.38651,27.878193
07_case_study,off,False,cb,1,0.93679,0.0503,0.2732,0.56897,0.17975,0.40632,0.854,0.36755,15.886553
07_case_study,off,False,cb,2,0.93616,0.04976,0.28447,0.55878,0.1908,0.42557,0.86474,0.38379,27.959793
07_case_study,off,False,dt,0,0.89545,0.10456,0.26647,0.24824,0.2876,0.12523,0.61317,0.11851,0.595788
07_case_study,off,False,dt,1,0.89917,0.10082,0.25427,0.2487,0.2601,0.11243,0.60244,0.11367,0.547548
07_case_study,off,False,dt,2,0.89515,0.10483,0.26126,0.24582,0.27876,0.11914,0.60912,0.11658,0.916227
07_case_study,off,False,gnb,0,0.9322,0.06308,0.06457,0.36279,0.03544,0.15201,0.70526,0.17361,0.151668
07_case_study,off,False,gnb,1,0.93295,0.0651,0.04528,0.38406,0.02406,0.13681,0.69683,0.16189,0.160057
07_case_study,off,False,gnb,2,0.93202,0.0637,0.06209,0.37688,0.03383,0.13721,0.69449,0.16702,0.163591
07_case_study,off,False,knn,0,0.9334,0.06379,0.08491,0.45778,0.0468,0.08911,0.61541,0.12201,1.708854
07_case_study,off,False,knn,1,0.93283,0.06437,0.05806,0.39655,0.03132,0.07649,0.6045,0.11231,1.068206
07_case_study,off,False,knn,2,0.9328,0.06539,0.06355,0.43429,0.03428,0.06635,0.60008,0.10955,1.815539
07_case_study,off,False,lda,0,0.93454,0.05708,0.1766,0.52116,0.10632,0.22091,0.69876,0.24074,0.711135
07_case_study,off,False,lda,1,0.93364,0.05765,0.16085,0.48961,0.09623,0.2125,0.68154,0.23157,0.283113
07_case_study,off,False,lda,2,0.93424,0.05699,0.15951,0.53197,0.09382,0.21829,0.69269,0.24648,0.802786
07_case_study,off,False,lgbm,0,0.9379,0.04872,0.29783,0.58768,0.19945,0.42824,0.86021,0.39353,695.224064
07_case_study,off,False,lgbm,1,0.9376,0.04927,0.26761,0.59655,0.17249,0.41106,0.85462,0.38616,658.565948
07_case_study,off,False,lgbm,2,0.93757,0.04904,0.28068,0.60059,0.18313,0.42362,0.86293,0.39854,822.975636
07_case_study,off,False,lr,0,0.93412,0.06014,0.03175,0.53731,0.01636,0.09155,0.66695,0.13769,0.429013
07_case_study,off,False,lr,1,0.93406,0.06033,0.02484,0.54902,0.01271,0.08382,0.66118,0.12846,0.492893
07_case_study,off,False,lr,2,0.93379,0.06051,0.02989,0.58621,0.01534,0.08479,0.66222,0.13261,0.580638
07_case_study,off,False,rf,0,0.93586,0.0504,0.2713,0.54297,0.18083,0.39402,0.83963,0.35818,12.224678
07_case_study,off,False,rf,1,0.93688,0.05048,0.26434,0.57534,0.17158,0.38671,0.83632,0.35853,15.184394
07_case_study,off,False,rf,2,0.93658,0.05046,0.25929,0.58085,0.16689,0.39393,0.84118,0.36766,14.700853
07_case_study,off,False,tabnet,0,0.81187,0.15786,0.32678,0.21394,0.6915,0.36969,0.82363,0.34111,253.458912
07_case_study,off,False,tabnet,1,0.81202,0.15781,0.31698,0.20858,0.66001,0.34039,0.8102,0.33115,133.631404
07_case_study,off,False,tabnet,2,0.67537,0.22026,0.2545,0.15019,0.83311,0.39644,0.84473,0.37134,146.455727
07_case_study,off,False,tabpfn,0,0.93718,0.05045,0.19647,0.6321,0.11631,0.41861,0.85244,0.39018,115.730312
07_case_study,off,False,tabpfn,1,0.93763,0.05125,0.20619,0.64904,0.12256,0.40084,0.84903,0.37627,117.039296
07_case_study,off,False,tabpfn,2,0.93706,0.05065,0.19493,0.65296,0.11457,0.41184,0.85513,0.39574,112.66742
07_case_study,off,False,xgb,0,0.93685,0.05066,0.30961,0.5566,0.21445,0.39978,0.84738,0.36656,227.407549
07_case_study,off,False,xgb,1,0.93538,0.05146,0.27475,0.53194,0.1852,0.38107,0.84176,0.34883,215.218393
07_case_study,off,False,xgb,2,0.93484,0.05086,0.28553,0.52734,0.19576,0.40197,0.85077,0.3701,116.054045
