dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
07_case_study,off,True,ab,0,0.93607,0.17036,0.20986,0.57056,0.12858,0.37688,0.8265,0.33993,1.815499
07_case_study,off,True,ab,1,0.9361,0.16987,0.19804,0.58057,0.11938,0.36362,0.82275,0.33812,1.746118
07_case_study,off,True,ab,2,0.93658,0.17084,0.21413,0.60888,0.12991,0.36748,0.82563,0.35382,1.674357
07_case_study,off,True,ann,0,0.93397,0.06111,0.0,0.0,0.0,0.06649,0.6453,0.1148,5.653378
07_case_study,off,True,ann,1,0.93391,0.06116,0.0,0.0,0.0,0.06007,0.64011,0.10844,6.263519
07_case_study,off,True,ann,2,0.93349,0.06159,0.0,0.0,0.0,0.06435,0.64302,0.11177,5.908399
07_case_study,off,True,bnb,0,0.92689,0.05635,0.3863,0.43333,0.34848,0.36614,0.80378,0.32805,0.053355
07_case_study,off,True,bnb,1,0.92902,0.0563,0.37007,0.44752,0.31548,0.34412,0.79336,0.31895,0.048014
07_case_study,off,True,bnb,2,0.92734,0.05627,0.38246,0.43988,0.33829,0.3504,0.79555,0.33358,0.058259
07_case_study,off,True,cb,0,0.93853,0.0483,0.30707,0.60053,0.20627,0.43459,0.86422,0.40151,0.889334
07_case_study,off,True,cb,1,0.93817,0.049,0.2771,0.60957,0.1793,0.41849,0.85738,0.3951,0.965815
07_case_study,off,True,cb,2,0.93739,0.0485,0.2796,0.59559,0.18268,0.43393,0.86801,0.40872,0.952697
07_case_study,off,True,dt,0,0.93604,0.05091,0.24824,0.55433,0.15993,0.37707,0.81073,0.32709,0.103207
07_case_study,off,True,dt,1,0.93592,0.05136,0.28032,0.54379,0.18883,0.36787,0.81008,0.31934,0.102778
07_case_study,off,True,dt,2,0.93625,0.05073,0.27301,0.56516,0.17997,0.38471,0.81497,0.3387,0.103512
07_case_study,off,True,gnb,0,0.93298,0.06602,0.04693,0.38462,0.02499,0.1469,0.70895,0.16852,0.042949
07_case_study,off,True,gnb,1,0.93346,0.06585,0.04397,0.4359,0.02315,0.13724,0.70509,0.1605,0.054482
07_case_study,off,True,gnb,2,0.93235,0.06629,0.0457,0.36986,0.02436,0.13815,0.70594,0.16229,0.055893
07_case_study,off,True,knn,0,0.93403,0.05994,0.01611,0.52941,0.00818,0.1074,0.65761,0.14234,0.797475
07_case_study,off,True,knn,1,0.93424,0.06038,0.02055,0.65714,0.01044,0.09557,0.65082,0.13345,0.797091
07_case_study,off,True,knn,2,0.9337,0.06109,0.01778,0.60606,0.00902,0.08378,0.63942,0.1287,0.795355
07_case_study,off,True,lda,0,0.93454,0.05708,0.1766,0.52116,0.10632,0.22091,0.69876,0.24074,0.103346
07_case_study,off,True,lda,1,0.93364,0.05765,0.16085,0.48961,0.09623,0.2125,0.68154,0.23157,0.071666
07_case_study,off,True,lda,2,0.93424,0.05699,0.15951,0.53197,0.09382,0.21829,0.69269,0.24648,0.083409
07_case_study,off,True,lgbm,0,0.93766,0.04841,0.26624,0.59746,0.17129,0.43393,0.86368,0.39767,0.400345
07_case_study,off,True,lgbm,1,0.93817,0.04913,0.24973,0.63051,0.1557,0.41705,0.857,0.39114,0.646395
07_case_study,off,True,lgbm,2,0.93787,0.04864,0.24167,0.64202,0.14885,0.43306,0.86578,0.40595,0.63691
07_case_study,off,True,lr,0,0.93463,0.05693,0.08637,0.55978,0.0468,0.19849,0.70065,0.23158,0.715264
07_case_study,off,True,lr,1,0.9343,0.0575,0.07203,0.5414,0.03858,0.19009,0.68641,0.22082,0.70772
07_case_study,off,True,lr,2,0.9343,0.05738,0.07125,0.59574,0.03789,0.19226,0.6974,0.23457,0.667241
07_case_study,off,True,rf,0,0.93685,0.04916,0.26629,0.57186,0.17356,0.41641,0.85398,0.37974,3.382422
07_case_study,off,True,rf,1,0.93718,0.04961,0.24892,0.59316,0.15751,0.40867,0.85202,0.37707,3.495567
07_case_study,off,True,rf,2,0.93685,0.04936,0.25169,0.59396,0.15968,0.41745,0.85547,0.38823,3.474624
07_case_study,off,True,tabnet,0,0.80281,0.15972,0.3237,0.20923,0.71468,0.38466,0.83338,0.35611,65.254532
07_case_study,off,True,tabnet,1,0.85864,0.13429,0.36048,0.25712,0.60281,0.35676,0.81854,0.34232,34.993079
07_case_study,off,True,tabnet,2,0.79225,0.17209,0.31252,0.20036,0.70997,0.36907,0.82435,0.3594,60.064098
07_case_study,off,True,xgb,0,0.93886,0.0484,0.32112,0.60175,0.21899,0.43334,0.86352,0.40376,0.136469
07_case_study,off,True,xgb,1,0.93814,0.04911,0.28303,0.60475,0.18475,0.41622,0.8571,0.38945,0.146647
07_case_study,off,True,xgb,2,0.93781,0.04861,0.28983,0.60256,0.1908,0.43337,0.86757,0.40399,0.216846
07_case_study,off,False,tabpfn,0,0.93718,0.05045,0.19647,0.6321,0.11631,0.41861,0.85244,0.39018,115.730312
07_case_study,off,False,tabpfn,1,0.93763,0.05125,0.20619,0.64904,0.12256,0.40084,0.84903,0.37627,117.039296
07_case_study,off,False,tabpfn,2,0.93706,0.05065,0.19493,0.65296,0.11457,0.41184,0.85513,0.39574,112.66742
