dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
10_hackerearth,off,False,ab,0,0.83083,0.2393,0.48032,0.84803,0.33505,0.32199,0.80291,0.64875,16.229432
10_hackerearth,off,False,ab,1,0.82762,0.23928,0.47275,0.86385,0.32542,0.31318,0.7983,0.64548,11.793714
10_hackerearth,off,False,ab,2,0.82819,0.23955,0.47386,0.83815,0.3303,0.31771,0.80145,0.64457,12.315557
10_hackerearth,off,False,ann,0,0.78106,0.15816,0.18166,0.71053,0.10414,0.17916,0.72443,0.47461,3129.391456
10_hackerearth,off,False,ann,1,0.77455,0.16114,0.14006,0.74362,0.07731,0.16444,0.71157,0.47189,3488.143696
10_hackerearth,off,False,ann,2,0.78184,0.15966,0.21857,0.67891,0.13025,0.17254,0.71828,0.47449,2889.495157
10_hackerearth,off,False,bnb,0,0.73835,0.1709,0.46713,0.44505,0.49151,0.18052,0.73284,0.46254,0.311256
10_hackerearth,off,False,bnb,1,0.73075,0.17676,0.46261,0.43973,0.488,0.16824,0.72323,0.45873,1.093255
10_hackerearth,off,False,bnb,2,0.73222,0.17555,0.46551,0.43713,0.49782,0.17206,0.72505,0.45869,0.293186
10_hackerearth,off,False,cb,0,0.90058,0.0771,0.75124,0.9026,0.64335,0.6476,0.92781,0.85577,18.116413
10_hackerearth,off,False,cb,1,0.8995,0.07864,0.75258,0.90594,0.64363,0.64092,0.92551,0.85318,65.64715
10_hackerearth,off,False,cb,2,0.90142,0.07779,0.75286,0.91199,0.64101,0.63603,0.92398,0.85201,22.147588
10_hackerearth,off,False,dt,0,0.772,0.228,0.51844,0.51112,0.52597,0.1939,0.68643,0.37944,2.290452
10_hackerearth,off,False,dt,1,0.77422,0.22578,0.52714,0.52438,0.52994,0.20176,0.69012,0.38952,2.930427
10_hackerearth,off,False,dt,2,0.77293,0.22707,0.5262,0.51463,0.53829,0.20178,0.6915,0.38517,1.769525
10_hackerearth,off,False,gnb,0,0.27677,0.72283,0.38986,0.2427,0.99023,0.01987,0.53997,0.24874,0.302641
10_hackerearth,off,False,gnb,1,0.2766,0.72298,0.3948,0.24634,0.99356,0.01797,0.53418,0.25062,0.269618
10_hackerearth,off,False,gnb,2,0.28977,0.70793,0.39047,0.24436,0.97118,0.04068,0.58974,0.27627,0.204455
10_hackerearth,off,False,knn,0,0.75193,0.1842,0.31326,0.44241,0.24248,0.08191,0.643,0.33948,2.280431
10_hackerearth,off,False,knn,1,0.74389,0.18963,0.30992,0.4303,0.24217,0.07181,0.63398,0.33526,4.155763
10_hackerearth,off,False,knn,2,0.74521,0.18907,0.30709,0.42302,0.24103,0.06963,0.63099,0.33025,2.012302
10_hackerearth,off,False,lda,0,0.79327,0.14271,0.44557,0.59536,0.356,0.29032,0.7919,0.52354,10.20968
10_hackerearth,off,False,lda,1,0.78838,0.14624,0.44131,0.59151,0.35195,0.27216,0.7821,0.52253,25.52858
10_hackerearth,off,False,lda,2,0.79303,0.14243,0.43631,0.60257,0.34196,0.29089,0.79062,0.53149,11.124616
10_hackerearth,off,False,lgbm,0,0.88723,0.08602,0.70259,0.91339,0.57084,0.60308,0.91557,0.83592,641.398801
10_hackerearth,off,False,lgbm,1,0.88363,0.08946,0.69593,0.91696,0.56076,0.58776,0.91017,0.82937,888.426385
10_hackerearth,off,False,lgbm,2,0.88795,0.08654,0.70505,0.91946,0.57172,0.60053,0.91484,0.83275,669.751555
10_hackerearth,off,False,lr,0,0.79183,0.14307,0.39886,0.61142,0.29596,0.28165,0.78948,0.52291,3.119062
10_hackerearth,off,False,lr,1,0.78553,0.14663,0.38524,0.60329,0.28297,0.26417,0.77926,0.52139,2.757402
10_hackerearth,off,False,lr,2,0.79123,0.14377,0.39047,0.61762,0.28548,0.27709,0.7852,0.52773,1.696601
10_hackerearth,off,False,rf,0,0.83365,0.12477,0.47064,0.91398,0.31692,0.34748,0.81667,0.66714,20.557607
10_hackerearth,off,False,rf,1,0.82882,0.12687,0.46017,0.91635,0.30723,0.34681,0.81692,0.67055,23.887783
10_hackerearth,off,False,rf,2,0.83179,0.12557,0.46226,0.9202,0.30866,0.34751,0.81666,0.66819,20.063436
10_hackerearth,off,False,tabnet,0,0.8371,0.12227,0.66838,0.63658,0.70352,0.47272,0.87345,0.73722,1585.172901
10_hackerearth,off,False,tabnet,1,0.8056,0.14608,0.63186,0.57413,0.7025,0.42069,0.84541,0.71355,1486.628819
10_hackerearth,off,False,tabnet,2,0.67408,0.19991,0.48692,0.38568,0.66022,0.20283,0.73633,0.5254,699.687634
10_hackerearth,off,False,tabpfn,0,0.83917,0.1375,0.63794,0.67193,0.60723,0.42922,0.8523,0.73145,965.062411
10_hackerearth,off,False,tabpfn,1,0.84118,0.13577,0.6247,0.71179,0.55659,0.41328,0.84376,0.72005,952.193806
10_hackerearth,off,False,tabpfn,2,0.8557,0.12716,0.63372,0.78156,0.53291,0.43472,0.85095,0.73487,950.605087
10_hackerearth,off,False,xgb,0,0.89866,0.07941,0.74757,0.89258,0.6431,0.62107,0.92222,0.84504,223.721354
10_hackerearth,off,False,xgb,1,0.89683,0.08051,0.74667,0.89556,0.64022,0.62156,0.92046,0.84422,194.073804
10_hackerearth,off,False,xgb,2,0.89827,0.08019,0.74703,0.89459,0.64127,0.61522,0.91941,0.8418,39.458855
