dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
14_german_credit,off,False,ab,0,0.76577,0.24088,0.58947,0.56,0.62222,0.33656,0.79616,0.52541,0.105449
14_german_credit,off,False,ab,1,0.71471,0.24303,0.47514,0.52439,0.43434,0.19458,0.70409,0.45855,0.099062
14_german_credit,off,False,ab,2,0.74775,0.24278,0.53846,0.69014,0.44144,0.28947,0.77009,0.65609,0.127446
14_german_credit,off,False,ann,0,0.76577,0.16004,0.50633,0.58824,0.44444,0.30492,0.7834,0.53959,9.750207
14_german_credit,off,False,ann,1,0.75075,0.16387,0.41135,0.69048,0.29293,0.33932,0.8048,0.60387,16.471442
14_german_credit,off,False,ann,2,0.72372,0.17852,0.39474,0.73171,0.27027,0.30725,0.78504,0.65445,19.707627
14_german_credit,off,False,bnb,0,0.73273,0.18969,0.57416,0.5042,0.66667,0.29243,0.76914,0.50071,0.016993
14_german_credit,off,False,bnb,1,0.73574,0.17502,0.57282,0.5514,0.59596,0.31002,0.78965,0.597,0.011509
14_german_credit,off,False,bnb,2,0.72673,0.18518,0.54726,0.61111,0.4955,0.29364,0.7794,0.63746,0.020899
14_german_credit,off,False,cb,0,0.79279,0.15343,0.58182,0.64,0.53333,0.34058,0.79332,0.60101,4.059012
14_german_credit,off,False,cb,1,0.75375,0.16547,0.49383,0.63492,0.40404,0.30988,0.78822,0.59259,4.784123
14_german_credit,off,False,cb,2,0.74174,0.1764,0.46914,0.7451,0.34234,0.32382,0.7958,0.6674,6.527431
14_german_credit,off,False,dt,0,0.70571,0.29429,0.46154,0.45652,0.46667,0.09407,0.63045,0.35719,0.023512
14_german_credit,off,False,dt,1,0.64565,0.35435,0.39796,0.40206,0.39394,0.02978,0.57304,0.33857,0.024424
14_german_credit,off,False,dt,2,0.69369,0.30631,0.50485,0.54737,0.46847,0.10592,0.63739,0.4336,0.023597
14_german_credit,off,False,gnb,0,0.51051,0.45564,0.50153,0.34599,0.91111,0.24658,0.73832,0.45971,0.015058
14_german_credit,off,False,gnb,1,0.40841,0.55356,0.47185,0.32117,0.88889,0.22132,0.72436,0.53007,0.010266
14_german_credit,off,False,gnb,2,0.4955,0.46407,0.53333,0.38554,0.86486,0.27814,0.74247,0.60335,0.021183
14_german_credit,off,False,knn,0,0.73874,0.19868,0.43137,0.52381,0.36667,0.11671,0.66271,0.39414,0.328655
14_german_credit,off,False,knn,1,0.74775,0.18414,0.48148,0.61905,0.39394,0.19048,0.72313,0.50883,0.428806
14_german_credit,off,False,knn,2,0.6967,0.20841,0.41618,0.58065,0.32432,0.14262,0.69252,0.50716,0.478773
14_german_credit,off,False,lda,0,0.75075,0.17069,0.55615,0.53608,0.57778,0.31072,0.78473,0.55652,1.22313
14_german_credit,off,False,lda,1,0.73574,0.16902,0.49425,0.57333,0.43434,0.30582,0.78408,0.58582,1.90533
14_german_credit,off,False,lda,2,0.75375,0.17321,0.52326,0.7377,0.40541,0.31851,0.78488,0.68185,1.981454
14_german_credit,off,False,lgbm,0,0.77177,0.17124,0.56818,0.5814,0.55556,0.29726,0.77595,0.6001,238.232471
14_german_credit,off,False,lgbm,1,0.72372,0.2009,0.45882,0.5493,0.39394,0.25155,0.73634,0.50576,422.620058
14_german_credit,off,False,lgbm,2,0.74474,0.19124,0.52514,0.69118,0.42342,0.29936,0.7852,0.63175,494.614232
14_german_credit,off,False,lr,0,0.73273,0.16445,0.50829,0.50549,0.51111,0.32254,0.7823,0.55602,0.155231
14_german_credit,off,False,lr,1,0.75375,0.16399,0.51765,0.61972,0.44444,0.31484,0.78891,0.59071,0.028865
14_german_credit,off,False,lr,2,0.75676,0.17143,0.50909,0.77778,0.37838,0.3318,0.79511,0.68761,0.069436
14_german_credit,off,False,rf,0,0.78679,0.15832,0.54194,0.64615,0.46667,0.31205,0.78868,0.59005,0.14425
14_german_credit,off,False,rf,1,0.75976,0.16111,0.46667,0.68627,0.35354,0.32584,0.80579,0.62199,0.452468
14_german_credit,off,False,rf,2,0.74174,0.17329,0.4557,0.76596,0.32432,0.32207,0.79523,0.66024,0.393453
14_german_credit,off,False,tabnet,0,0.6036,0.24256,0.44538,0.35811,0.58889,0.08857,0.62689,0.37339,5.664131
14_german_credit,off,False,tabnet,1,0.4955,0.25034,0.45098,0.33333,0.69697,0.07415,0.58864,0.40912,2.605609
14_german_credit,off,False,tabnet,2,0.37538,0.26035,0.50476,0.34304,0.95495,0.12878,0.66902,0.48578,2.891747
14_german_credit,off,False,tabpfn,0,0.78378,0.15943,0.56098,0.62162,0.51111,0.32629,0.78665,0.58368,8.421108
14_german_credit,off,False,tabpfn,1,0.75375,0.16831,0.53409,0.61039,0.47475,0.2903,0.7723,0.58743,11.904217
14_german_credit,off,False,tabpfn,2,0.72372,0.17429,0.41772,0.70213,0.2973,0.33157,0.80213,0.65975,11.406672
14_german_credit,off,False,xgb,0,0.75976,0.18181,0.55056,0.55682,0.54444,0.2895,0.7684,0.57723,171.092557
14_german_credit,off,False,xgb,1,0.71171,0.21984,0.46067,0.51899,0.41414,0.18887,0.71186,0.49922,217.410801
14_german_credit,off,False,xgb,2,0.73874,0.20622,0.50847,0.68182,0.40541,0.27026,0.75728,0.62187,225.102011
