dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
22_bank_status,on (ratio=0.1),True,tabpfn_auto,0,0.81976,0.15917,0.32805,1.0,0.19621,0.22384,0.73722,0.54654,30912.446145
22_bank_status,on (ratio=0.1),True,tabpfn_auto,1,0.81934,0.15958,0.34187,1.0,0.20617,0.23202,0.74107,0.55833,36441.523687
22_bank_status,on (ratio=0.1),True,tabpfn_auto,2,0.81826,0.1617,0.33337,1.0,0.20003,0.22089,0.73378,0.54645,36408.923698
22_bank_status,on (ratio=0.1),True,ab,0,0.81976,0.17836,0.32805,1.0,0.19621,0.22738,0.7427,0.54581,7.332192
22_bank_status,on (ratio=0.1),True,ab,1,0.81934,0.1779,0.34187,1.0,0.20617,0.23562,0.74743,0.55423,11.634059
22_bank_status,on (ratio=0.1),True,ab,2,0.81826,0.17925,0.33337,1.0,0.20003,0.22596,0.74003,0.54334,5.331823
22_bank_status,on (ratio=0.1),True,ann,0,0.77577,0.16285,0.0,0.0,0.0,0.2019,0.71234,0.51772,1125.309404
22_bank_status,on (ratio=0.1),True,ann,1,0.77242,0.16546,0.0,0.0,0.0,0.21268,0.71886,0.53336,2043.387763
22_bank_status,on (ratio=0.1),True,ann,2,0.77281,0.16696,0.0,0.0,0.0,0.20457,0.71167,0.52423,630.379892
22_bank_status,on (ratio=0.1),True,bnb,0,0.77574,0.18471,0.0,0.0,0.0,0.02802,0.58533,0.28024,0.142683
22_bank_status,on (ratio=0.1),True,bnb,1,0.77242,0.1871,0.00053,0.5,0.00027,0.03091,0.58957,0.28926,0.129125
22_bank_status,on (ratio=0.1),True,bnb,2,0.77281,0.18688,0.0,0.0,0.0,0.03015,0.58588,0.28727,0.088107
22_bank_status,on (ratio=0.1),True,cb,0,0.81979,0.14776,0.3305,0.98993,0.19836,0.23805,0.75367,0.5612,2.670528
22_bank_status,on (ratio=0.1),True,cb,1,0.81955,0.14818,0.34443,0.99431,0.20829,0.24403,0.75574,0.5709,2.544901
22_bank_status,on (ratio=0.1),True,cb,2,0.81826,0.1494,0.33543,0.99088,0.20188,0.23749,0.75242,0.56304,1.430679
22_bank_status,on (ratio=0.1),True,dt,0,0.81934,0.14993,0.33069,0.9769,0.19903,0.22065,0.7363,0.52692,0.535181
22_bank_status,on (ratio=0.1),True,dt,1,0.81919,0.15039,0.34684,0.97489,0.21094,0.22449,0.73566,0.53501,0.528249
22_bank_status,on (ratio=0.1),True,dt,2,0.81786,0.15181,0.33641,0.9764,0.20321,0.21468,0.72877,0.52743,0.357529
22_bank_status,on (ratio=0.1),True,gnb,0,0.80345,0.1593,0.36173,0.66535,0.24839,0.2003,0.71183,0.50458,0.141337
22_bank_status,on (ratio=0.1),True,gnb,1,0.80402,0.15973,0.3697,0.68958,0.25255,0.20895,0.71728,0.51932,0.164196
22_bank_status,on (ratio=0.1),True,gnb,2,0.80752,0.16118,0.361,0.73442,0.23932,0.20261,0.70901,0.51704,0.111026
22_bank_status,on (ratio=0.1),True,knn,0,0.81515,0.15706,0.29879,1.0,0.17563,0.16511,0.67585,0.45987,1.114465
22_bank_status,on (ratio=0.1),True,knn,1,0.81349,0.15897,0.30654,0.99636,0.18113,0.16517,0.67092,0.46453,0.966057
22_bank_status,on (ratio=0.1),True,knn,2,0.81286,0.15928,0.29971,1.0,0.17627,0.16762,0.67326,0.46401,0.651336
22_bank_status,on (ratio=0.1),True,lda,0,0.81973,0.17043,0.32786,1.0,0.19607,0.20892,0.72281,0.52962,0.258512
22_bank_status,on (ratio=0.1),True,lda,1,0.81931,0.15893,0.34212,0.99808,0.20644,0.21308,0.72251,0.53677,0.194603
22_bank_status,on (ratio=0.1),True,lda,2,0.81826,0.16933,0.33337,1.0,0.20003,0.21035,0.72108,0.53462,0.125164
22_bank_status,on (ratio=0.1),True,lgbm,0,0.81979,0.14786,0.32824,1.0,0.19634,0.24247,0.7578,0.56484,552.066654
22_bank_status,on (ratio=0.1),True,lgbm,1,0.81949,0.14802,0.34278,1.0,0.20684,0.2502,0.76168,0.57638,314.125868
22_bank_status,on (ratio=0.1),True,lgbm,2,0.81826,0.14944,0.33337,1.0,0.20003,0.24159,0.75606,0.56797,164.442907
22_bank_status,on (ratio=0.1),True,lr,0,0.81973,0.1507,0.32786,1.0,0.19607,0.21336,0.72784,0.53401,12.088874
22_bank_status,on (ratio=0.1),True,lr,1,0.81934,0.15134,0.34187,1.0,0.20617,0.22115,0.73163,0.54492,10.483022
22_bank_status,on (ratio=0.1),True,lr,2,0.81826,0.15279,0.33337,1.0,0.20003,0.20871,0.71863,0.53184,8.54682
22_bank_status,on (ratio=0.1),True,rf,0,0.81976,0.14798,0.32805,1.0,0.19621,0.24282,0.75892,0.56632,8.982479
22_bank_status,on (ratio=0.1),True,rf,1,0.81937,0.1481,0.34205,1.0,0.20631,0.24998,0.76013,0.57841,6.427979
22_bank_status,on (ratio=0.1),True,rf,2,0.81826,0.14958,0.33337,1.0,0.20003,0.24255,0.75722,0.5691,4.950119
22_bank_status,on (ratio=0.1),True,tabnet,0,0.66763,0.19672,0.4557,0.36007,0.62049,0.21674,0.73093,0.53762,201.797962
22_bank_status,on (ratio=0.1),True,tabnet,1,0.66537,0.19709,0.45574,0.36178,0.61561,0.21832,0.7288,0.5417,132.130488
22_bank_status,on (ratio=0.1),True,tabnet,2,0.69522,0.1938,0.45199,0.38207,0.55323,0.20994,0.72293,0.53057,91.793921
22_bank_status,on (ratio=0.1),True,tabpfn,0,0.81976,0.15779,0.32805,1.0,0.19621,0.19731,0.70689,0.50685,153.676727
