dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
28_thomas,off,True,ab,0,0.77017,0.2026,0.24194,0.625,0.15,0.1553,0.67987,0.4176,0.061207
28_thomas,off,True,ab,1,0.7402,0.20732,0.23188,0.51613,0.14953,0.06274,0.58222,0.34461,0.059767
28_thomas,off,True,ab,2,0.71569,0.21107,0.0,0.0,0.0,0.10219,0.63681,0.42416,0.05915
28_thomas,off,True,ann,0,0.7555,0.17673,0.0,0.0,0.0,0.10537,0.64375,0.38522,0.180256
28_thomas,off,True,ann,1,0.73775,0.19187,0.0,0.0,0.0,0.07006,0.57284,0.35812,0.187511
28_thomas,off,True,ann,2,0.71569,0.19644,0.0,0.0,0.0,0.08889,0.61836,0.42349,0.194179
28_thomas,off,True,bnb,0,0.7335,0.19849,0.38418,0.44156,0.34,0.09945,0.62136,0.37326,0.003157
28_thomas,off,True,bnb,1,0.69363,0.22875,0.34555,0.39286,0.30841,0.06052,0.58301,0.35251,0.003287
28_thomas,off,True,bnb,2,0.72304,0.19882,0.36158,0.52459,0.27586,0.12566,0.62599,0.44685,0.003343
28_thomas,off,True,cb,0,0.75795,0.17878,0.18182,0.52381,0.11,0.09476,0.62566,0.37611,0.343548
28_thomas,off,True,cb,1,0.73284,0.18949,0.22695,0.47059,0.14953,0.08023,0.61577,0.36386,0.358187
28_thomas,off,True,cb,2,0.72059,0.19266,0.10938,0.58333,0.06034,0.10831,0.63694,0.43536,0.340276
28_thomas,off,True,dt,0,0.7555,0.19014,0.21875,0.5,0.14,0.0715,0.62862,0.32422,0.00378
28_thomas,off,True,dt,1,0.71078,0.21644,0.21333,0.37209,0.14953,0.0428,0.57297,0.3375,0.003571
28_thomas,off,True,dt,2,0.71569,0.2163,0.32558,0.5,0.24138,0.05354,0.57035,0.33875,0.003555
28_thomas,off,True,gnb,0,0.68949,0.25214,0.41475,0.38462,0.45,0.12841,0.64584,0.39828,0.003364
28_thomas,off,True,gnb,1,0.625,0.31621,0.33188,0.31148,0.35514,0.04939,0.56332,0.31946,0.002932
28_thomas,off,True,gnb,2,0.70098,0.25901,0.35789,0.45946,0.2931,0.08085,0.60337,0.4042,0.002894
28_thomas,off,True,knn,0,0.76284,0.18217,0.15652,0.6,0.09,0.07424,0.62201,0.35178,0.015648
28_thomas,off,True,knn,1,0.72794,0.20156,0.16541,0.42308,0.1028,0.02893,0.56019,0.31048,0.003886
28_thomas,off,True,knn,2,0.73039,0.20521,0.1129,0.875,0.06034,0.0622,0.56712,0.37459,0.004047
28_thomas,off,True,lda,0,0.7555,0.17142,0.21875,0.5,0.14,0.14839,0.66835,0.42519,0.003475
28_thomas,off,True,lda,1,0.70833,0.20229,0.26994,0.39286,0.20561,0.07452,0.5788,0.34795,0.003553
28_thomas,off,True,lda,2,0.72549,0.19964,0.21127,0.57692,0.12931,0.07831,0.5948,0.39624,0.003561
28_thomas,off,True,lgbm,0,0.73105,0.18797,0.26667,0.4,0.2,0.09051,0.62819,0.3558,0.050797
28_thomas,off,True,lgbm,1,0.71078,0.20669,0.28916,0.40678,0.2243,0.07321,0.59912,0.36055,0.29596
28_thomas,off,True,lgbm,2,0.71814,0.20736,0.34286,0.50847,0.25862,0.10325,0.61417,0.41962,0.211761
28_thomas,off,True,lr,0,0.7555,0.17852,0.0,0.0,0.0,0.11389,0.6423,0.39971,0.009798
28_thomas,off,True,lr,1,0.7402,0.19074,0.01852,1.0,0.00935,0.05712,0.5634,0.3526,0.013569
28_thomas,off,True,lr,2,0.71569,0.19632,0.0,0.0,0.0,0.10353,0.64206,0.43195,0.006961
28_thomas,off,True,rf,0,0.7555,0.18113,0.0,0.0,0.0,0.13365,0.63752,0.39678,0.023284
28_thomas,off,True,rf,1,0.73775,0.19058,0.0,0.0,0.0,0.05235,0.5741,0.33912,0.029725
28_thomas,off,True,rf,2,0.71569,0.20071,0.0,0.0,0.0,0.08926,0.61319,0.429,0.046675
28_thomas,off,True,tabnet,0,0.7555,0.19795,0.0,0.0,0.0,0.06402,0.58939,0.33467,1.973054
28_thomas,off,True,tabnet,1,0.67892,0.22244,0.19632,0.28571,0.14953,0.01704,0.53034,0.27098,0.943085
28_thomas,off,True,tabnet,2,0.66667,0.21412,0.12821,0.25,0.08621,0.04423,0.57121,0.33228,1.282118
28_thomas,off,True,xgb,0,0.73594,0.19452,0.26027,0.41304,0.19,0.0943,0.62238,0.35302,0.012527
28_thomas,off,True,xgb,1,0.71078,0.21646,0.32955,0.42029,0.27103,0.07028,0.59082,0.36019,0.017317
28_thomas,off,True,xgb,2,0.71324,0.22045,0.29091,0.4898,0.2069,0.05745,0.58652,0.38054,0.013629
28_thomas,off,True,tabpfn_rf,0,0.76039,0.18487,0.22222,0.53846,0.14,0.09817,0.59476,0.37408,103.655393
28_thomas,off,True,tabpfn_rf,1,0.73039,0.20264,0.25676,0.46341,0.17757,0.06718,0.5952,0.34666,106.772918
28_thomas,off,True,tabpfn_rf,2,0.72059,0.20585,0.24,0.52941,0.15517,0.06666,0.59622,0.37606,109.108874
28_thomas,off,False,tabpfn,0,0.77506,0.17704,0.28125,0.64286,0.18,0.12395,0.63783,0.40235,6.708814
28_thomas,off,False,tabpfn,1,0.72304,0.19467,0.20979,0.41667,0.14019,0.06902,0.60532,0.35094,2.12382
28_thomas,off,False,tabpfn,2,0.72549,0.19329,0.06667,1.0,0.03448,0.11541,0.64832,0.45115,10.649473
