dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,on (ratio=0.1),False,ab,0,0.88123,0.23232,0.623,0.84416,0.49367,0.53455,0.88492,0.76134,0.200335
34_hmeq_data,on (ratio=0.1),False,ab,1,0.87921,0.23014,0.59322,0.87065,0.44987,0.54423,0.88436,0.75476,0.25274
34_hmeq_data,on (ratio=0.1),False,ab,2,0.88922,0.23194,0.66049,0.88066,0.5284,0.59355,0.91725,0.80438,0.186817
34_hmeq_data,on (ratio=0.1),False,ann,0,0.80121,0.15797,0.0,0.0,0.0,0.20933,0.73797,0.4593,17.720462
34_hmeq_data,on (ratio=0.1),False,ann,1,0.80423,0.15761,0.0,0.0,0.0,0.17838,0.69929,0.42928,14.141613
34_hmeq_data,on (ratio=0.1),False,ann,2,0.79607,0.16666,0.0,0.0,0.0,0.17814,0.70473,0.44431,15.901747
34_hmeq_data,on (ratio=0.1),False,bnb,0,0.81228,0.1449,0.22129,0.63095,0.13418,0.21958,0.73106,0.43478,0.012787
34_hmeq_data,on (ratio=0.1),False,bnb,1,0.82084,0.14207,0.21586,0.75385,0.12596,0.2482,0.74504,0.46495,0.014125
34_hmeq_data,on (ratio=0.1),False,bnb,2,0.81319,0.14302,0.21564,0.75,0.12593,0.26129,0.76046,0.49393,0.016588
34_hmeq_data,on (ratio=0.1),False,cb,0,0.89331,0.07923,0.65132,0.92958,0.50127,0.64804,0.9336,0.84714,1.777043
34_hmeq_data,on (ratio=0.1),False,cb,1,0.88676,0.08184,0.61005,0.93617,0.45244,0.6391,0.92446,0.8366,1.798483
34_hmeq_data,on (ratio=0.1),False,cb,2,0.89778,0.07396,0.6793,0.94298,0.53086,0.7055,0.95268,0.88236,1.684457
34_hmeq_data,on (ratio=0.1),False,dt,0,0.86412,0.13588,0.59941,0.72401,0.51139,0.3481,0.73151,0.46739,0.031509
34_hmeq_data,on (ratio=0.1),False,dt,1,0.86059,0.13941,0.5822,0.70438,0.49614,0.329,0.72273,0.44811,0.033667
34_hmeq_data,on (ratio=0.1),False,dt,2,0.87664,0.12336,0.65444,0.76316,0.57284,0.41547,0.76365,0.52428,0.030692
34_hmeq_data,on (ratio=0.1),False,gnb,0,0.78913,0.18962,0.40903,0.46178,0.36709,0.25667,0.77386,0.48063,0.013562
34_hmeq_data,on (ratio=0.1),False,gnb,1,0.81983,0.16608,0.43711,0.56275,0.35733,0.28291,0.77656,0.51665,0.016848
34_hmeq_data,on (ratio=0.1),False,gnb,2,0.79456,0.18362,0.456,0.49565,0.42222,0.26666,0.75473,0.53615,0.01162
34_hmeq_data,on (ratio=0.1),False,knn,0,0.82033,0.13759,0.2049,0.85185,0.11646,0.36688,0.76203,0.52705,0.529634
34_hmeq_data,on (ratio=0.1),False,knn,1,0.82084,0.13937,0.16432,0.94595,0.08997,0.36191,0.75791,0.52485,0.523848
34_hmeq_data,on (ratio=0.1),False,knn,2,0.81974,0.13938,0.21145,0.97959,0.11852,0.413,0.78119,0.56389,0.522149
34_hmeq_data,on (ratio=0.1),False,lda,0,0.82335,0.14201,0.37876,0.62941,0.27089,0.30321,0.79162,0.54327,0.054787
34_hmeq_data,on (ratio=0.1),False,lda,1,0.8309,0.13558,0.35878,0.6963,0.24165,0.30678,0.78784,0.56723,0.035839
34_hmeq_data,on (ratio=0.1),False,lda,2,0.83837,0.13008,0.44174,0.74706,0.31358,0.33067,0.80516,0.61113,0.020881
34_hmeq_data,on (ratio=0.1),False,lgbm,0,0.8928,0.08449,0.657,0.90265,0.51646,0.64193,0.92511,0.82665,292.251677
34_hmeq_data,on (ratio=0.1),False,lgbm,1,0.88878,0.09077,0.63228,0.89623,0.48843,0.60592,0.91412,0.80388,258.770647
34_hmeq_data,on (ratio=0.1),False,lgbm,2,0.89325,0.08201,0.67584,0.88755,0.54568,0.67664,0.93911,0.85521,238.15782
34_hmeq_data,on (ratio=0.1),False,lr,0,0.82084,0.13839,0.18349,0.97561,0.10127,0.30027,0.78735,0.54501,0.064233
34_hmeq_data,on (ratio=0.1),False,lr,1,0.82235,0.13824,0.18476,0.90909,0.10283,0.28473,0.77005,0.54357,0.087328
34_hmeq_data,on (ratio=0.1),False,lr,2,0.82024,0.13733,0.21538,0.98,0.12099,0.3208,0.79324,0.60126,0.020565
34_hmeq_data,on (ratio=0.1),False,rf,0,0.8772,0.0822,0.55636,0.9871,0.38734,0.6885,0.94912,0.86755,0.601564
34_hmeq_data,on (ratio=0.1),False,rf,1,0.87871,0.08412,0.55617,0.98052,0.38817,0.69487,0.95254,0.86594,0.484342
34_hmeq_data,on (ratio=0.1),False,rf,2,0.88318,0.07853,0.60678,0.96757,0.44198,0.72159,0.96148,0.89088,0.484345
34_hmeq_data,on (ratio=0.1),False,tabnet,0,0.77957,0.21375,0.42216,0.44077,0.40506,0.16819,0.6889,0.43236,3.835531
34_hmeq_data,on (ratio=0.1),False,tabnet,1,0.78309,0.14747,0.52376,0.4593,0.60925,0.33115,0.80955,0.58756,21.213808
34_hmeq_data,on (ratio=0.1),False,tabnet,2,0.77795,0.14543,0.56891,0.47087,0.71852,0.38405,0.82824,0.65098,19.591261
34_hmeq_data,on (ratio=0.1),False,tabpfn,0,0.9074,0.07338,0.7125,0.93061,0.57722,0.63837,0.93101,0.85022,3.318207
34_hmeq_data,on (ratio=0.1),False,tabpfn,1,0.89381,0.07896,0.64657,0.92788,0.49614,0.64501,0.92287,0.83564,3.027946
34_hmeq_data,on (ratio=0.1),False,tabpfn,2,0.90634,0.06635,0.71118,0.95816,0.56543,0.72271,0.95775,0.89804,1.815765
34_hmeq_data,on (ratio=0.1),False,xgb,0,0.8923,0.08476,0.6677,0.86345,0.5443,0.6251,0.92105,0.81711,65.203587
34_hmeq_data,on (ratio=0.1),False,xgb,1,0.88374,0.09301,0.61436,0.87619,0.47301,0.60611,0.91394,0.80091,66.34084
34_hmeq_data,on (ratio=0.1),False,xgb,2,0.89325,0.08353,0.67781,0.88142,0.55062,0.67449,0.94275,0.85386,46.746959
