dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
34_hmeq_data,on (ratio=0.1),True,tabpfn_auto,0,0.90086,0.0746,0.69171,0.90574,0.55949,0.64262,0.93231,0.84777,3375.336672
34_hmeq_data,on (ratio=0.1),True,tabpfn_auto,1,0.89079,0.07969,0.63652,0.91346,0.48843,0.64502,0.92654,0.83259,3318.869353
34_hmeq_data,on (ratio=0.1),True,tabpfn_auto,2,0.89879,0.07094,0.6874,0.92857,0.54568,0.70604,0.95128,0.88023,3894.263459
34_hmeq_data,on (ratio=0.1),True,ab,0,0.82486,0.18279,0.21973,0.96078,0.12405,0.53323,0.88363,0.72723,0.293683
34_hmeq_data,on (ratio=0.1),True,ab,1,0.83895,0.17832,0.30736,0.9726,0.18252,0.51095,0.86831,0.71465,0.5872
34_hmeq_data,on (ratio=0.1),True,ab,2,0.81672,0.18061,0.18386,1.0,0.10123,0.59151,0.91034,0.7892,1.487373
34_hmeq_data,on (ratio=0.1),True,ann,0,0.80121,0.14773,0.0,0.0,0.0,0.28093,0.77859,0.53313,1228.75718
34_hmeq_data,on (ratio=0.1),True,ann,1,0.80423,0.14843,0.0,0.0,0.0,0.25319,0.74733,0.50825,1004.251644
34_hmeq_data,on (ratio=0.1),True,ann,2,0.79607,0.15956,0.0,0.0,0.0,0.26095,0.75577,0.53702,980.217916
34_hmeq_data,on (ratio=0.1),True,bnb,0,0.81228,0.14487,0.22129,0.63095,0.13418,0.21883,0.73084,0.43443,0.159652
34_hmeq_data,on (ratio=0.1),True,bnb,1,0.82084,0.14206,0.21586,0.75385,0.12596,0.2482,0.74496,0.46423,0.115517
34_hmeq_data,on (ratio=0.1),True,bnb,2,0.81319,0.14293,0.21564,0.75,0.12593,0.26097,0.76017,0.49359,0.012096
34_hmeq_data,on (ratio=0.1),True,cb,0,0.88274,0.08678,0.59897,0.93548,0.44051,0.61921,0.92741,0.83047,10.720628
34_hmeq_data,on (ratio=0.1),True,cb,1,0.87519,0.09038,0.56184,0.89831,0.40874,0.61,0.91447,0.79986,10.120953
34_hmeq_data,on (ratio=0.1),True,cb,2,0.88721,0.08028,0.63279,0.94146,0.47654,0.68966,0.94864,0.87014,11.178132
34_hmeq_data,on (ratio=0.1),True,dt,0,0.86965,0.09941,0.58692,0.7931,0.46582,0.52372,0.86844,0.6767,0.086414
34_hmeq_data,on (ratio=0.1),True,dt,1,0.87469,0.10313,0.5801,0.84314,0.44216,0.46802,0.82483,0.65236,0.066898
34_hmeq_data,on (ratio=0.1),True,dt,2,0.87764,0.09965,0.63348,0.81395,0.51852,0.53825,0.85409,0.68234,0.025677
34_hmeq_data,on (ratio=0.1),True,gnb,0,0.78913,0.18954,0.40903,0.46178,0.36709,0.25649,0.77385,0.48053,0.02545
34_hmeq_data,on (ratio=0.1),True,gnb,1,0.81983,0.16605,0.43711,0.56275,0.35733,0.28331,0.77667,0.51658,0.061788
34_hmeq_data,on (ratio=0.1),True,gnb,2,0.79507,0.18345,0.45661,0.49709,0.42222,0.26682,0.7549,0.5362,0.012218
34_hmeq_data,on (ratio=0.1),True,knn,0,0.80976,0.14647,0.08252,1.0,0.04304,0.28238,0.75448,0.46169,3.018499
34_hmeq_data,on (ratio=0.1),True,knn,1,0.81027,0.14791,0.05985,1.0,0.03085,0.28163,0.75383,0.46238,2.454448
34_hmeq_data,on (ratio=0.1),True,knn,2,0.80564,0.14647,0.08962,1.0,0.04691,0.32362,0.77625,0.51808,2.691542
34_hmeq_data,on (ratio=0.1),True,lda,0,0.82335,0.14201,0.37876,0.62941,0.27089,0.30321,0.79162,0.54327,0.432924
34_hmeq_data,on (ratio=0.1),True,lda,1,0.8309,0.13558,0.35878,0.6963,0.24165,0.30678,0.78784,0.56723,0.354539
34_hmeq_data,on (ratio=0.1),True,lda,2,0.83837,0.13008,0.44174,0.74706,0.31358,0.33067,0.80516,0.61113,0.85266
34_hmeq_data,on (ratio=0.1),True,lgbm,0,0.89582,0.08579,0.66559,0.91964,0.52152,0.6446,0.92549,0.83309,2103.437609
