dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,off,False,ab,0,0.93631,0.23475,0.28878,0.54974,0.19582,0.38072,0.83098,0.35578,2.257793
01_gmsc,off,False,ab,1,0.93622,0.23456,0.2669,0.55524,0.17567,0.36725,0.82401,0.348,3.209443
01_gmsc,off,False,ab,2,0.93649,0.23485,0.2792,0.56944,0.18493,0.36986,0.8295,0.36086,2.779311
01_gmsc,off,False,ann,0,0.93397,0.06117,0.0,0.0,0.0,0.06558,0.64353,0.11143,975.811519
01_gmsc,off,False,ann,1,0.93391,0.06116,0.0,0.0,0.0,0.06194,0.641,0.10832,772.553139
01_gmsc,off,False,ann,2,0.93349,0.06159,0.0,0.0,0.0,0.05948,0.63861,0.10605,717.024424
01_gmsc,off,False,bnb,0,0.92653,0.05634,0.38668,0.4308,0.35075,0.3653,0.80272,0.32083,0.290909
01_gmsc,off,False,bnb,1,0.92944,0.0563,0.3674,0.45083,0.31003,0.34364,0.79069,0.31108,0.23408
01_gmsc,off,False,bnb,2,0.92884,0.05628,0.37775,0.45141,0.32476,0.35033,0.79379,0.32525,0.238709
01_gmsc,off,False,cb,0,0.93706,0.04937,0.30622,0.56258,0.21036,0.42891,0.86258,0.38631,37.06176
01_gmsc,off,False,cb,1,0.93688,0.05023,0.28775,0.56591,0.19292,0.40826,0.85478,0.36806,26.250756
01_gmsc,off,False,cb,2,0.93673,0.04961,0.29062,0.57143,0.19486,0.42696,0.86519,0.38765,32.043427
01_gmsc,off,False,dt,0,0.89671,0.10321,0.27225,0.25455,0.29259,0.13223,0.61675,0.12159,0.619305
01_gmsc,off,False,dt,1,0.8995,0.10054,0.273,0.26154,0.28552,0.13113,0.61432,0.12198,0.56243
01_gmsc,off,False,dt,2,0.89689,0.10299,0.27228,0.25658,0.29003,0.13288,0.61672,0.12227,0.760479
01_gmsc,off,False,gnb,0,0.93232,0.06312,0.06545,0.37089,0.03589,0.16182,0.71124,0.17735,0.100397
01_gmsc,off,False,gnb,1,0.93292,0.0651,0.04526,0.38129,0.02406,0.13972,0.69833,0.16311,0.15688
01_gmsc,off,False,gnb,2,0.93214,0.06371,0.06141,0.38342,0.03338,0.13751,0.69498,0.16739,0.12229
01_gmsc,off,False,knn,0,0.93391,0.06078,0.16331,0.49769,0.09768,0.1592,0.65956,0.16876,5.358046
01_gmsc,off,False,knn,1,0.9334,0.06155,0.12253,0.47401,0.07036,0.13628,0.6456,0.1545,3.039842
01_gmsc,off,False,knn,2,0.93337,0.06239,0.13004,0.49405,0.07488,0.12944,0.64327,0.15182,4.96301
01_gmsc,off,False,lda,0,0.93454,0.05706,0.1766,0.52116,0.10632,0.22185,0.69927,0.24093,0.583875
01_gmsc,off,False,lda,1,0.93358,0.05764,0.16009,0.4873,0.09578,0.21245,0.68144,0.23165,0.309144
01_gmsc,off,False,lda,2,0.93427,0.05699,0.16021,0.53316,0.09427,0.21849,0.69249,0.24619,0.396813
01_gmsc,off,False,lgbm,0,0.93871,0.04869,0.30534,0.60676,0.204,0.42817,0.8603,0.39167,831.259357
01_gmsc,off,False,lgbm,1,0.93727,0.04938,0.26451,0.5875,0.17068,0.41168,0.85508,0.3837,844.107372
01_gmsc,off,False,lgbm,2,0.93793,0.049,0.28234,0.61111,0.18358,0.42639,0.86338,0.39706,832.646729
01_gmsc,off,False,lr,0,0.93412,0.06013,0.03175,0.53731,0.01636,0.0931,0.66784,0.13814,0.435717
01_gmsc,off,False,lr,1,0.93406,0.06033,0.02484,0.54902,0.01271,0.08479,0.66139,0.12903,0.327768
01_gmsc,off,False,lr,2,0.93379,0.06052,0.02989,0.58621,0.01534,0.08444,0.66179,0.13319,0.395585
01_gmsc,off,False,rf,0,0.93529,0.051,0.29069,0.52619,0.20082,0.38511,0.83874,0.35351,16.403189
01_gmsc,off,False,rf,1,0.93565,0.05135,0.26717,0.54006,0.17749,0.37583,0.83087,0.34605,14.324712
01_gmsc,off,False,rf,2,0.93553,0.05096,0.2648,0.54816,0.17456,0.3883,0.83754,0.36204,13.858611
01_gmsc,off,False,tabnet,0,0.79129,0.17684,0.31854,0.20305,0.73876,0.3939,0.83658,0.37491,244.052364
01_gmsc,off,False,tabnet,1,0.80107,0.16711,0.31997,0.20668,0.70813,0.37352,0.82887,0.34507,175.22156
01_gmsc,off,False,tabnet,2,0.78016,0.16496,0.30711,0.19428,0.73252,0.38037,0.83196,0.37014,193.118142
01_gmsc,off,False,tabpfn,0,0.93742,0.05009,0.21755,0.62366,0.13176,0.40848,0.84994,0.38487,88.377658
01_gmsc,off,False,tabpfn,1,0.93712,0.05074,0.20726,0.62132,0.12438,0.39117,0.84373,0.37185,86.034478
01_gmsc,off,False,tabpfn,2,0.93691,0.05029,0.19518,0.64394,0.11502,0.39814,0.84777,0.38835,83.85527
01_gmsc,off,False,xgb,0,0.93625,0.05051,0.3003,0.54545,0.20718,0.40219,0.84899,0.37109,233.94017
01_gmsc,off,False,xgb,1,0.93568,0.05126,0.2839,0.53729,0.19292,0.38835,0.8432,0.35119,226.422756
01_gmsc,off,False,xgb,2,0.93625,0.05082,0.29566,0.5575,0.20117,0.39885,0.85076,0.37013,169.775452
