dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,on (ratio=0.1),False,ab,0,0.9358,0.23594,0.29836,0.53592,0.20672,0.37821,0.83044,0.34963,2.100442
01_gmsc,on (ratio=0.1),False,ab,1,0.93616,0.23572,0.29349,0.54635,0.20064,0.36444,0.8219,0.34676,2.799586
01_gmsc,on (ratio=0.1),False,ab,2,0.93628,0.23589,0.30452,0.55556,0.20974,0.36796,0.82743,0.35773,2.981941
01_gmsc,on (ratio=0.1),False,ann,0,0.93397,0.0625,0.0,0.0,0.0,0.06893,0.64623,0.11745,738.204051
01_gmsc,on (ratio=0.1),False,ann,1,0.93391,0.06181,0.0,0.0,0.0,0.05901,0.63834,0.10626,727.02652
01_gmsc,on (ratio=0.1),False,ann,2,0.93349,0.06314,0.0,0.0,0.0,0.06666,0.64594,0.11181,614.096166
01_gmsc,on (ratio=0.1),False,bnb,0,0.92659,0.05909,0.38718,0.43136,0.3512,0.36487,0.80546,0.3206,0.253863
01_gmsc,on (ratio=0.1),False,bnb,1,0.9277,0.05867,0.37532,0.43746,0.32864,0.34431,0.79604,0.31394,0.347291
01_gmsc,on (ratio=0.1),False,bnb,2,0.92587,0.05924,0.38486,0.42944,0.34867,0.34933,0.79322,0.32515,0.201933
01_gmsc,on (ratio=0.1),False,cb,0,0.93748,0.04922,0.31537,0.5694,0.21808,0.42833,0.86252,0.38909,23.054827
01_gmsc,on (ratio=0.1),False,cb,1,0.93652,0.05005,0.2832,0.55808,0.18974,0.40977,0.85535,0.37017,25.821444
01_gmsc,on (ratio=0.1),False,cb,2,0.93652,0.04947,0.28706,0.56724,0.19215,0.42401,0.86382,0.38984,9.633962
01_gmsc,on (ratio=0.1),False,dt,0,0.89488,0.10503,0.25982,0.2428,0.27942,0.11942,0.60964,0.1158,0.440689
01_gmsc,on (ratio=0.1),False,dt,1,0.89731,0.10274,0.25861,0.24731,0.27099,0.11679,0.60656,0.11536,0.437932
01_gmsc,on (ratio=0.1),False,dt,2,0.89473,0.10513,0.26173,0.24527,0.28056,0.12221,0.61118,0.11726,0.400034
01_gmsc,on (ratio=0.1),False,gnb,0,0.93181,0.06113,0.07639,0.36154,0.04271,0.16009,0.70888,0.17692,0.119664
01_gmsc,on (ratio=0.1),False,gnb,1,0.9325,0.06419,0.04742,0.3522,0.02542,0.13965,0.69703,0.16243,0.117112
01_gmsc,on (ratio=0.1),False,gnb,2,0.93175,0.06264,0.07029,0.37391,0.03879,0.13603,0.69288,0.16635,0.102342
01_gmsc,on (ratio=0.1),False,knn,0,0.92725,0.06497,0.21445,0.37359,0.15039,0.1543,0.66285,0.16434,4.180544
01_gmsc,on (ratio=0.1),False,knn,1,0.92632,0.06562,0.18622,0.34479,0.12755,0.13644,0.65041,0.15373,3.110498
01_gmsc,on (ratio=0.1),False,knn,2,0.9265,0.06613,0.18981,0.35564,0.12945,0.13543,0.64993,0.15032,2.291222
01_gmsc,on (ratio=0.1),False,lda,0,0.93361,0.05769,0.18908,0.48864,0.11722,0.2185,0.69886,0.23903,0.416683
01_gmsc,on (ratio=0.1),False,lda,1,0.93286,0.05801,0.17295,0.46521,0.10622,0.20763,0.68284,0.22778,0.243993
01_gmsc,on (ratio=0.1),False,lda,2,0.934,0.05763,0.17726,0.5186,0.1069,0.21241,0.69319,0.24127,0.28798
01_gmsc,on (ratio=0.1),False,lgbm,0,0.93802,0.04874,0.31362,0.58344,0.21445,0.43132,0.86251,0.39435,380.221815
01_gmsc,on (ratio=0.1),False,lgbm,1,0.93775,0.04935,0.29205,0.58791,0.19428,0.40978,0.85545,0.38611,403.207843
01_gmsc,on (ratio=0.1),False,lgbm,2,0.93697,0.0492,0.29615,0.57552,0.19937,0.42248,0.86207,0.39498,608.364219
01_gmsc,on (ratio=0.1),False,lr,0,0.93412,0.06059,0.03175,0.53731,0.01636,0.09985,0.672,0.14467,0.172387
01_gmsc,on (ratio=0.1),False,lr,1,0.93403,0.06076,0.02483,0.53846,0.01271,0.09132,0.66617,0.13493,0.34831
01_gmsc,on (ratio=0.1),False,lr,2,0.93382,0.06097,0.03076,0.59322,0.01579,0.09021,0.66573,0.13842,0.274135
01_gmsc,on (ratio=0.1),False,rf,0,0.93499,0.05157,0.30119,0.51889,0.21218,0.38162,0.83633,0.34696,9.615692
01_gmsc,on (ratio=0.1),False,rf,1,0.93499,0.05169,0.27404,0.52302,0.18566,0.37566,0.83085,0.34317,11.989474
01_gmsc,on (ratio=0.1),False,rf,2,0.93574,0.0512,0.29307,0.54613,0.20027,0.38774,0.84108,0.36311,12.385185
01_gmsc,on (ratio=0.1),False,tabnet,0,0.06723,0.60718,0.12382,0.066,0.99818,0.40369,0.85066,0.34943,108.347613
01_gmsc,on (ratio=0.1),False,tabnet,1,0.12585,0.3342,0.13042,0.0698,0.99183,0.3587,0.80688,0.34406,76.781953
01_gmsc,on (ratio=0.1),False,tabnet,2,0.06753,0.5594,0.12475,0.06653,0.9991,0.40121,0.85053,0.36736,96.592251
01_gmsc,on (ratio=0.1),False,tabpfn,0,0.93748,0.04964,0.30626,0.57285,0.209,0.41017,0.85195,0.37869,85.467809
01_gmsc,on (ratio=0.1),False,tabpfn,1,0.93733,0.05022,0.29592,0.57461,0.19927,0.39171,0.84567,0.3719,84.053729
01_gmsc,on (ratio=0.1),False,tabpfn,2,0.93697,0.05078,0.31227,0.56921,0.21516,0.39286,0.84858,0.37889,84.722553
01_gmsc,on (ratio=0.1),False,xgb,0,0.93649,0.05045,0.31995,0.54605,0.22626,0.40082,0.84656,0.36683,170.742634
01_gmsc,on (ratio=0.1),False,xgb,1,0.93505,0.05171,0.2941,0.52199,0.20472,0.38028,0.84202,0.34393,148.345111
01_gmsc,on (ratio=0.1),False,xgb,2,0.93394,0.05114,0.29151,0.50842,0.20433,0.39681,0.85118,0.36201,120.300246
