dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,on (ratio=0.1),False,ab,0,0.9363,0.12659,0.3245,0.49355,0.24171,0.3841,0.83912,0.33983,0.549685
01_gmsc,on (ratio=0.1),False,ab,1,0.9326,0.13297,0.32193,0.53691,0.22989,0.42235,0.85677,0.38707,0.542028
01_gmsc,on (ratio=0.1),False,ab,2,0.9406,0.12587,0.32346,0.56574,0.22648,0.41891,0.85558,0.37782,0.535457
01_gmsc,on (ratio=0.1),False,ann,0,0.9367,0.0609,0.0,0.0,0.0,0.06889,0.64472,0.10772,7.359931
01_gmsc,on (ratio=0.1),False,ann,1,0.9304,0.06497,0.0,0.0,0.0,0.06773,0.63828,0.11891,5.677792
01_gmsc,on (ratio=0.1),False,ann,2,0.9373,0.05902,0.0,0.0,0.0,0.07422,0.64592,0.10868,5.661118
01_gmsc,on (ratio=0.1),False,bnb,0,0.927,0.05987,0.37393,0.40901,0.34439,0.32838,0.78122,0.28937,0.018432
01_gmsc,on (ratio=0.1),False,bnb,1,0.924,0.06125,0.375,0.43846,0.32759,0.35696,0.79956,0.33234,0.017967
01_gmsc,on (ratio=0.1),False,bnb,2,0.9303,0.05624,0.39127,0.43243,0.35726,0.36085,0.808,0.32263,0.01763
01_gmsc,on (ratio=0.1),False,cb,0,0.9361,0.05011,0.29703,0.48913,0.21327,0.39512,0.84645,0.34688,5.928107
01_gmsc,on (ratio=0.1),False,cb,1,0.9324,0.05334,0.28085,0.54098,0.18966,0.40525,0.85107,0.36587,5.262666
01_gmsc,on (ratio=0.1),False,cb,2,0.9371,0.04859,0.27784,0.4959,0.19298,0.42154,0.85815,0.35298,5.364792
01_gmsc,on (ratio=0.1),False,dt,0,0.9012,0.0988,0.27778,0.2585,0.30016,0.14171,0.62099,0.12189,0.153499
01_gmsc,on (ratio=0.1),False,dt,1,0.8935,0.1065,0.25472,0.24829,0.26149,0.1073,0.60114,0.11633,0.119206
01_gmsc,on (ratio=0.1),False,dt,2,0.8963,0.10375,0.25556,0.23238,0.28389,0.12009,0.6105,0.11087,0.118265
01_gmsc,on (ratio=0.1),False,gnb,0,0.9341,0.06503,0.04076,0.25926,0.02212,0.19283,0.72602,0.17471,0.034984
01_gmsc,on (ratio=0.1),False,gnb,1,0.9291,0.07,0.05593,0.38182,0.03017,0.17834,0.71607,0.19083,0.023706
01_gmsc,on (ratio=0.1),False,gnb,2,0.3517,0.42074,0.1491,0.08124,0.9059,0.20237,0.74642,0.18565,0.024618
01_gmsc,on (ratio=0.1),False,knn,0,0.9233,0.06825,0.11329,0.21121,0.07741,0.08022,0.61213,0.1114,0.810332
01_gmsc,on (ratio=0.1),False,knn,1,0.92,0.07305,0.10314,0.23469,0.06609,0.06364,0.60152,0.10829,0.326142
01_gmsc,on (ratio=0.1),False,knn,2,0.9245,0.06824,0.12918,0.23333,0.08931,0.07052,0.60624,0.10224,0.451757
01_gmsc,on (ratio=0.1),False,lda,0,0.936,0.05646,0.13279,0.46667,0.07741,0.20454,0.70358,0.20988,0.164941
01_gmsc,on (ratio=0.1),False,lda,1,0.93,0.06071,0.15459,0.48485,0.09195,0.205,0.68818,0.23443,0.027087
01_gmsc,on (ratio=0.1),False,lda,2,0.9357,0.05612,0.13459,0.43103,0.07974,0.1982,0.67348,0.20721,0.027783
01_gmsc,on (ratio=0.1),False,lgbm,0,0.937,0.04967,0.3167,0.50519,0.23065,0.38855,0.84254,0.34459,1.387738
01_gmsc,on (ratio=0.1),False,lgbm,1,0.9318,0.05319,0.2587,0.53125,0.17098,0.39446,0.84447,0.36441,0.260223
01_gmsc,on (ratio=0.1),False,lgbm,2,0.9389,0.04794,0.30011,0.53252,0.20893,0.41065,0.85265,0.37008,0.261399
01_gmsc,on (ratio=0.1),False,lr,0,0.9362,0.0593,0.0304,0.4,0.0158,0.08553,0.66146,0.11877,0.054675
01_gmsc,on (ratio=0.1),False,lr,1,0.9307,0.06371,0.03077,0.57895,0.0158,0.08491,0.65758,0.13474,0.037057
01_gmsc,on (ratio=0.1),False,lr,2,0.9377,0.05815,0.02198,0.7,0.01116,0.08346,0.65739,0.11895,0.037562
01_gmsc,on (ratio=0.1),False,rf,0,0.9355,0.05117,0.28886,0.4781,0.20695,0.36547,0.82052,0.31698,2.68723
01_gmsc,on (ratio=0.1),False,rf,1,0.9323,0.05381,0.27126,0.54077,0.18103,0.38387,0.84396,0.34723,2.335252
01_gmsc,on (ratio=0.1),False,rf,2,0.9369,0.04961,0.24612,0.49048,0.16427,0.3836,0.83587,0.32928,2.27021
01_gmsc,on (ratio=0.1),False,tabnet,0,0.0633,0.67253,0.11906,0.0633,1.0,0.27474,0.7589,0.25045,12.989793
01_gmsc,on (ratio=0.1),False,tabnet,1,0.1649,0.44908,0.14146,0.07618,0.98851,0.34669,0.80809,0.35067,31.392502
01_gmsc,on (ratio=0.1),False,tabnet,2,0.0627,0.46516,0.118,0.0627,1.0,0.34733,0.80772,0.31758,19.913725
01_gmsc,on (ratio=0.1),False,xgb,0,0.934,0.05337,0.30818,0.45794,0.23223,0.35464,0.82449,0.30512,0.120442
01_gmsc,on (ratio=0.1),False,xgb,1,0.9296,0.05657,0.27122,0.48519,0.18822,0.3501,0.82211,0.31988,0.127548
01_gmsc,on (ratio=0.1),False,xgb,2,0.9336,0.05267,0.27511,0.43599,0.20096,0.35108,0.82685,0.31026,0.116417
