dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,on (ratio=0.5),False,ab,0,0.92,0.16343,0.41003,0.38451,0.43918,0.35992,0.82917,0.32854,0.86716
01_gmsc,on (ratio=0.5),False,ab,1,0.9168,0.16833,0.4198,0.40786,0.43247,0.40731,0.84875,0.37594,0.842299
01_gmsc,on (ratio=0.5),False,ab,2,0.921,0.16862,0.42504,0.3909,0.46571,0.40227,0.84943,0.35713,0.837399
01_gmsc,on (ratio=0.5),False,ann,0,0.9367,0.13013,0.0,0.0,0.0,0.06923,0.64453,0.10792,19.752052
01_gmsc,on (ratio=0.5),False,ann,1,0.9304,0.13428,0.0,0.0,0.0,0.06703,0.63991,0.11815,7.566502
01_gmsc,on (ratio=0.5),False,ann,2,0.9377,0.12337,0.02198,0.7,0.01116,0.07826,0.64919,0.11683,11.152872
01_gmsc,on (ratio=0.5),False,bnb,0,0.9036,0.0862,0.37967,0.3203,0.46603,0.32438,0.78201,0.29903,0.019212
01_gmsc,on (ratio=0.5),False,bnb,1,0.8725,0.08441,0.38436,0.28945,0.57184,0.35327,0.79519,0.32906,0.018581
01_gmsc,on (ratio=0.5),False,bnb,2,0.9019,0.08124,0.39182,0.32049,0.50399,0.35921,0.80083,0.32315,0.019247
01_gmsc,on (ratio=0.5),False,cb,0,0.9351,0.05187,0.33299,0.47647,0.25592,0.3711,0.83512,0.3328,6.951814
01_gmsc,on (ratio=0.5),False,cb,1,0.9325,0.05422,0.30627,0.53791,0.21408,0.37681,0.84072,0.356,5.838933
01_gmsc,on (ratio=0.5),False,cb,2,0.9348,0.05048,0.30638,0.46006,0.22967,0.39432,0.84258,0.34667,6.136814
01_gmsc,on (ratio=0.5),False,dt,0,0.8857,0.1143,0.23545,0.20418,0.27804,0.09903,0.6024,0.10247,0.199738
01_gmsc,on (ratio=0.5),False,dt,1,0.8844,0.1156,0.25419,0.23068,0.28305,0.10693,0.60622,0.11519,0.147458
01_gmsc,on (ratio=0.5),False,dt,2,0.89,0.11005,0.24863,0.21744,0.29027,0.11385,0.61012,0.10762,0.143867
01_gmsc,on (ratio=0.5),False,gnb,0,0.9335,0.06245,0.05136,0.26471,0.02844,0.20033,0.7216,0.18735,0.039447
01_gmsc,on (ratio=0.5),False,gnb,1,0.9309,0.06543,0.06495,0.55814,0.03448,0.17893,0.70394,0.2121,0.025074
