dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,off,True,ab,0,0.93518,0.17143,0.19995,0.58611,0.12054,0.36115,0.82291,0.34319,2.76145
01_gmsc,off,True,ab,1,0.9357,0.17125,0.19845,0.5967,0.11902,0.37056,0.82701,0.34135,2.819146
01_gmsc,off,True,ab,2,0.93532,0.17176,0.20148,0.56044,0.12282,0.38336,0.83047,0.34411,2.792267
01_gmsc,off,True,ann,0,0.9328,0.06211,0.0,0.0,0.0,0.06522,0.64592,0.11283,28.211273
01_gmsc,off,True,ann,1,0.93312,0.06202,0.0,0.0,0.0,0.06031,0.64014,0.10965,28.241663
01_gmsc,off,True,ann,2,0.93356,0.06177,0.0,0.0,0.0,0.06949,0.64916,0.11521,28.222445
01_gmsc,off,True,bnb,0,0.92624,0.05718,0.38079,0.43683,0.3375,0.34187,0.78625,0.31561,0.067636
01_gmsc,off,True,bnb,1,0.92598,0.05675,0.38059,0.43216,0.34001,0.35654,0.80017,0.31842,0.080106
01_gmsc,off,True,bnb,2,0.92722,0.05623,0.39178,0.44044,0.3528,0.36526,0.80182,0.31912,0.064635
01_gmsc,off,True,cb,0,0.937,0.04931,0.29213,0.59633,0.19345,0.42394,0.86353,0.40064,0.926111
01_gmsc,off,True,cb,1,0.93686,0.04912,0.28396,0.58779,0.1872,0.43194,0.86523,0.39987,1.02558
01_gmsc,off,True,cb,2,0.93696,0.04877,0.28494,0.57827,0.18904,0.43819,0.86853,0.39473,1.073881
01_gmsc,off,True,dt,0,0.93526,0.05135,0.28274,0.55334,0.18988,0.3793,0.81743,0.34869,0.174431
01_gmsc,off,True,dt,1,0.93544,0.05157,0.29117,0.54793,0.19827,0.37312,0.81724,0.33253,0.174937
01_gmsc,off,True,dt,2,0.93642,0.05099,0.27237,0.56829,0.17911,0.37978,0.81838,0.3405,0.172581
