dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,off,True,ab,0,0.9395,0.07964,0.21326,0.60294,0.12954,0.38862,0.84592,0.35226,4.480715
01_gmsc,off,True,ab,1,0.9339,0.08468,0.23407,0.60479,0.14511,0.4226,0.85476,0.38299,4.457053
01_gmsc,off,True,ab,2,0.9407,0.07959,0.19539,0.65455,0.11483,0.42475,0.85859,0.37847,4.485097
01_gmsc,off,True,ann,0,0.9382,0.04939,0.3118,0.5283,0.22117,0.36141,0.81575,0.33132,43.126327
01_gmsc,off,True,ann,1,0.9346,0.05322,0.23239,0.63462,0.14224,0.38674,0.82899,0.36652,44.287215
01_gmsc,off,True,ann,2,0.939,0.04789,0.23559,0.54971,0.14992,0.39498,0.8352,0.35371,43.962092
01_gmsc,off,True,bnb,0,0.9271,0.05646,0.37425,0.40977,0.34439,0.3293,0.78109,0.28957,0.016888
01_gmsc,off,True,bnb,1,0.9271,0.05832,0.37746,0.46526,0.31753,0.3576,0.79744,0.32888,0.017326
01_gmsc,off,True,bnb,2,0.9319,0.0533,0.37694,0.44206,0.32855,0.36151,0.80724,0.32141,0.017044
01_gmsc,off,True,cb,0,0.9386,0.04932,0.20466,0.56835,0.1248,0.40755,0.85372,0.36406,1.596187
01_gmsc,off,True,cb,1,0.9329,0.05293,0.15385,0.62887,0.08764,0.4286,0.86018,0.3941,1.741893
01_gmsc,off,True,cb,2,0.9395,0.04852,0.15855,0.61957,0.09091,0.43511,0.86395,0.38968,1.916325
01_gmsc,off,True,dt,0,0.9389,0.05029,0.25759,0.55789,0.16746,0.34401,0.81691,0.28358,0.09392
01_gmsc,off,True,dt,1,0.9329,0.05374,0.25362,0.56158,0.16379,0.35545,0.80643,0.29384,0.090904
01_gmsc,off,True,dt,2,0.9395,0.04872,0.25216,0.56044,0.16268,0.38534,0.82964,0.29142,0.090282
01_gmsc,off,True,gnb,0,0.933,0.06631,0.03736,0.20635,0.02054,0.18626,0.72502,0.1669,0.023695
01_gmsc,off,True,gnb,1,0.9287,0.07042,0.06307,0.36923,0.03448,0.16723,0.71714,0.17875,0.023194
01_gmsc,off,True,gnb,2,0.9365,0.06028,0.04798,0.4,0.02552,0.12789,0.70096,0.14993,0.024862
01_gmsc,off,True,knn,0,0.9351,0.0585,0.04136,0.31818,0.02212,0.1449,0.6979,0.14785,1.01057
01_gmsc,off,True,knn,1,0.9281,0.06383,0.02969,0.24444,0.0158,0.16317,0.70345,0.16658,0.702054
01_gmsc,off,True,knn,2,0.9346,0.05877,0.01802,0.15385,0.00957,0.1383,0.69695,0.13646,0.844191
01_gmsc,off,True,lda,0,0.9355,0.05618,0.11279,0.43617,0.06477,0.20305,0.70336,0.20766,0.022875
01_gmsc,off,True,lda,1,0.9311,0.0602,0.13333,0.53535,0.07615,0.22086,0.69237,0.24031,0.023205
01_gmsc,off,True,lda,2,0.9356,0.05558,0.11538,0.41584,0.06699,0.19884,0.67333,0.20708,0.023772
01_gmsc,off,True,lgbm,0,0.937,0.04871,0.27752,0.50628,0.19115,0.40298,0.85026,0.35216,0.543729
01_gmsc,off,True,lgbm,1,0.9349,0.05174,0.26607,0.6178,0.16954,0.42148,0.85848,0.3862,0.496443
01_gmsc,off,True,lgbm,2,0.94,0.04687,0.26108,0.57297,0.16906,0.42717,0.86059,0.38202,0.409619
01_gmsc,off,True,lr,0,0.9364,0.05613,0.05638,0.46341,0.03002,0.18189,0.70444,0.19662,0.16269
01_gmsc,off,True,lr,1,0.931,0.06036,0.05479,0.58824,0.02874,0.18676,0.69411,0.23088,0.158343
01_gmsc,off,True,lr,2,0.9369,0.05561,0.04539,0.44118,0.02392,0.17778,0.68336,0.19563,0.315344
01_gmsc,off,True,rf,0,0.9386,0.04841,0.18783,0.57724,0.11216,0.40081,0.84939,0.3604,3.477908
01_gmsc,off,True,rf,1,0.9328,0.05213,0.16832,0.60714,0.0977,0.42708,0.85728,0.38701,3.47479
01_gmsc,off,True,rf,2,0.9399,0.047,0.15944,0.64773,0.09091,0.43161,0.86231,0.39134,3.485971
01_gmsc,off,True,tabnet,0,0.792,0.17789,0.29587,0.18828,0.69036,0.35118,0.80997,0.32066,108.365716
01_gmsc,off,True,tabnet,1,0.7694,0.20097,0.30792,0.19461,0.73707,0.36055,0.81085,0.34463,65.01753
01_gmsc,off,True,tabnet,2,0.8137,0.16679,0.29936,0.19587,0.63477,0.33215,0.81207,0.3108,111.937515
01_gmsc,off,True,tabpfn,0,0.939,0.04883,0.32373,0.54275,0.23065,0.39195,0.84078,0.35757,17.683696
01_gmsc,off,True,tabpfn,1,0.9345,0.05157,0.27624,0.59809,0.1796,0.42375,0.85356,0.39425,17.567507
01_gmsc,off,True,tabpfn,2,0.9408,0.04693,0.29691,0.5814,0.19936,0.41774,0.85497,0.38293,17.695843
01_gmsc,off,True,xgb,0,0.9395,0.04827,0.31172,0.55691,0.21643,0.40679,0.85172,0.36522,0.166836
01_gmsc,off,True,xgb,1,0.9354,0.05192,0.29476,0.61364,0.19397,0.42451,0.85765,0.38378,0.140933
01_gmsc,off,True,xgb,2,0.9407,0.04736,0.27595,0.58854,0.18022,0.4211,0.85844,0.37211,0.128049
