dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,on (ratio=0.1),True,ab,0,0.9373,0.08431,0.301,0.51136,0.21327,0.385,0.84395,0.34703,5.103429
01_gmsc,on (ratio=0.1),True,ab,1,0.9336,0.08814,0.32245,0.55634,0.22701,0.4279,0.85679,0.38684,5.261671
01_gmsc,on (ratio=0.1),True,ab,2,0.9409,0.08439,0.31359,0.57692,0.21531,0.42285,0.85825,0.38017,5.167479
01_gmsc,on (ratio=0.1),True,ann,0,0.934,0.05171,0.36782,0.46715,0.30332,0.35751,0.81482,0.32776,12.904877
01_gmsc,on (ratio=0.1),True,ann,1,0.9305,0.05366,0.36645,0.50125,0.28879,0.3835,0.82963,0.36506,13.015711
01_gmsc,on (ratio=0.1),True,ann,2,0.9387,0.04867,0.36212,0.52096,0.27751,0.39718,0.8375,0.35412,13.094101
01_gmsc,on (ratio=0.1),True,bnb,0,0.927,0.05988,0.37393,0.40901,0.34439,0.32838,0.78122,0.28937,0.017066
01_gmsc,on (ratio=0.1),True,bnb,1,0.924,0.06125,0.375,0.43846,0.32759,0.35696,0.79956,0.33234,0.018814
01_gmsc,on (ratio=0.1),True,bnb,2,0.9303,0.05624,0.39127,0.43243,0.35726,0.36088,0.808,0.32263,0.019194
01_gmsc,on (ratio=0.1),True,cb,0,0.9384,0.04841,0.30159,0.53414,0.21011,0.40636,0.85209,0.3623,1.349121
01_gmsc,on (ratio=0.1),True,cb,1,0.9352,0.05131,0.2816,0.6165,0.18247,0.43747,0.86004,0.39454,1.247278
01_gmsc,on (ratio=0.1),True,cb,2,0.9412,0.0465,0.27407,0.60656,0.17703,0.43703,0.86509,0.39444,1.254639
01_gmsc,on (ratio=0.1),True,dt,0,0.937,0.05073,0.2446,0.50746,0.16114,0.35325,0.82215,0.28198,0.096436
01_gmsc,on (ratio=0.1),True,dt,1,0.9329,0.05326,0.25362,0.56158,0.16379,0.38945,0.83326,0.32375,0.097338
01_gmsc,on (ratio=0.1),True,dt,2,0.9395,0.04904,0.25216,0.56044,0.16268,0.38836,0.8328,0.3003,0.097837
01_gmsc,on (ratio=0.1),True,gnb,0,0.934,0.06517,0.0379,0.24528,0.02054,0.18591,0.72471,0.16938,0.023472
01_gmsc,on (ratio=0.1),True,gnb,1,0.9288,0.06997,0.0557,0.36207,0.03017,0.17436,0.71874,0.18674,0.02538
01_gmsc,on (ratio=0.1),True,gnb,2,0.9367,0.06015,0.04812,0.42105,0.02552,0.13547,0.70623,0.155,0.024925
01_gmsc,on (ratio=0.1),True,knn,0,0.9341,0.0592,0.04631,0.27586,0.02528,0.13589,0.68872,0.14458,0.958429
01_gmsc,on (ratio=0.1),True,knn,1,0.9276,0.06406,0.04233,0.26667,0.02299,0.15013,0.69608,0.15958,0.687933
01_gmsc,on (ratio=0.1),True,knn,2,0.934,0.05916,0.02367,0.16327,0.01276,0.13205,0.68988,0.13618,0.82357
01_gmsc,on (ratio=0.1),True,lda,0,0.936,0.05646,0.13279,0.46667,0.07741,0.20454,0.70358,0.20988,0.023337
01_gmsc,on (ratio=0.1),True,lda,1,0.93,0.06071,0.15459,0.48485,0.09195,0.205,0.68818,0.23443,0.023777
01_gmsc,on (ratio=0.1),True,lda,2,0.9357,0.05612,0.13459,0.43103,0.07974,0.1982,0.67348,0.20721,0.023742
01_gmsc,on (ratio=0.1),True,lgbm,0,0.9378,0.0492,0.32829,0.51877,0.24013,0.40352,0.84968,0.35404,0.141138
01_gmsc,on (ratio=0.1),True,lgbm,1,0.9339,0.05142,0.28695,0.57576,0.19109,0.42937,0.85755,0.39087,0.140909
01_gmsc,on (ratio=0.1),True,lgbm,2,0.9411,0.04646,0.28951,0.59406,0.19139,0.43535,0.86457,0.39579,0.140015
01_gmsc,on (ratio=0.1),True,lr,0,0.9367,0.05669,0.07321,0.5,0.03949,0.1835,0.70492,0.2001,0.116785
01_gmsc,on (ratio=0.1),True,lr,1,0.9311,0.06058,0.08742,0.55932,0.04741,0.18393,0.69384,0.2289,0.120395
01_gmsc,on (ratio=0.1),True,lr,2,0.937,0.05621,0.0708,0.47059,0.03828,0.17966,0.68386,0.19722,0.359238
01_gmsc,on (ratio=0.1),True,rf,0,0.9387,0.04888,0.28136,0.54545,0.18957,0.39701,0.84844,0.35288,1.27874
01_gmsc,on (ratio=0.1),True,rf,1,0.9336,0.05158,0.27193,0.57407,0.17816,0.43115,0.86074,0.3925,1.294775
01_gmsc,on (ratio=0.1),True,rf,2,0.9398,0.04692,0.25124,0.57062,0.16108,0.43371,0.86262,0.38666,1.299025
01_gmsc,on (ratio=0.1),True,tabnet,0,0.1959,0.4621,0.13286,0.0713,0.97314,0.32518,0.79286,0.26666,37.03244
01_gmsc,on (ratio=0.1),True,tabnet,1,0.0699,0.51294,0.13018,0.06962,1.0,0.36242,0.81678,0.35695,31.865366
01_gmsc,on (ratio=0.1),True,tabnet,2,0.0627,0.84794,0.118,0.0627,1.0,0.35486,0.77614,0.32586,19.606598
01_gmsc,on (ratio=0.1),True,tabpfn,0,0.9382,0.04945,0.33974,0.52475,0.25118,0.3967,0.84462,0.35219,18.590857
01_gmsc,on (ratio=0.1),True,tabpfn,1,0.9349,0.05172,0.30374,0.59414,0.20402,0.41832,0.85344,0.38716,18.457342
01_gmsc,on (ratio=0.1),True,tabpfn,2,0.9407,0.04679,0.31917,0.56967,0.22169,0.4274,0.86,0.39271,18.362026
