dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
01_gmsc,on (ratio=0.1),True,ann,0,0.93397,0.0623,0.0,0.0,0.0,0.07151,0.64944,0.11956,7764.490872
01_gmsc,on (ratio=0.1),True,ann,1,0.93391,0.06213,0.0,0.0,0.0,0.06176,0.64053,0.10832,6878.165219
01_gmsc,on (ratio=0.1),True,ann,2,0.93349,0.06216,0.0,0.0,0.0,0.06385,0.64207,0.11052,9791.483799
01_gmsc,on (ratio=0.1),True,tabpfn_auto,0,0.93712,0.04945,0.33163,0.55615,0.23626,0.41465,0.85194,0.38867,19246.827677
01_gmsc,on (ratio=0.1),True,tabpfn_auto,1,0.93775,0.04988,0.26078,0.60596,0.16614,0.3935,0.84092,0.3742,24469.490826
01_gmsc,on (ratio=0.1),True,tabpfn_auto,2,0.93766,0.04941,0.27847,0.60483,0.18088,0.40455,0.85161,0.3922,25503.149131
01_gmsc,on (ratio=0.1),True,ab,0,0.93502,0.16401,0.25669,0.52454,0.16992,0.37368,0.82433,0.33217,4.935528
01_gmsc,on (ratio=0.1),True,ab,1,0.93565,0.16337,0.25183,0.54367,0.16387,0.36009,0.82155,0.32946,5.063046
01_gmsc,on (ratio=0.1),True,ab,2,0.93628,0.16403,0.26301,0.56992,0.17095,0.36297,0.82321,0.34481,4.116951
01_gmsc,on (ratio=0.1),True,bnb,0,0.92659,0.0591,0.38718,0.43136,0.3512,0.36488,0.80548,0.32061,0.230953
01_gmsc,on (ratio=0.1),True,bnb,1,0.92779,0.05867,0.37562,0.43826,0.32864,0.34432,0.79605,0.31395,0.281632
01_gmsc,on (ratio=0.1),True,bnb,2,0.92596,0.05925,0.38485,0.43008,0.34822,0.34936,0.79323,0.32515,0.164384
01_gmsc,on (ratio=0.1),True,cb,0,0.93853,0.0486,0.33061,0.58837,0.2299,0.43426,0.86414,0.3989,9.825575
01_gmsc,on (ratio=0.1),True,cb,1,0.93721,0.04938,0.29457,0.57199,0.19837,0.41433,0.85684,0.38669,20.698713
01_gmsc,on (ratio=0.1),True,cb,2,0.93709,0.0488,0.2989,0.57752,0.20162,0.43429,0.86792,0.40214,7.010785
01_gmsc,on (ratio=0.1),True,dt,0,0.93451,0.05169,0.26622,0.51163,0.17992,0.37596,0.81158,0.33073,0.299048
01_gmsc,on (ratio=0.1),True,dt,1,0.9355,0.05181,0.29416,0.53144,0.20336,0.36885,0.81016,0.32588,0.270378
01_gmsc,on (ratio=0.1),True,dt,2,0.93592,0.05126,0.28753,0.55186,0.19441,0.37885,0.81126,0.33851,0.323001
01_gmsc,on (ratio=0.1),True,gnb,0,0.9331,0.06559,0.04701,0.39568,0.02499,0.15316,0.71432,0.17024,0.17037
01_gmsc,on (ratio=0.1),True,gnb,1,0.93343,0.06573,0.04312,0.43103,0.0227,0.13859,0.70681,0.16025,0.176546
01_gmsc,on (ratio=0.1),True,gnb,2,0.93208,0.06623,0.04874,0.35583,0.02616,0.13961,0.7061,0.16196,0.302185
01_gmsc,on (ratio=0.1),True,knn,0,0.93493,0.05725,0.11288,0.56557,0.0627,0.1964,0.71456,0.21993,7.424976
01_gmsc,on (ratio=0.1),True,knn,1,0.93463,0.05864,0.08867,0.56383,0.04812,0.16186,0.69279,0.19686,9.05755
01_gmsc,on (ratio=0.1),True,knn,2,0.93424,0.05886,0.07744,0.57862,0.0415,0.16872,0.70663,0.19182,4.947224
01_gmsc,on (ratio=0.1),True,lda,0,0.93361,0.05769,0.18908,0.48864,0.11722,0.2185,0.69886,0.23903,0.230509
01_gmsc,on (ratio=0.1),True,lda,1,0.93286,0.05801,0.17295,0.46521,0.10622,0.20763,0.68284,0.22778,0.53888
01_gmsc,on (ratio=0.1),True,lda,2,0.934,0.05763,0.17726,0.5186,0.1069,0.21241,0.69319,0.24127,0.194996
01_gmsc,on (ratio=0.1),True,lgbm,0,0.93817,0.04841,0.31732,0.58557,0.21763,0.43548,0.86439,0.40493,1085.042746
01_gmsc,on (ratio=0.1),True,lgbm,1,0.93778,0.04915,0.2868,0.59149,0.18929,0.41605,0.85706,0.39017,825.47755
01_gmsc,on (ratio=0.1),True,lgbm,2,0.93784,0.04858,0.29667,0.59945,0.19711,0.43194,0.86616,0.4069,1212.434856
01_gmsc,on (ratio=0.1),True,lr,0,0.93505,0.05741,0.11813,0.57087,0.06588,0.20081,0.7017,0.23215,1.666373
01_gmsc,on (ratio=0.1),True,lr,1,0.9346,0.05788,0.09768,0.55399,0.05356,0.18975,0.68699,0.21993,1.841482
01_gmsc,on (ratio=0.1),True,lr,2,0.93439,0.05786,0.09591,0.57426,0.05232,0.19002,0.69755,0.2318,3.743451
01_gmsc,on (ratio=0.1),True,rf,0,0.93541,0.05045,0.29479,0.52817,0.20445,0.40339,0.84507,0.36143,11.056527
01_gmsc,on (ratio=0.1),True,rf,1,0.93577,0.05083,0.28371,0.53944,0.19246,0.3892,0.84031,0.35707,10.597748
01_gmsc,on (ratio=0.1),True,rf,2,0.93619,0.05034,0.29825,0.55528,0.20388,0.40214,0.85178,0.37365,16.312289
01_gmsc,on (ratio=0.1),True,tabnet,0,0.74864,0.2019,0.28598,0.176,0.76238,0.37907,0.82945,0.35466,154.493784
01_gmsc,on (ratio=0.1),True,tabnet,1,0.83344,0.16381,0.34202,0.23144,0.65502,0.36053,0.82118,0.33751,157.898496
01_gmsc,on (ratio=0.1),True,tabnet,2,0.08097,0.51246,0.12619,0.06735,0.99774,0.35607,0.80795,0.34933,84.035358
01_gmsc,on (ratio=0.1),True,tabpfn,0,0.93748,0.04964,0.30626,0.57285,0.209,0.41017,0.85195,0.37869,101.87484
01_gmsc,on (ratio=0.1),True,tabpfn,1,0.93733,0.05022,0.29592,0.57461,0.19927,0.39171,0.84567,0.3719,105.1561
