dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
02_taiwan_creditcard,off,False,ab,0,0.8188,0.24368,0.42256,0.67378,0.3078,0.27991,0.77335,0.53867,1.534173
02_taiwan_creditcard,off,False,ab,1,0.8186,0.24376,0.44219,0.68936,0.32549,0.27724,0.76743,0.54028,3.59625
02_taiwan_creditcard,off,False,ab,2,0.8086,0.24337,0.42626,0.66886,0.3128,0.2704,0.77148,0.53988,2.405838
02_taiwan_creditcard,off,False,ann,0,0.7986,0.14905,0.16777,0.76316,0.09424,0.21202,0.70149,0.48024,579.684306
02_taiwan_creditcard,off,False,ann,1,0.7845,0.15361,0.06992,0.75,0.03667,0.21688,0.70638,0.48393,487.606413
02_taiwan_creditcard,off,False,ann,2,0.7773,0.15602,0.08617,0.64024,0.04619,0.22055,0.7107,0.47716,495.203846
02_taiwan_creditcard,off,False,bnb,0,0.7558,0.16917,0.25775,0.37324,0.19684,0.10259,0.66128,0.33961,0.277745
02_taiwan_creditcard,off,False,bnb,1,0.7373,0.18148,0.24964,0.33824,0.19783,0.07905,0.64147,0.32372,0.222488
02_taiwan_creditcard,off,False,bnb,2,0.7479,0.17437,0.24089,0.38168,0.17598,0.09717,0.65909,0.34439,0.160473
02_taiwan_creditcard,off,False,cb,0,0.8248,0.13236,0.47857,0.66667,0.37326,0.28922,0.78071,0.54513,27.767259
02_taiwan_creditcard,off,False,cb,1,0.8225,0.13378,0.48595,0.67444,0.37981,0.28852,0.77782,0.56663,20.432252
02_taiwan_creditcard,off,False,cb,2,0.8107,0.13903,0.46328,0.65152,0.35944,0.28285,0.77929,0.55251,20.988791
02_taiwan_creditcard,off,False,dt,0,0.7222,0.27765,0.39477,0.37192,0.42061,0.07362,0.61333,0.28153,0.70726
02_taiwan_creditcard,off,False,dt,1,0.721,0.27903,0.39663,0.37971,0.41512,0.07213,0.61146,0.2869,0.633449
02_taiwan_creditcard,off,False,dt,2,0.719,0.28103,0.39518,0.38685,0.40387,0.06875,0.60781,0.29181,0.633397
02_taiwan_creditcard,off,False,gnb,0,0.5531,0.28889,0.43063,0.29675,0.78459,0.23942,0.73676,0.49213,0.035966
02_taiwan_creditcard,off,False,gnb,1,0.7001,0.23354,0.48936,0.39219,0.65052,0.23853,0.73483,0.50333,0.082948
02_taiwan_creditcard,off,False,gnb,2,0.6529,0.24717,0.48093,0.3643,0.70744,0.2329,0.73487,0.48684,0.061884
02_taiwan_creditcard,off,False,knn,0,0.7927,0.16013,0.40653,0.53025,0.32962,0.16641,0.69857,0.4019,8.000095
02_taiwan_creditcard,off,False,knn,1,0.7915,0.16314,0.42003,0.54473,0.34178,0.16611,0.69677,0.4075,6.05909
02_taiwan_creditcard,off,False,knn,2,0.7874,0.16686,0.41721,0.55345,0.3348,0.1646,0.69666,0.41262,7.176928
02_taiwan_creditcard,off,False,lda,0,0.8167,0.14153,0.36199,0.72323,0.24141,0.23845,0.715,0.50645,0.546728
02_taiwan_creditcard,off,False,lda,1,0.8128,0.14491,0.38583,0.70083,0.26618,0.23486,0.7129,0.50003,0.55377
02_taiwan_creditcard,off,False,lda,2,0.8045,0.14899,0.38192,0.67865,0.26573,0.23233,0.71741,0.48935,0.98691
02_taiwan_creditcard,off,False,lgbm,0,0.8235,0.13259,0.47013,0.66525,0.36351,0.28509,0.77817,0.54689,712.67083
02_taiwan_creditcard,off,False,lgbm,1,0.8225,0.13417,0.48536,0.675,0.3789,0.28823,0.77869,0.56248,661.933622
02_taiwan_creditcard,off,False,lgbm,2,0.8126,0.13926,0.47122,0.65696,0.36736,0.27601,0.77384,0.55031,652.883165
02_taiwan_creditcard,off,False,lr,0,0.8155,0.1422,0.33847,0.74331,0.21913,0.24078,0.71798,0.50814,0.474987
02_taiwan_creditcard,off,False,lr,1,0.8105,0.14557,0.35036,0.72175,0.23133,0.2363,0.7148,0.50174,0.252665
02_taiwan_creditcard,off,False,lr,2,0.8019,0.1493,0.3507,0.68766,0.23537,0.23628,0.72064,0.49219,0.171591
