dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
02_taiwan_creditcard,on (ratio=0.1),False,ab,0,0.8035,0.16487,0.22971,0.73804,0.13603,0.27833,0.77268,0.53193,1.093737
02_taiwan_creditcard,on (ratio=0.1),False,ab,1,0.7986,0.16787,0.22119,0.75862,0.12947,0.2701,0.76361,0.53671,1.214934
02_taiwan_creditcard,on (ratio=0.1),False,ab,2,0.7984,0.1649,0.30817,0.70047,0.19754,0.25214,0.75673,0.51273,1.089184
02_taiwan_creditcard,on (ratio=0.1),False,ann,0,0.7846,0.17884,0.0,0.0,0.0,0.15632,0.68082,0.43578,5.78402
02_taiwan_creditcard,on (ratio=0.1),False,ann,1,0.7791,0.1727,0.0,0.0,0.0,0.17952,0.69086,0.45714,4.701332
02_taiwan_creditcard,on (ratio=0.1),False,ann,2,0.7727,0.17805,0.0,0.0,0.0,0.19859,0.70361,0.4643,4.80178
02_taiwan_creditcard,on (ratio=0.1),False,bnb,0,0.7818,0.17287,0.11229,0.45395,0.06407,0.10284,0.66121,0.33926,0.020201
02_taiwan_creditcard,on (ratio=0.1),False,bnb,1,0.7665,0.18271,0.14438,0.37885,0.08918,0.07723,0.63996,0.32135,0.019798
02_taiwan_creditcard,on (ratio=0.1),False,bnb,2,0.7745,0.17952,0.04973,0.59,0.02596,0.10112,0.66431,0.35291,0.019839
02_taiwan_creditcard,on (ratio=0.1),False,cb,0,0.8081,0.14648,0.26616,0.75488,0.16156,0.27852,0.77133,0.54201,5.325
02_taiwan_creditcard,on (ratio=0.1),False,cb,1,0.8032,0.14965,0.26126,0.76484,0.15754,0.27895,0.7715,0.55415,5.540153
02_taiwan_creditcard,on (ratio=0.1),False,cb,2,0.7985,0.15519,0.29864,0.715,0.18874,0.26915,0.77097,0.54524,5.485472
02_taiwan_creditcard,on (ratio=0.1),False,dt,0,0.7684,0.2314,0.33448,0.43891,0.27019,0.0688,0.58827,0.2761,0.335083
02_taiwan_creditcard,on (ratio=0.1),False,dt,1,0.7652,0.2348,0.33785,0.44802,0.27116,0.06876,0.58828,0.28259,0.345001
02_taiwan_creditcard,on (ratio=0.1),False,dt,2,0.7568,0.24325,0.32669,0.44063,0.25957,0.05927,0.58122,0.28267,0.318797
02_taiwan_creditcard,on (ratio=0.1),False,gnb,0,0.7774,0.18552,0.52273,0.48566,0.56592,0.24458,0.74034,0.49397,0.026394
02_taiwan_creditcard,on (ratio=0.1),False,gnb,1,0.7652,0.19475,0.52276,0.47436,0.58216,0.24437,0.74118,0.50838,0.026358
02_taiwan_creditcard,on (ratio=0.1),False,gnb,2,0.7606,0.20878,0.51889,0.47762,0.56797,0.23626,0.73437,0.48822,0.024924
02_taiwan_creditcard,on (ratio=0.1),False,knn,0,0.8002,0.16508,0.24203,0.66183,0.1481,0.14011,0.66706,0.37132,0.115517
02_taiwan_creditcard,on (ratio=0.1),False,knn,1,0.7988,0.1686,0.25866,0.69505,0.1589,0.13954,0.66101,0.38117,0.074911
02_taiwan_creditcard,on (ratio=0.1),False,knn,2,0.7891,0.17432,0.25186,0.65018,0.15618,0.13834,0.66555,0.38013,0.071483
02_taiwan_creditcard,on (ratio=0.1),False,lda,0,0.7965,0.15496,0.13881,0.78469,0.07614,0.23627,0.71064,0.50509,0.045248
02_taiwan_creditcard,on (ratio=0.1),False,lda,1,0.7913,0.15788,0.14572,0.76068,0.08058,0.23127,0.71056,0.49758,0.041344
02_taiwan_creditcard,on (ratio=0.1),False,lda,2,0.7863,0.16232,0.18028,0.70359,0.10339,0.22843,0.70922,0.48735,0.041237
02_taiwan_creditcard,on (ratio=0.1),False,lgbm,0,0.806,0.1483,0.26067,0.72766,0.15877,0.26988,0.76722,0.52268,0.277062
02_taiwan_creditcard,on (ratio=0.1),False,lgbm,1,0.8057,0.14985,0.27796,0.77593,0.16931,0.27454,0.7697,0.54825,0.285741
02_taiwan_creditcard,on (ratio=0.1),False,lgbm,2,0.7996,0.15529,0.29832,0.7307,0.18742,0.26119,0.76458,0.53851,0.263925
02_taiwan_creditcard,on (ratio=0.1),False,lr,0,0.7898,0.15867,0.05993,0.81707,0.0311,0.23898,0.71477,0.50706,0.063459
02_taiwan_creditcard,on (ratio=0.1),False,lr,1,0.7844,0.16142,0.06989,0.74312,0.03667,0.23216,0.71318,0.49892,0.059166
02_taiwan_creditcard,on (ratio=0.1),False,lr,2,0.7775,0.16532,0.0802,0.66438,0.04267,0.23575,0.71639,0.49364,0.058451
02_taiwan_creditcard,on (ratio=0.1),False,rf,0,0.8048,0.14643,0.23988,0.74396,0.14299,0.24843,0.74945,0.51253,3.541852
02_taiwan_creditcard,on (ratio=0.1),False,rf,1,0.7986,0.14943,0.22598,0.74809,0.13309,0.24862,0.7502,0.52237,3.546366
02_taiwan_creditcard,on (ratio=0.1),False,rf,2,0.7982,0.15382,0.27043,0.75862,0.16454,0.2392,0.74633,0.51928,3.47975
02_taiwan_creditcard,on (ratio=0.1),False,tabnet,0,0.81,0.15337,0.52141,0.56993,0.4805,0.27178,0.75816,0.53328,17.417512
02_taiwan_creditcard,on (ratio=0.1),False,tabnet,1,0.774,0.16931,0.52561,0.49002,0.56677,0.26313,0.74471,0.52361,23.868117
02_taiwan_creditcard,on (ratio=0.1),False,tabnet,2,0.7497,0.18122,0.5167,0.46043,0.58865,0.24655,0.75238,0.51967,40.144872
02_taiwan_creditcard,on (ratio=0.1),False,xgb,0,0.8054,0.15507,0.28978,0.67747,0.18431,0.22711,0.74343,0.49494,0.465857
02_taiwan_creditcard,on (ratio=0.1),False,xgb,1,0.8043,0.15713,0.2912,0.72826,0.18198,0.22769,0.74314,0.50964,0.165691
02_taiwan_creditcard,on (ratio=0.1),False,xgb,2,0.798,0.16179,0.30964,0.69372,0.1993,0.22871,0.74406,0.50805,0.16737
02_taiwan_creditcard,on (ratio=0.1),False,tabpfn,0,0.8047,0.15201,0.2314,0.75969,0.13649,0.28531,0.77391,0.54567,28.758916
02_taiwan_creditcard,on (ratio=0.1),False,tabpfn,1,0.8044,0.15456,0.27069,0.76744,0.16433,0.28171,0.76695,0.55324,28.627182
02_taiwan_creditcard,on (ratio=0.1),False,tabpfn,2,0.7972,0.16201,0.2839,0.71914,0.17686,0.26532,0.76784,0.53244,28.767194
