dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
02_taiwan_creditcard,on (ratio=0.5),False,ab,0,0.8254,0.1792,0.49096,0.65987,0.3909,0.27104,0.76066,0.53218,1.517967
02_taiwan_creditcard,on (ratio=0.5),False,ab,1,0.818,0.18116,0.49332,0.64064,0.40109,0.27413,0.76291,0.53792,1.529693
02_taiwan_creditcard,on (ratio=0.5),False,ab,2,0.8112,0.18305,0.485,0.63819,0.39111,0.26589,0.76633,0.52986,1.558174
02_taiwan_creditcard,on (ratio=0.5),False,ann,0,0.8132,0.15471,0.37441,0.67188,0.25952,0.21816,0.70829,0.48601,7.507321
02_taiwan_creditcard,on (ratio=0.5),False,ann,1,0.8114,0.15966,0.41574,0.65849,0.30376,0.23223,0.70708,0.49042,6.243706
02_taiwan_creditcard,on (ratio=0.5),False,ann,2,0.7989,0.15859,0.37293,0.64026,0.26309,0.22299,0.71452,0.47919,6.285647
02_taiwan_creditcard,on (ratio=0.5),False,bnb,0,0.7805,0.17255,0.21803,0.46861,0.14206,0.11976,0.66641,0.37299,0.021974
02_taiwan_creditcard,on (ratio=0.5),False,bnb,1,0.7428,0.17973,0.29842,0.37543,0.24762,0.0893,0.65274,0.34219,0.020576
02_taiwan_creditcard,on (ratio=0.5),False,bnb,2,0.7667,0.17937,0.23079,0.46053,0.15398,0.10824,0.6624,0.36815,0.020722
02_taiwan_creditcard,on (ratio=0.5),False,cb,0,0.8223,0.13371,0.48418,0.64601,0.38719,0.28443,0.77661,0.54836,5.697306
02_taiwan_creditcard,on (ratio=0.5),False,cb,1,0.8189,0.13599,0.49229,0.64654,0.39746,0.28221,0.77362,0.55864,5.760223
02_taiwan_creditcard,on (ratio=0.5),False,cb,2,0.8129,0.1389,0.48157,0.65045,0.38231,0.28213,0.77766,0.55751,5.660026
02_taiwan_creditcard,on (ratio=0.5),False,dt,0,0.7078,0.29205,0.38639,0.35276,0.42711,0.06268,0.60642,0.27426,0.428792
02_taiwan_creditcard,on (ratio=0.5),False,dt,1,0.7072,0.29285,0.39703,0.36419,0.4364,0.06682,0.61012,0.28343,0.407535
02_taiwan_creditcard,on (ratio=0.5),False,dt,2,0.7055,0.2945,0.40589,0.37481,0.44259,0.06966,0.61271,0.29259,0.437538
02_taiwan_creditcard,on (ratio=0.5),False,gnb,0,0.4125,0.44043,0.39276,0.25263,0.88208,0.23474,0.73108,0.48953,0.027132
02_taiwan_creditcard,on (ratio=0.5),False,gnb,1,0.4561,0.38424,0.40823,0.26869,0.84925,0.23423,0.73137,0.50101,0.028672
02_taiwan_creditcard,on (ratio=0.5),False,gnb,2,0.4608,0.39375,0.41922,0.27756,0.85614,0.22808,0.72862,0.48158,0.028028
02_taiwan_creditcard,on (ratio=0.5),False,knn,0,0.7421,0.18861,0.44093,0.41358,0.47214,0.14692,0.69307,0.38109,0.090784
02_taiwan_creditcard,on (ratio=0.5),False,knn,1,0.7347,0.19246,0.4423,0.41287,0.47623,0.14171,0.68825,0.38445,0.084513
02_taiwan_creditcard,on (ratio=0.5),False,knn,2,0.7401,0.19278,0.44596,0.43259,0.46018,0.14688,0.69137,0.39161,0.089443
02_taiwan_creditcard,on (ratio=0.5),False,lda,0,0.8205,0.15157,0.4902,0.63131,0.40065,0.23959,0.71911,0.50806,0.042252
02_taiwan_creditcard,on (ratio=0.5),False,lda,1,0.8122,0.15629,0.4938,0.61026,0.41467,0.23326,0.71447,0.49846,0.043326
02_taiwan_creditcard,on (ratio=0.5),False,lda,2,0.8064,0.15737,0.48674,0.61241,0.40387,0.2347,0.72109,0.49079,0.049074
02_taiwan_creditcard,on (ratio=0.5),False,lgbm,0,0.8226,0.13473,0.48728,0.64548,0.39136,0.28512,0.77587,0.54483,0.335473
02_taiwan_creditcard,on (ratio=0.5),False,lgbm,1,0.819,0.13756,0.50193,0.64,0.41286,0.28218,0.77317,0.55885,0.303887
02_taiwan_creditcard,on (ratio=0.5),False,lgbm,2,0.8134,0.14114,0.48793,0.64843,0.39111,0.27069,0.76958,0.55068,0.367267
02_taiwan_creditcard,on (ratio=0.5),False,lr,0,0.8201,0.15266,0.48848,0.63023,0.39879,0.24035,0.72066,0.50871,0.080514
02_taiwan_creditcard,on (ratio=0.5),False,lr,1,0.8136,0.15726,0.49237,0.61791,0.40923,0.23387,0.71572,0.49903,0.091898
02_taiwan_creditcard,on (ratio=0.5),False,lr,2,0.8072,0.15829,0.48696,0.61616,0.40255,0.23646,0.72277,0.49217,0.078501
02_taiwan_creditcard,on (ratio=0.5),False,rf,0,0.8174,0.14042,0.49362,0.61295,0.41318,0.2611,0.7614,0.52939,5.03905
02_taiwan_creditcard,on (ratio=0.5),False,rf,1,0.8114,0.14323,0.49572,0.60549,0.41965,0.25822,0.76002,0.53964,5.069133
02_taiwan_creditcard,on (ratio=0.5),False,rf,2,0.8044,0.14694,0.48553,0.60366,0.40607,0.24971,0.75644,0.52522,5.148155
02_taiwan_creditcard,on (ratio=0.5),False,tabnet,0,0.7758,0.18073,0.52399,0.48279,0.57289,0.27634,0.77088,0.52729,38.59577
02_taiwan_creditcard,on (ratio=0.5),False,tabnet,1,0.7377,0.19209,0.51054,0.43429,0.61928,0.26059,0.75378,0.5149,49.710655
02_taiwan_creditcard,on (ratio=0.5),False,tabnet,2,0.7794,0.17402,0.52477,0.51414,0.53586,0.25428,0.75909,0.51564,25.240363
02_taiwan_creditcard,on (ratio=0.5),False,tabpfn,0,0.8257,0.13211,0.49287,0.66017,0.39322,0.29385,0.78412,0.55301,44.372654
02_taiwan_creditcard,on (ratio=0.5),False,tabpfn,1,0.8228,0.13559,0.49429,0.66873,0.39203,0.28827,0.77176,0.5615,44.532021
02_taiwan_creditcard,on (ratio=0.5),False,tabpfn,2,0.8115,0.14019,0.47508,0.64719,0.37527,0.28457,0.78013,0.55097,45.029479
02_taiwan_creditcard,on (ratio=0.5),False,xgb,0,0.808,0.14487,0.47512,0.57779,0.40344,0.24008,0.75137,0.50423,0.16636
02_taiwan_creditcard,on (ratio=0.5),False,xgb,1,0.8024,0.14723,0.4778,0.57397,0.40923,0.23787,0.74914,0.52413,0.148279
