dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
02_taiwan_creditcard,off,True,ab,0,0.8214,0.2172,0.42461,0.69368,0.30594,0.28685,0.77537,0.54291,1.570591
02_taiwan_creditcard,off,True,ab,1,0.8216,0.21761,0.44527,0.71102,0.32413,0.27793,0.76652,0.54388,1.592683
02_taiwan_creditcard,off,True,ab,2,0.8092,0.21762,0.42703,0.67266,0.3128,0.2682,0.76879,0.5308,1.60835
02_taiwan_creditcard,off,True,ann,0,0.8131,0.14287,0.35082,0.69655,0.23445,0.23722,0.72628,0.5019,2.901566
02_taiwan_creditcard,off,True,ann,1,0.8039,0.145,0.29638,0.71453,0.18696,0.24584,0.72137,0.50326,3.150827
02_taiwan_creditcard,off,True,ann,2,0.7948,0.14891,0.29339,0.67512,0.18742,0.24105,0.73364,0.49506,3.097199
02_taiwan_creditcard,off,True,bnb,0,0.7559,0.16908,0.25738,0.37335,0.19638,0.10282,0.66142,0.3401,0.027734
02_taiwan_creditcard,off,True,bnb,1,0.7373,0.1814,0.24921,0.33798,0.19737,0.07888,0.64135,0.32385,0.017589
02_taiwan_creditcard,off,True,bnb,2,0.7483,0.17422,0.24118,0.38314,0.17598,0.09792,0.65999,0.34416,0.014894
02_taiwan_creditcard,off,True,cb,0,0.8253,0.13109,0.4749,0.67349,0.36676,0.29672,0.78501,0.55155,0.504219
02_taiwan_creditcard,off,True,cb,1,0.8229,0.1329,0.48292,0.6801,0.37438,0.2944,0.77996,0.5681,0.676095
02_taiwan_creditcard,off,True,cb,2,0.8114,0.13807,0.46176,0.65719,0.35592,0.28877,0.78164,0.55469,0.666035
02_taiwan_creditcard,off,True,dt,0,0.8254,0.13493,0.47849,0.67085,0.37187,0.27084,0.76071,0.50451,0.084003
02_taiwan_creditcard,off,True,dt,1,0.8254,0.13715,0.48738,0.6934,0.37574,0.27105,0.75384,0.5178,0.086683
02_taiwan_creditcard,off,True,dt,2,0.8118,0.14366,0.45227,0.6681,0.34184,0.25098,0.74913,0.49949,0.089098
02_taiwan_creditcard,off,True,gnb,0,0.7979,0.16633,0.50429,0.53458,0.47725,0.24524,0.74154,0.49376,0.014306
02_taiwan_creditcard,off,True,gnb,1,0.7912,0.1716,0.51238,0.52918,0.4966,0.24084,0.73763,0.50487,0.016343
02_taiwan_creditcard,off,True,gnb,2,0.7849,0.17648,0.51587,0.52811,0.50418,0.23574,0.73588,0.48887,0.01679
02_taiwan_creditcard,off,True,knn,0,0.8122,0.14366,0.40832,0.63529,0.30084,0.21551,0.73344,0.46454,0.089787
02_taiwan_creditcard,off,True,knn,1,0.8106,0.14527,0.43157,0.64025,0.32549,0.22523,0.73228,0.4815,0.092266
02_taiwan_creditcard,off,True,knn,2,0.8019,0.14967,0.42025,0.62762,0.31588,0.21799,0.73218,0.47324,0.095425
02_taiwan_creditcard,off,True,lda,0,0.8167,0.14153,0.36199,0.72323,0.24141,0.23845,0.715,0.50645,0.034783
02_taiwan_creditcard,off,True,lda,1,0.813,0.14491,0.38689,0.70155,0.26709,0.23486,0.7129,0.50003,0.017885
02_taiwan_creditcard,off,True,lda,2,0.8045,0.14899,0.38192,0.67865,0.26573,0.23233,0.71741,0.48935,0.02527
02_taiwan_creditcard,off,True,lgbm,0,0.8278,0.13137,0.47628,0.69048,0.36351,0.29352,0.78414,0.55215,0.113477
02_taiwan_creditcard,off,True,lgbm,1,0.823,0.13269,0.48033,0.68338,0.3703,0.29537,0.78293,0.57161,0.354222
02_taiwan_creditcard,off,True,lgbm,2,0.812,0.13814,0.46316,0.65989,0.3568,0.28495,0.78015,0.55504,0.344375
02_taiwan_creditcard,off,True,lr,0,0.8169,0.14184,0.34909,0.74507,0.22795,0.24077,0.72208,0.51117,1.286115
02_taiwan_creditcard,off,True,lr,1,0.8117,0.14497,0.36321,0.71791,0.2431,0.23928,0.71882,0.50441,0.564132
02_taiwan_creditcard,off,True,lr,2,0.8018,0.14902,0.35941,0.67722,0.24461,0.23747,0.72303,0.49294,0.888245
02_taiwan_creditcard,off,True,rf,0,0.8249,0.13197,0.46469,0.68039,0.35283,0.29044,0.78153,0.55197,0.771114
02_taiwan_creditcard,off,True,rf,1,0.8228,0.13389,0.46978,0.69285,0.35536,0.29011,0.77558,0.56543,0.843067
02_taiwan_creditcard,off,True,rf,2,0.811,0.13879,0.45627,0.65919,0.34888,0.27912,0.7753,0.55203,0.831488
02_taiwan_creditcard,off,True,tabnet,0,0.7831,0.17516,0.52569,0.4969,0.55803,0.27603,0.77218,0.5277,17.164627
02_taiwan_creditcard,off,True,tabnet,1,0.7755,0.17429,0.53355,0.49309,0.58126,0.27677,0.75999,0.54086,15.949911
02_taiwan_creditcard,off,True,tabnet,2,0.7894,0.16764,0.53324,0.53729,0.52926,0.26539,0.7658,0.51939,14.342759
02_taiwan_creditcard,off,True,xgb,0,0.8233,0.13167,0.46761,0.66609,0.36026,0.29185,0.78318,0.55283,0.107132
02_taiwan_creditcard,off,True,xgb,1,0.8248,0.13292,0.48258,0.69414,0.36985,0.29298,0.77956,0.56819,0.079751
02_taiwan_creditcard,off,True,xgb,2,0.8117,0.13787,0.4643,0.657,0.359,0.28714,0.78074,0.55853,0.131764
