dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
02_taiwan_creditcard,off,True,ab,0,0.8221,0.14333,0.42926,0.6947,0.31058,0.28673,0.77628,0.54419,14.18746
02_taiwan_creditcard,off,True,ab,1,0.8214,0.14679,0.4474,0.70674,0.3273,0.27963,0.76899,0.54519,11.858416
02_taiwan_creditcard,off,True,ab,2,0.8091,0.14835,0.42896,0.67009,0.31544,0.26863,0.76966,0.53227,12.093182
02_taiwan_creditcard,off,True,ann,0,0.8261,0.13247,0.47191,0.68218,0.36072,0.28547,0.77654,0.544,102.829001
02_taiwan_creditcard,off,True,ann,1,0.8232,0.13482,0.46651,0.69955,0.34993,0.28551,0.77029,0.56145,93.306969
02_taiwan_creditcard,off,True,ann,2,0.8124,0.13971,0.46092,0.66446,0.35284,0.27133,0.76938,0.53749,94.876783
02_taiwan_creditcard,off,True,bnb,0,0.7559,0.16908,0.25738,0.37335,0.19638,0.10282,0.66142,0.3401,0.01942
02_taiwan_creditcard,off,True,bnb,1,0.7373,0.1814,0.24921,0.33798,0.19737,0.07888,0.64135,0.32385,0.02054
02_taiwan_creditcard,off,True,bnb,2,0.7483,0.17422,0.24118,0.38314,0.17598,0.09792,0.65999,0.34416,0.021059
02_taiwan_creditcard,off,True,cb,0,0.827,0.1307,0.4786,0.68213,0.36862,0.29992,0.7871,0.55327,1.240935
02_taiwan_creditcard,off,True,cb,1,0.8253,0.13249,0.48723,0.69282,0.37574,0.29705,0.78154,0.56865,1.232882
02_taiwan_creditcard,off,True,cb,2,0.8123,0.13785,0.466,0.65942,0.36032,0.28832,0.78125,0.55486,1.234803
02_taiwan_creditcard,off,True,dt,0,0.825,0.13379,0.48378,0.66343,0.38069,0.27157,0.76076,0.50206,0.283985
02_taiwan_creditcard,off,True,dt,1,0.823,0.13768,0.49255,0.67162,0.38886,0.25976,0.7502,0.49674,0.288334
02_taiwan_creditcard,off,True,dt,2,0.8123,0.14193,0.47201,0.65445,0.36912,0.25543,0.75596,0.49399,0.278093
02_taiwan_creditcard,off,True,gnb,0,0.7938,0.1678,0.50741,0.52264,0.49304,0.24519,0.74146,0.49379,0.026254
02_taiwan_creditcard,off,True,gnb,1,0.7877,0.17348,0.51363,0.51994,0.50747,0.241,0.73756,0.50486,0.027412
02_taiwan_creditcard,off,True,gnb,2,0.782,0.17793,0.51663,0.52079,0.51254,0.23554,0.73615,0.48891,0.027385
02_taiwan_creditcard,off,True,knn,0,0.8094,0.14214,0.3891,0.62836,0.2818,0.22592,0.7425,0.48736,0.23623
02_taiwan_creditcard,off,True,knn,1,0.8127,0.14274,0.42387,0.66123,0.31191,0.23535,0.74242,0.51263,0.228144
02_taiwan_creditcard,off,True,knn,2,0.8034,0.14752,0.41348,0.64226,0.30488,0.22593,0.73745,0.50272,0.231769
02_taiwan_creditcard,off,True,lda,0,0.8167,0.14153,0.36199,0.72323,0.24141,0.23845,0.715,0.50645,0.026963
02_taiwan_creditcard,off,True,lda,1,0.813,0.14491,0.38689,0.70155,0.26709,0.23486,0.7129,0.50003,0.026844
02_taiwan_creditcard,off,True,lda,2,0.8045,0.14899,0.38192,0.67865,0.26573,0.23233,0.71741,0.48935,0.027473
02_taiwan_creditcard,off,True,lgbm,0,0.8268,0.13077,0.4761,0.68316,0.36537,0.29859,0.78716,0.55634,0.281178
02_taiwan_creditcard,off,True,lgbm,1,0.8247,0.13273,0.48121,0.69487,0.36804,0.29658,0.78261,0.56794,0.273492
02_taiwan_creditcard,off,True,lgbm,2,0.8113,0.13817,0.46009,0.65794,0.35372,0.28639,0.78022,0.55359,0.269079
02_taiwan_creditcard,off,True,lr,0,0.8169,0.14184,0.34909,0.74507,0.22795,0.24077,0.72208,0.51117,1.523593
02_taiwan_creditcard,off,True,lr,1,0.8117,0.14497,0.36321,0.71791,0.2431,0.23928,0.71882,0.50441,0.698207
02_taiwan_creditcard,off,True,lr,2,0.8018,0.14902,0.35941,0.67722,0.24461,0.23747,0.72303,0.49294,1.110333
02_taiwan_creditcard,off,True,rf,0,0.8239,0.13113,0.4649,0.67282,0.35515,0.2975,0.78701,0.55625,13.501121
02_taiwan_creditcard,off,True,rf,1,0.8236,0.13345,0.47531,0.69297,0.3617,0.29229,0.77899,0.56753,13.339293
02_taiwan_creditcard,off,True,rf,2,0.8112,0.13833,0.45685,0.66002,0.34932,0.28266,0.77675,0.55355,13.47091
02_taiwan_creditcard,off,True,tabnet,0,0.7958,0.16931,0.53612,0.52491,0.54782,0.28795,0.78138,0.53433,66.669896
02_taiwan_creditcard,off,True,tabnet,1,0.7944,0.16381,0.52341,0.53634,0.51109,0.26623,0.7534,0.53503,49.317339
02_taiwan_creditcard,off,True,tabnet,2,0.7725,0.17862,0.53333,0.49962,0.57193,0.27173,0.77309,0.52674,90.479676
02_taiwan_creditcard,off,True,xgb,0,0.8265,0.13084,0.47152,0.68556,0.35933,0.2979,0.78786,0.55412,0.370444
02_taiwan_creditcard,off,True,xgb,1,0.8245,0.13269,0.4769,0.69808,0.36215,0.29765,0.7837,0.5671,0.408059
02_taiwan_creditcard,off,True,xgb,2,0.8108,0.13822,0.45476,0.65915,0.34712,0.28501,0.78039,0.55149,0.362522
