dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
02_taiwan_creditcard,on (ratio=0.1),True,ab,0,0.8015,0.14381,0.1921,0.77888,0.10956,0.28771,0.77815,0.54339,9.455633
02_taiwan_creditcard,on (ratio=0.1),True,ab,1,0.7921,0.14635,0.1469,0.78509,0.08103,0.27751,0.76569,0.54312,9.554639
02_taiwan_creditcard,on (ratio=0.1),True,ab,2,0.7905,0.14943,0.20614,0.74317,0.11967,0.26249,0.76492,0.52835,9.615655
02_taiwan_creditcard,on (ratio=0.1),True,ann,0,0.8077,0.14842,0.25146,0.77831,0.14995,0.26812,0.76231,0.53186,49.702875
02_taiwan_creditcard,on (ratio=0.1),True,ann,1,0.8124,0.14713,0.34451,0.75498,0.22318,0.2749,0.76112,0.54547,56.869013
02_taiwan_creditcard,on (ratio=0.1),True,ann,2,0.8041,0.15666,0.34328,0.72113,0.22525,0.25859,0.76173,0.52243,51.368979
02_taiwan_creditcard,on (ratio=0.1),True,bnb,0,0.7817,0.17263,0.11224,0.45246,0.06407,0.10359,0.66231,0.34045,0.018351
02_taiwan_creditcard,on (ratio=0.1),True,bnb,1,0.7671,0.18243,0.14469,0.38327,0.08918,0.07792,0.64023,0.32193,0.020662
02_taiwan_creditcard,on (ratio=0.1),True,bnb,2,0.7745,0.17927,0.04973,0.59,0.02596,0.10244,0.66525,0.3546,0.019837
02_taiwan_creditcard,on (ratio=0.1),True,cb,0,0.8063,0.14578,0.25356,0.74603,0.15274,0.28988,0.78024,0.54676,1.214809
02_taiwan_creditcard,on (ratio=0.1),True,cb,1,0.804,0.14795,0.26094,0.78104,0.15663,0.28812,0.77644,0.56014,1.219908
02_taiwan_creditcard,on (ratio=0.1),True,cb,2,0.7997,0.15381,0.29397,0.73936,0.18346,0.28272,0.77724,0.55132,1.195739
02_taiwan_creditcard,on (ratio=0.1),True,dt,0,0.8045,0.14869,0.23183,0.75448,0.13695,0.2635,0.75178,0.48738,0.240122
02_taiwan_creditcard,on (ratio=0.1),True,dt,1,0.7791,0.15206,0.0,0.0,0.0,0.25539,0.74471,0.48391,0.242456
02_taiwan_creditcard,on (ratio=0.1),True,dt,2,0.811,0.15744,0.43413,0.67948,0.31896,0.23935,0.74064,0.47572,0.238313
02_taiwan_creditcard,on (ratio=0.1),True,gnb,0,0.8025,0.16505,0.47571,0.55549,0.41597,0.24497,0.74183,0.4933,0.024788
02_taiwan_creditcard,on (ratio=0.1),True,gnb,1,0.797,0.1677,0.4925,0.54997,0.4459,0.2466,0.74334,0.50922,0.026872
02_taiwan_creditcard,on (ratio=0.1),True,gnb,2,0.7935,0.17533,0.50277,0.55532,0.4593,0.23659,0.7338,0.48865,0.026418
02_taiwan_creditcard,on (ratio=0.1),True,knn,0,0.7958,0.1577,0.15829,0.70588,0.08914,0.21309,0.72352,0.47568,2.646056
02_taiwan_creditcard,on (ratio=0.1),True,knn,1,0.7914,0.16019,0.16158,0.72043,0.09099,0.21481,0.72219,0.4809,2.593065
02_taiwan_creditcard,on (ratio=0.1),True,knn,2,0.7866,0.16476,0.18674,0.69801,0.10779,0.21157,0.72204,0.48094,2.877481
02_taiwan_creditcard,on (ratio=0.1),True,lda,0,0.7965,0.15496,0.13881,0.78469,0.07614,0.23627,0.71064,0.50509,0.027375
02_taiwan_creditcard,on (ratio=0.1),True,lda,1,0.7914,0.15788,0.14648,0.7617,0.08103,0.23127,0.71056,0.49758,0.026565
02_taiwan_creditcard,on (ratio=0.1),True,lda,2,0.7863,0.16232,0.18028,0.70359,0.10339,0.22843,0.70922,0.48735,0.026377
02_taiwan_creditcard,on (ratio=0.1),True,lgbm,0,0.8056,0.14699,0.24417,0.7512,0.14578,0.28877,0.77888,0.54325,0.155677
