dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
03_vehicle_loan,off,False,ab,0,0.7849,0.17969,0.00093,0.25,0.00047,0.05021,0.61572,0.29481,1.023153
03_vehicle_loan,off,False,ab,1,0.7812,0.17797,0.00091,0.5,0.00046,0.05698,0.62323,0.30988,1.029848
03_vehicle_loan,off,False,ab,2,0.7834,0.1787,0.0,0.0,0.0,0.05409,0.62509,0.29383,1.225088
03_vehicle_loan,off,False,ann,0,0.7851,0.16699,0.0,0.0,0.0,0.0233,0.56793,0.26138,21.99047
03_vehicle_loan,off,False,ann,1,0.7812,0.16873,0.0,0.0,0.0,0.02687,0.57459,0.27563,6.62406
03_vehicle_loan,off,False,ann,2,0.7834,0.16784,0.0,0.0,0.0,0.02501,0.57418,0.26213,6.152519
03_vehicle_loan,off,False,bnb,0,0.7638,0.18115,0.11931,0.30019,0.07445,0.0133,0.54333,0.24561,0.048223
03_vehicle_loan,off,False,bnb,1,0.7699,0.17426,0.11398,0.36186,0.06764,0.01939,0.5603,0.26601,0.03619
03_vehicle_loan,off,False,bnb,2,0.7734,0.17202,0.06902,0.31343,0.03878,0.01983,0.56694,0.25681,0.032749
03_vehicle_loan,off,False,cb,0,0.7811,0.16373,0.04117,0.35075,0.02187,0.06112,0.6312,0.30257,5.958693
03_vehicle_loan,off,False,cb,1,0.7823,0.16292,0.05307,0.54955,0.02788,0.07617,0.64517,0.33596,5.84837
03_vehicle_loan,off,False,cb,2,0.7812,0.16388,0.05117,0.42143,0.02724,0.06455,0.6347,0.30912,5.866156
03_vehicle_loan,off,False,dt,0,0.6707,0.3293,0.26282,0.25324,0.27315,0.00426,0.52633,0.22537,0.25851
03_vehicle_loan,off,False,dt,1,0.6636,0.33628,0.26033,0.25085,0.27057,0.00309,0.52243,0.2275,0.27277
03_vehicle_loan,off,False,dt,2,0.6691,0.33085,0.26548,0.25566,0.27608,0.00449,0.52706,0.2274,0.260339
03_vehicle_loan,off,False,gnb,0,0.2373,0.76198,0.35577,0.21734,0.97999,0.02241,0.57755,0.25907,0.032888
03_vehicle_loan,off,False,gnb,1,0.2619,0.73569,0.36101,0.22269,0.95293,0.03437,0.59437,0.27929,0.039949
03_vehicle_loan,off,False,gnb,2,0.2483,0.74908,0.35845,0.21987,0.96953,0.01963,0.57076,0.25537,0.040326
03_vehicle_loan,off,False,knn,0,0.7465,0.19632,0.15641,0.27453,0.10935,0.00822,0.54125,0.23663,0.126976
03_vehicle_loan,off,False,knn,1,0.7464,0.19645,0.17016,0.29954,0.11883,0.01021,0.55037,0.24423,0.112123
03_vehicle_loan,off,False,knn,2,0.7477,0.19513,0.16429,0.29074,0.1145,0.00968,0.54333,0.24131,0.164103
03_vehicle_loan,off,False,lda,0,0.784,0.16325,0.00826,0.31034,0.00419,0.05909,0.62868,0.29859,0.154385
03_vehicle_loan,off,False,lda,1,0.7816,0.16443,0.01444,0.57143,0.00731,0.06634,0.63381,0.31922,0.315232
03_vehicle_loan,off,False,lda,2,0.7831,0.16426,0.01543,0.45946,0.00785,0.05738,0.62725,0.29969,0.1214
03_vehicle_loan,off,False,lgbm,0,0.782,0.16432,0.05546,0.40252,0.02978,0.05757,0.62682,0.3,0.273743
03_vehicle_loan,off,False,lgbm,1,0.7805,0.16452,0.04855,0.47059,0.02559,0.06619,0.63358,0.32072,0.379146
03_vehicle_loan,off,False,lgbm,2,0.7796,0.16528,0.05731,0.38953,0.03093,0.05743,0.6253,0.29949,0.281067
03_vehicle_loan,off,False,lr,0,0.7845,0.163,0.0037,0.28571,0.00186,0.0601,0.62992,0.30099,0.13227
03_vehicle_loan,off,False,lr,1,0.781,0.16425,0.00635,0.4375,0.0032,0.06876,0.63592,0.32174,0.113926
03_vehicle_loan,off,False,lr,2,0.7833,0.16394,0.01005,0.47826,0.00508,0.05803,0.6286,0.30165,0.116148
03_vehicle_loan,off,False,rf,0,0.7746,0.16972,0.0785,0.32323,0.04467,0.03776,0.60184,0.27995,2.79553
03_vehicle_loan,off,False,rf,1,0.7753,0.17062,0.0711,0.37229,0.03931,0.03844,0.59865,0.28986,3.029246
03_vehicle_loan,off,False,rf,2,0.7742,0.17008,0.07459,0.33212,0.04201,0.03879,0.6038,0.28135,3.045356
03_vehicle_loan,off,False,tabnet,0,0.5489,0.24059,0.37891,0.26907,0.6403,0.0411,0.6067,0.27753,29.125335
03_vehicle_loan,off,False,tabnet,1,0.5472,0.24021,0.37682,0.26959,0.62569,0.04677,0.61058,0.29528,44.369099
03_vehicle_loan,off,False,tabnet,2,0.487,0.24458,0.38043,0.25761,0.72715,0.0356,0.59343,0.26973,52.366192
03_vehicle_loan,off,False,tabpfn,0,0.785,0.16302,0.00186,0.4,0.00093,0.06287,0.63289,0.30555,77.433668
03_vehicle_loan,off,False,tabpfn,1,0.7812,0.1649,0.0,0.0,0.0,0.06937,0.63669,0.32644,82.380777
03_vehicle_loan,off,False,tabpfn,2,0.7832,0.16412,0.0,0.0,0.0,0.0669,0.63799,0.30869,77.318132
03_vehicle_loan,off,False,xgb,0,0.7752,0.17096,0.11705,0.37531,0.06933,0.04111,0.60413,0.28542,0.157183
03_vehicle_loan,off,False,xgb,1,0.7725,0.17068,0.10609,0.37815,0.0617,0.0477,0.61304,0.30009,0.165673
03_vehicle_loan,off,False,xgb,2,0.7721,0.17151,0.11495,0.36186,0.06833,0.04452,0.6085,0.28898,0.152646
