dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
03_vehicle_loan,on (ratio=0.1),False,ab,0,0.7851,0.16927,0.0,0.0,0.0,0.04356,0.60652,0.2894,0.927472
03_vehicle_loan,on (ratio=0.1),False,ab,1,0.7812,0.17066,0.0,0.0,0.0,0.05604,0.61871,0.3119,1.074229
03_vehicle_loan,on (ratio=0.1),False,ab,2,0.7834,0.16874,0.0,0.0,0.0,0.05123,0.62027,0.28637,0.864335
03_vehicle_loan,on (ratio=0.1),False,ann,0,0.7851,0.17759,0.0,0.0,0.0,0.01636,0.55341,0.25329,8.294892
03_vehicle_loan,on (ratio=0.1),False,ann,1,0.7812,0.18709,0.0,0.0,0.0,0.01626,0.55512,0.25768,7.397783
03_vehicle_loan,on (ratio=0.1),False,ann,2,0.7834,0.18167,0.0,0.0,0.0,0.01594,0.5575,0.25101,9.29111
03_vehicle_loan,on (ratio=0.1),False,bnb,0,0.7847,0.1812,0.00185,0.25,0.00093,0.01198,0.54038,0.24483,0.044638
03_vehicle_loan,on (ratio=0.1),False,bnb,1,0.7812,0.18239,0.00091,0.5,0.00046,0.01719,0.55581,0.26164,0.030833
03_vehicle_loan,on (ratio=0.1),False,bnb,2,0.7833,0.18102,0.0,0.0,0.0,0.01983,0.56844,0.25901,0.030229
03_vehicle_loan,on (ratio=0.1),False,cb,0,0.7853,0.17803,0.00186,1.0,0.00093,0.04809,0.61582,0.28871,6.500442
03_vehicle_loan,on (ratio=0.1),False,cb,1,0.781,0.18016,0.00091,0.25,0.00046,0.05835,0.625,0.31216,5.68248
03_vehicle_loan,on (ratio=0.1),False,cb,2,0.7833,0.17878,0.00368,0.44444,0.00185,0.05722,0.62637,0.3037,5.714982
03_vehicle_loan,on (ratio=0.1),False,dt,0,0.7279,0.2721,0.188,0.26206,0.14658,0.00292,0.5168,0.22181,0.364732
03_vehicle_loan,on (ratio=0.1),False,dt,1,0.724,0.276,0.19345,0.26823,0.15128,0.00323,0.51784,0.22628,0.256269
03_vehicle_loan,on (ratio=0.1),False,dt,2,0.7192,0.28078,0.17363,0.23945,0.1362,0.00072,0.50839,0.21972,0.232268
03_vehicle_loan,on (ratio=0.1),False,gnb,0,0.2457,0.75297,0.35414,0.217,0.96231,0.00717,0.53684,0.23047,0.027836
03_vehicle_loan,on (ratio=0.1),False,gnb,1,0.2516,0.74684,0.35925,0.22103,0.95887,0.02747,0.58439,0.2704,0.035442
03_vehicle_loan,on (ratio=0.1),False,gnb,2,0.2378,0.76153,0.35679,0.2183,0.97599,0.01962,0.57116,0.25472,0.032078
03_vehicle_loan,on (ratio=0.1),False,knn,0,0.7801,0.19646,0.0351,0.30769,0.01861,0.00389,0.527,0.22719,0.130161
03_vehicle_loan,on (ratio=0.1),False,knn,1,0.7761,0.19838,0.03366,0.30233,0.01782,0.00409,0.52527,0.2319,0.084485
03_vehicle_loan,on (ratio=0.1),False,knn,2,0.7805,0.19479,0.02661,0.33708,0.01385,0.00571,0.53388,0.23277,0.085131
03_vehicle_loan,on (ratio=0.1),False,lda,0,0.7851,0.17739,0.00186,0.5,0.00093,0.05076,0.61929,0.29069,0.166529
03_vehicle_loan,on (ratio=0.1),False,lda,1,0.781,0.17998,0.0,0.0,0.0,0.05656,0.62482,0.30715,0.223423
03_vehicle_loan,on (ratio=0.1),False,lda,2,0.783,0.17851,0.00092,0.16667,0.00046,0.05727,0.62681,0.29718,0.341151
03_vehicle_loan,on (ratio=0.1),False,lgbm,0,0.7849,0.1791,0.0083,0.45,0.00419,0.03786,0.6008,0.28225,0.313784
03_vehicle_loan,on (ratio=0.1),False,lgbm,1,0.7815,0.18096,0.00727,0.61538,0.00366,0.0478,0.6112,0.30165,0.322532
03_vehicle_loan,on (ratio=0.1),False,lgbm,2,0.7831,0.18011,0.00732,0.42105,0.00369,0.04769,0.61571,0.28966,0.330927
03_vehicle_loan,on (ratio=0.1),False,lr,0,0.7851,0.17714,0.0,0.0,0.0,0.05144,0.61938,0.29351,0.094878
03_vehicle_loan,on (ratio=0.1),False,lr,1,0.7812,0.17985,0.0,0.0,0.0,0.05825,0.62702,0.3104,0.088287
03_vehicle_loan,on (ratio=0.1),False,lr,2,0.7834,0.17829,0.0,0.0,0.0,0.05986,0.6282,0.30128,0.095001
03_vehicle_loan,on (ratio=0.1),False,rf,0,0.7843,0.17963,0.00736,0.33333,0.00372,0.02229,0.57704,0.26174,2.302922
03_vehicle_loan,on (ratio=0.1),False,rf,1,0.7817,0.18072,0.01622,0.58065,0.00823,0.02818,0.58161,0.28098,2.369891
03_vehicle_loan,on (ratio=0.1),False,rf,2,0.783,0.17971,0.00459,0.35714,0.00231,0.03009,0.59019,0.27045,2.107601
03_vehicle_loan,on (ratio=0.1),False,tabnet,0,0.5163,0.24424,0.3663,0.25492,0.65054,0.02688,0.58264,0.25276,67.39555
03_vehicle_loan,on (ratio=0.1),False,tabnet,1,0.6077,0.23519,0.35678,0.27819,0.49726,0.03218,0.59147,0.27755,75.002669
03_vehicle_loan,on (ratio=0.1),False,tabnet,2,0.5804,0.24157,0.35624,0.26677,0.53601,0.03062,0.58867,0.27558,66.957928
03_vehicle_loan,on (ratio=0.1),False,xgb,0,0.7833,0.18446,0.01634,0.33333,0.00838,0.0252,0.58022,0.2642,1.468793
03_vehicle_loan,on (ratio=0.1),False,xgb,1,0.7799,0.1858,0.01697,0.37255,0.00868,0.03498,0.59464,0.27976,0.162314
03_vehicle_loan,on (ratio=0.1),False,xgb,2,0.782,0.1848,0.02504,0.4,0.01293,0.03431,0.59544,0.27505,0.175008
03_vehicle_loan,on (ratio=0.1),False,tabpfn,0,0.7851,0.18766,0.0,0.0,0.0,0.05699,0.62526,0.29928,63.052991
03_vehicle_loan,on (ratio=0.1),False,tabpfn,1,0.7812,0.19169,0.0,0.0,0.0,0.06138,0.62752,0.31832,63.614369
03_vehicle_loan,on (ratio=0.1),False,tabpfn,2,0.7834,0.19012,0.0,0.0,0.0,0.05585,0.62475,0.30331,61.785983
