dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
03_vehicle_loan,off,True,ab,0,0.78269,0.22729,0.0,0.0,0.0,0.05407,0.62583,0.30426,10.292398
03_vehicle_loan,off,True,ab,1,0.78309,0.22735,0.0,0.0,0.0,0.05669,0.62906,0.30683,10.799107
03_vehicle_loan,off,True,ab,2,0.78301,0.22725,0.0,0.0,0.0,0.05601,0.62816,0.30688,11.261054
03_vehicle_loan,off,True,ann,0,0.78269,0.16792,0.0,0.0,0.0,0.02408,0.57879,0.27005,20.541516
03_vehicle_loan,off,True,ann,1,0.78309,0.16766,0.0,0.0,0.0,0.02528,0.58114,0.27111,20.159144
03_vehicle_loan,off,True,ann,2,0.78301,0.16763,0.0,0.0,0.0,0.02602,0.58358,0.2727,20.709645
03_vehicle_loan,off,True,bnb,0,0.76686,0.17768,0.10976,0.32246,0.06614,0.01931,0.56391,0.25859,0.190302
03_vehicle_loan,off,True,bnb,1,0.7659,0.17881,0.11705,0.32177,0.07154,0.0171,0.56005,0.25709,0.199719
03_vehicle_loan,off,True,bnb,2,0.76816,0.17721,0.10899,0.32817,0.06535,0.01976,0.56512,0.26089,0.175521
03_vehicle_loan,off,True,cb,0,0.78212,0.16187,0.03013,0.4614,0.01557,0.07721,0.65278,0.32674,2.916784
03_vehicle_loan,off,True,cb,1,0.78305,0.16154,0.03059,0.4972,0.01578,0.07762,0.65304,0.32847,2.919621
03_vehicle_loan,off,True,cb,2,0.78305,0.16143,0.0327,0.50265,0.0169,0.07866,0.6538,0.32999,2.924548
03_vehicle_loan,off,True,dt,0,0.78008,0.16678,0.03566,0.37844,0.01871,0.049,0.62071,0.29522,0.687514
03_vehicle_loan,off,True,dt,1,0.78112,0.16683,0.02387,0.36555,0.01234,0.04982,0.62099,0.29401,0.707086
03_vehicle_loan,off,True,dt,2,0.77992,0.16687,0.04061,0.37552,0.02147,0.0493,0.62117,0.29174,0.71294
03_vehicle_loan,off,True,gnb,0,0.56387,0.3201,0.37179,0.2706,0.59388,0.03157,0.59554,0.27508,0.155313
03_vehicle_loan,off,True,gnb,1,0.44906,0.40845,0.37333,0.2478,0.75655,0.03011,0.59322,0.27517,0.158941
03_vehicle_loan,off,True,gnb,2,0.54196,0.32678,0.37746,0.26767,0.63994,0.0353,0.60092,0.28065,0.161041
03_vehicle_loan,off,True,knn,0,0.7804,0.17112,0.03886,0.39747,0.02043,0.02907,0.59065,0.2744,7.632897
03_vehicle_loan,off,True,knn,1,0.78053,0.17078,0.04416,0.39919,0.02337,0.03,0.59285,0.27329,10.287123
03_vehicle_loan,off,True,knn,2,0.78031,0.1706,0.03591,0.37589,0.01886,0.03036,0.59387,0.27295,7.907238
03_vehicle_loan,off,True,lda,0,0.78233,0.16362,0.01318,0.44488,0.00669,0.06324,0.63762,0.31136,0.269761
03_vehicle_loan,off,True,lda,1,0.78277,0.16326,0.01286,0.44898,0.00653,0.06405,0.63885,0.3132,0.22602
03_vehicle_loan,off,True,lda,2,0.78273,0.16304,0.01159,0.45,0.00587,0.06704,0.64189,0.31571,0.236043
03_vehicle_loan,off,True,lgbm,0,0.7827,0.16171,0.02965,0.50097,0.01528,0.07762,0.65251,0.32946,0.536757
