dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
03_vehicle_loan,off,True,ab,0,0.7851,0.16896,0.0,0.0,0.0,0.04911,0.61394,0.29613,11.072966
03_vehicle_loan,off,True,ab,1,0.7812,0.16948,0.0,0.0,0.0,0.05812,0.62087,0.31743,9.388223
03_vehicle_loan,off,True,ab,2,0.7834,0.16752,0.0,0.0,0.0,0.04891,0.61666,0.28849,8.834976
03_vehicle_loan,off,True,ann,0,0.7851,0.16327,0.0,0.0,0.0,0.05716,0.62629,0.30186,333.832167
03_vehicle_loan,off,True,ann,1,0.7812,0.16621,0.0,0.0,0.0,0.05699,0.62586,0.30511,38.508411
03_vehicle_loan,off,True,ann,2,0.7834,0.16482,0.0,0.0,0.0,0.05079,0.61891,0.29938,38.403786
03_vehicle_loan,off,True,bnb,0,0.7638,0.18116,0.11931,0.30019,0.07445,0.01329,0.54326,0.24559,0.035693
03_vehicle_loan,off,True,bnb,1,0.7699,0.17426,0.11398,0.36186,0.06764,0.01936,0.5602,0.26598,0.037238
03_vehicle_loan,off,True,bnb,2,0.7734,0.17203,0.06902,0.31343,0.03878,0.01982,0.56689,0.25681,0.032781
03_vehicle_loan,off,True,cb,0,0.7839,0.1624,0.02173,0.4,0.01117,0.06599,0.63608,0.30925,1.546472
03_vehicle_loan,off,True,cb,1,0.7821,0.16294,0.01803,0.64516,0.00914,0.07813,0.64615,0.33257,1.562635
03_vehicle_loan,off,True,cb,2,0.7832,0.16292,0.019,0.47727,0.0097,0.06722,0.63947,0.312,1.557321
03_vehicle_loan,off,True,dt,0,0.7734,0.17226,0.10151,0.34316,0.05956,0.03406,0.59394,0.27271,0.186498
03_vehicle_loan,off,True,dt,1,0.7675,0.1777,0.06514,0.2709,0.03702,0.0262,0.58074,0.26376,0.166351
03_vehicle_loan,off,True,dt,2,0.7743,0.17241,0.08512,0.34884,0.04848,0.03561,0.5965,0.27685,0.161586
03_vehicle_loan,off,True,gnb,0,0.7254,0.19991,0.22952,0.28905,0.19032,0.02461,0.57409,0.26719,0.037286
03_vehicle_loan,off,True,gnb,1,0.7326,0.19359,0.23948,0.31702,0.19241,0.02826,0.58018,0.27842,0.042965
03_vehicle_loan,off,True,gnb,2,0.728,0.20051,0.19859,0.27443,0.15559,0.01905,0.56472,0.25968,0.03811
03_vehicle_loan,off,True,knn,0,0.7804,0.17181,0.04272,0.33793,0.0228,0.02055,0.56686,0.26089,1.559439
03_vehicle_loan,off,True,knn,1,0.7772,0.17313,0.04213,0.35507,0.02239,0.02288,0.57401,0.26741,0.476208
03_vehicle_loan,off,True,knn,2,0.7789,0.17187,0.03744,0.32824,0.01985,0.02185,0.569,0.26672,0.468369
03_vehicle_loan,off,True,lda,0,0.784,0.16325,0.00826,0.31034,0.00419,0.05909,0.62868,0.29859,0.088894
03_vehicle_loan,off,True,lda,1,0.7816,0.16443,0.01444,0.57143,0.00731,0.06634,0.63381,0.31922,0.065334
03_vehicle_loan,off,True,lda,2,0.783,0.16427,0.01543,0.44737,0.00785,0.05732,0.62725,0.29951,0.062121
03_vehicle_loan,off,True,lgbm,0,0.7827,0.16311,0.03465,0.38235,0.01815,0.06225,0.63318,0.30525,2.498351
03_vehicle_loan,off,True,lgbm,1,0.782,0.16342,0.03283,0.56061,0.01691,0.07278,0.64108,0.32715,0.503001
03_vehicle_loan,off,True,lgbm,2,0.781,0.16305,0.02493,0.35,0.01293,0.06824,0.63934,0.31144,0.478977
03_vehicle_loan,off,True,lr,0,0.7834,0.16307,0.01096,0.29268,0.00558,0.0618,0.63204,0.3025,2.088374
03_vehicle_loan,off,True,lr,1,0.7817,0.16407,0.01799,0.57143,0.00914,0.07057,0.63663,0.324,1.315418
03_vehicle_loan,off,True,lr,2,0.783,0.16376,0.01543,0.44737,0.00785,0.06151,0.6317,0.30437,1.443635
03_vehicle_loan,off,True,rf,0,0.7855,0.16251,0.01107,0.6,0.00558,0.06232,0.63273,0.3078,3.48229
03_vehicle_loan,off,True,rf,1,0.7814,0.16399,0.00727,0.57143,0.00366,0.06726,0.63373,0.32671,3.627656
03_vehicle_loan,off,True,rf,2,0.7825,0.16298,0.00549,0.28571,0.00277,0.06855,0.63981,0.31062,3.274851
03_vehicle_loan,off,True,tabnet,0,0.5349,0.24249,0.36678,0.25924,0.6268,0.04184,0.60465,0.28689,245.503188
03_vehicle_loan,off,True,tabnet,1,0.5202,0.2455,0.36518,0.25698,0.63071,0.02796,0.58198,0.27228,159.941484
03_vehicle_loan,off,True,tabnet,2,0.5082,0.24473,0.36607,0.25393,0.65559,0.02853,0.58247,0.26549,295.257661
03_vehicle_loan,off,True,xgb,0,0.7825,0.1636,0.0448,0.39844,0.02373,0.06214,0.63196,0.30318,0.326239
03_vehicle_loan,off,True,xgb,1,0.783,0.16332,0.04825,0.59783,0.02514,0.07388,0.64126,0.33295,0.309567
03_vehicle_loan,off,True,xgb,2,0.7815,0.16363,0.0471,0.4252,0.02493,0.06553,0.63638,0.30927,0.303002
