dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
03_vehicle_loan,on (ratio=0.5),True,ab,0,0.7829,0.19145,0.02075,0.33824,0.0107,0.04983,0.61566,0.29117,12.836662
03_vehicle_loan,on (ratio=0.5),True,ab,1,0.7812,0.19236,0.03186,0.5,0.01645,0.05029,0.61429,0.30199,12.604
03_vehicle_loan,on (ratio=0.5),True,ab,2,0.7825,0.18538,0.00184,0.15385,0.00092,0.05241,0.62,0.28866,12.228592
03_vehicle_loan,on (ratio=0.5),True,ann,0,0.7505,0.18207,0.25143,0.35389,0.19497,0.0603,0.62826,0.30863,17.866792
03_vehicle_loan,on (ratio=0.5),True,ann,1,0.7645,0.17591,0.19542,0.38701,0.13071,0.06179,0.63016,0.31412,12.622155
03_vehicle_loan,on (ratio=0.5),True,ann,2,0.7668,0.17573,0.16833,0.36991,0.10896,0.05856,0.62887,0.30223,12.778115
03_vehicle_loan,on (ratio=0.5),True,bnb,0,0.7464,0.18693,0.19081,0.30355,0.13913,0.01906,0.56546,0.25913,0.042924
03_vehicle_loan,on (ratio=0.5),True,bnb,1,0.7388,0.18577,0.21983,0.31724,0.16819,0.02489,0.57333,0.27233,0.033796
03_vehicle_loan,on (ratio=0.5),True,bnb,2,0.7195,0.19566,0.22492,0.28011,0.1879,0.01239,0.5354,0.25029,0.033782
03_vehicle_loan,on (ratio=0.5),True,cb,0,0.7783,0.16745,0.08878,0.38028,0.05026,0.05248,0.61932,0.29738,2.542509
03_vehicle_loan,on (ratio=0.5),True,cb,1,0.7806,0.16699,0.09189,0.48684,0.05073,0.06223,0.62716,0.31835,2.458524
03_vehicle_loan,on (ratio=0.5),True,cb,2,0.7764,0.16745,0.07756,0.36434,0.0434,0.05774,0.62687,0.2998,2.425226
03_vehicle_loan,on (ratio=0.5),True,dt,0,0.7723,0.17568,0.11366,0.34762,0.06794,0.03552,0.5986,0.27171,0.235481
