dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
03_vehicle_loan,on (ratio=0.1),True,ann,0,0.78283,0.18153,0.0,0.0,0.0,0.01634,0.56066,0.25436,1507.893223
03_vehicle_loan,on (ratio=0.1),True,ann,1,0.78193,0.18162,0.0,0.0,0.0,0.01978,0.56534,0.26497,2877.625451
03_vehicle_loan,on (ratio=0.1),True,ann,2,0.78448,0.17973,0.0,0.0,0.0,0.01779,0.56392,0.25612,3272.349236
03_vehicle_loan,on (ratio=0.1),True,tabpfn_auto,0,0.78283,0.19392,0.0,0.0,0.0,0.05117,0.62263,0.2923,48443.708339
03_vehicle_loan,on (ratio=0.1),True,tabpfn_auto,1,0.78193,0.19623,0.0,0.0,0.0,0.04646,0.61569,0.29487,52179.499634
03_vehicle_loan,on (ratio=0.1),True,tabpfn_auto,2,0.78448,0.19498,0.0,0.0,0.0,0.05119,0.6223,0.29542,48174.808442
03_vehicle_loan,on (ratio=0.1),True,ab,0,0.78283,0.20871,0.0,0.0,0.0,0.04848,0.6185,0.29466,8.938194
03_vehicle_loan,on (ratio=0.1),True,ab,1,0.78193,0.20882,0.0,0.0,0.0,0.05832,0.62972,0.31018,7.594552
03_vehicle_loan,on (ratio=0.1),True,ab,2,0.78448,0.20834,0.0,0.0,0.0,0.05537,0.62679,0.29911,7.707878
03_vehicle_loan,on (ratio=0.1),True,bnb,0,0.78274,0.18166,0.00028,0.2,0.00014,0.01508,0.55515,0.25212,0.228639
03_vehicle_loan,on (ratio=0.1),True,bnb,1,0.78184,0.18111,0.0,0.0,0.0,0.01894,0.56123,0.26329,0.165661
03_vehicle_loan,on (ratio=0.1),True,bnb,2,0.78445,0.17953,0.0,0.0,0.0,0.0156,0.5582,0.25228,0.296559
03_vehicle_loan,on (ratio=0.1),True,cb,0,0.78286,0.17768,0.00028,1.0,0.00014,0.06775,0.64142,0.31719,5.125567
03_vehicle_loan,on (ratio=0.1),True,cb,1,0.78193,0.17807,0.0,0.0,0.0,0.07426,0.64756,0.32585,2.88031
03_vehicle_loan,on (ratio=0.1),True,cb,2,0.78442,0.17589,0.0,0.0,0.0,0.07252,0.64651,0.32077,4.134959
03_vehicle_loan,on (ratio=0.1),True,dt,0,0.78262,0.18021,0.0011,0.26667,0.00055,0.03734,0.60319,0.2769,0.370067
03_vehicle_loan,on (ratio=0.1),True,dt,1,0.78196,0.18009,0.00028,1.0,0.00014,0.04596,0.61398,0.28342,0.316555
03_vehicle_loan,on (ratio=0.1),True,dt,2,0.78427,0.17846,0.0025,0.36,0.00125,0.04257,0.61114,0.28008,0.567416
03_vehicle_loan,on (ratio=0.1),True,gnb,0,0.27203,0.69033,0.36088,0.22295,0.9464,0.02873,0.58795,0.26401,0.189276
03_vehicle_loan,on (ratio=0.1),True,gnb,1,0.37335,0.52835,0.36557,0.23457,0.8279,0.02794,0.58723,0.27437,0.224891
03_vehicle_loan,on (ratio=0.1),True,gnb,2,0.39792,0.45677,0.36633,0.2369,0.80749,0.03088,0.5922,0.27209,0.150195
03_vehicle_loan,on (ratio=0.1),True,knn,0,0.78283,0.18286,0.0,0.0,0.0,0.01628,0.56576,0.25314,5.288259
03_vehicle_loan,on (ratio=0.1),True,knn,1,0.7819,0.18373,0.0,0.0,0.0,0.0151,0.56303,0.2536,1.116767
03_vehicle_loan,on (ratio=0.1),True,knn,2,0.78451,0.18121,0.00028,1.0,0.00014,0.01815,0.5709,0.25421,1.931799
03_vehicle_loan,on (ratio=0.1),True,lda,0,0.78256,0.17878,0.00055,0.15385,0.00028,0.05789,0.63062,0.30148,12.335483
03_vehicle_loan,on (ratio=0.1),True,lda,1,0.78196,0.17893,0.00055,0.66667,0.00028,0.06782,0.64177,0.31663,2.613738
03_vehicle_loan,on (ratio=0.1),True,lda,2,0.78439,0.17681,0.00222,0.42105,0.00111,0.06582,0.64003,0.31047,3.751423
03_vehicle_loan,on (ratio=0.1),True,lgbm,0,0.78283,0.1775,0.00028,0.5,0.00014,0.06556,0.63907,0.31249,278.173504
03_vehicle_loan,on (ratio=0.1),True,lgbm,1,0.78193,0.17781,0.0,0.0,0.0,0.07506,0.64892,0.3234,55.598451
03_vehicle_loan,on (ratio=0.1),True,lgbm,2,0.78448,0.17573,0.0,0.0,0.0,0.06911,0.64336,0.31512,83.814839
03_vehicle_loan,on (ratio=0.1),True,lr,0,0.78265,0.17825,0.0,0.0,0.0,0.05946,0.63311,0.30569,29.666467
03_vehicle_loan,on (ratio=0.1),True,lr,1,0.78193,0.17849,0.0,0.0,0.0,0.06841,0.64198,0.31792,17.724177
03_vehicle_loan,on (ratio=0.1),True,lr,2,0.78436,0.17623,0.00139,0.35714,0.0007,0.0672,0.6413,0.31329,12.531156
03_vehicle_loan,on (ratio=0.1),True,rf,0,0.78283,0.1799,0.0,0.0,0.0,0.05937,0.63092,0.30651,6.833629
03_vehicle_loan,on (ratio=0.1),True,rf,1,0.78193,0.1802,0.0,0.0,0.0,0.06831,0.64091,0.32205,4.174613
03_vehicle_loan,on (ratio=0.1),True,rf,2,0.78448,0.17815,0.0,0.0,0.0,0.06464,0.63703,0.31366,4.244005
03_vehicle_loan,on (ratio=0.1),True,tabnet,0,0.57527,0.23669,0.39252,0.28468,0.63186,0.05574,0.62843,0.30195,669.162074
03_vehicle_loan,on (ratio=0.1),True,tabnet,1,0.49578,0.25106,0.38757,0.26361,0.7316,0.04011,0.60582,0.28334,263.296092
03_vehicle_loan,on (ratio=0.1),True,tabnet,2,0.58291,0.23942,0.38469,0.28201,0.60496,0.05039,0.62118,0.29365,303.724378
03_vehicle_loan,on (ratio=0.1),True,tabpfn,0,0.78283,0.19335,0.0,0.0,0.0,0.05061,0.62078,0.29938,323.8185
03_vehicle_loan,on (ratio=0.1),True,tabpfn,1,0.78193,0.1941,0.0,0.0,0.0,0.04438,0.61403,0.29094,343.886491
03_vehicle_loan,on (ratio=0.1),True,tabpfn,2,0.78448,0.19926,0.0,0.0,0.0,0.04462,0.61453,0.28773,329.161873
