dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,off,False,ab,0,0.83714,0.1567,0.0,0.0,0.0,0.09374,0.65845,0.26955,0.288977
06_lendingclub,off,False,ab,1,0.84122,0.15818,0.0,0.0,0.0,0.09812,0.66189,0.26793,0.286017
06_lendingclub,off,False,ab,2,0.84023,0.15819,0.01163,0.75,0.00586,0.07887,0.6465,0.24948,0.293522
06_lendingclub,off,False,ann,0,0.83746,0.13022,0.0,0.0,0.0,0.09821,0.66328,0.27343,2.777516
06_lendingclub,off,False,ann,1,0.84278,0.1265,0.0,0.0,0.0,0.09788,0.65629,0.2725,1.672734
06_lendingclub,off,False,ann,2,0.8396,0.12889,0.0,0.0,0.0,0.09424,0.65754,0.2729,2.167696
06_lendingclub,off,False,bnb,0,0.83526,0.13128,0.00755,0.18182,0.00385,0.08197,0.6406,0.25631,0.012846
06_lendingclub,off,False,bnb,1,0.84466,0.12725,0.03876,0.71429,0.01992,0.08076,0.63607,0.25892,0.012056
06_lendingclub,off,False,bnb,2,0.83584,0.13223,0.06093,0.36957,0.0332,0.06154,0.6207,0.24259,0.012854
06_lendingclub,off,False,cb,0,0.83495,0.13131,0.07381,0.42,0.04046,0.09135,0.65835,0.26771,2.773686
06_lendingclub,off,False,cb,1,0.83808,0.12788,0.08171,0.37705,0.04582,0.09943,0.66928,0.26382,3.008331
06_lendingclub,off,False,cb,2,0.83709,0.13231,0.06475,0.40909,0.03516,0.07434,0.64113,0.24851,2.989251
06_lendingclub,off,False,dt,0,0.741,0.259,0.22347,0.21795,0.22929,0.00883,0.5348,0.17525,0.065105
06_lendingclub,off,False,dt,1,0.74945,0.25055,0.22027,0.21565,0.2251,0.00979,0.53618,0.17037,0.062711
06_lendingclub,off,False,dt,2,0.73183,0.26817,0.1985,0.19065,0.20703,0.00276,0.51956,0.16666,0.064761
06_lendingclub,off,False,gnb,0,0.78046,0.17746,0.30936,0.31653,0.3025,0.10241,0.66715,0.26969,0.013912
06_lendingclub,off,False,gnb,1,0.76574,0.19863,0.29699,0.28114,0.31474,0.07975,0.64468,0.24968,0.015448
06_lendingclub,off,False,gnb,2,0.76441,0.18749,0.30241,0.28799,0.31836,0.09241,0.65827,0.26333,0.0136
06_lendingclub,off,False,knn,0,0.81898,0.15186,0.09404,0.2521,0.0578,0.02194,0.57491,0.19429,0.319712
06_lendingclub,off,False,knn,1,0.82524,0.14557,0.17699,0.34091,0.11952,0.04852,0.59454,0.2147,0.035788
06_lendingclub,off,False,knn,2,0.82143,0.15163,0.10377,0.26613,0.06445,0.02282,0.57496,0.19274,0.034369
06_lendingclub,off,False,lda,0,0.83558,0.12896,0.06417,0.42857,0.03468,0.11886,0.6764,0.28939,0.019383
06_lendingclub,off,False,lda,1,0.84278,0.12574,0.11307,0.5,0.06375,0.11418,0.67398,0.28539,0.016108
06_lendingclub,off,False,lda,2,0.83866,0.12812,0.10122,0.47541,0.05664,0.114,0.67681,0.28642,0.020278
06_lendingclub,off,False,lgbm,0,0.83088,0.13607,0.08475,0.35211,0.04817,0.07175,0.63355,0.24681,0.653121
06_lendingclub,off,False,lgbm,1,0.83526,0.13008,0.09932,0.35366,0.05777,0.08938,0.65241,0.26206,0.318674
06_lendingclub,off,False,lgbm,2,0.8302,0.13591,0.06873,0.28571,0.03906,0.06265,0.62507,0.23316,0.185837
06_lendingclub,off,False,lr,0,0.83714,0.12859,0.02256,0.46154,0.01156,0.11392,0.67366,0.28753,0.023934
06_lendingclub,off,False,lr,1,0.84215,0.12532,0.04906,0.46429,0.0259,0.11184,0.66946,0.28285,0.023509
06_lendingclub,off,False,lr,2,0.84242,0.12746,0.06331,0.68,0.0332,0.1095,0.67455,0.28448,0.022399
06_lendingclub,off,False,rf,0,0.83464,0.13147,0.01493,0.23529,0.00771,0.08872,0.65396,0.26108,1.161896
06_lendingclub,off,False,rf,1,0.84466,0.12897,0.06767,0.6,0.03586,0.07958,0.64742,0.2627,0.996341
06_lendingclub,off,False,rf,2,0.83803,0.13177,0.03724,0.4,0.01953,0.07616,0.64683,0.24775,0.984732
06_lendingclub,off,False,tabnet,0,0.74726,0.21558,0.31899,0.28378,0.36416,0.08008,0.64838,0.24988,5.134713
06_lendingclub,off,False,tabnet,1,0.5678,0.24349,0.32814,0.21714,0.67131,0.08215,0.65165,0.24187,9.550902
06_lendingclub,off,False,tabnet,2,0.7406,0.22915,0.28988,0.25841,0.33008,0.06591,0.62707,0.23992,5.807247
06_lendingclub,off,False,tabpfn,0,0.83683,0.12796,0.01512,0.4,0.00771,0.1192,0.68208,0.29448,6.225256
06_lendingclub,off,False,tabpfn,1,0.84247,0.12487,0.0419,0.47826,0.02191,0.11541,0.67435,0.28647,3.873023
06_lendingclub,off,False,tabpfn,2,0.84211,0.12777,0.04183,0.78571,0.02148,0.11361,0.67739,0.28076,3.780978
06_lendingclub,off,False,xgb,0,0.82211,0.14514,0.12615,0.31298,0.079,0.05844,0.62034,0.22908,0.116026
06_lendingclub,off,False,xgb,1,0.82399,0.14192,0.13804,0.3,0.08964,0.0607,0.62126,0.2347,0.105886
06_lendingclub,off,False,xgb,2,0.81861,0.14647,0.11603,0.26573,0.07422,0.04811,0.60518,0.21884,0.102872
