dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,on (ratio=0.1),False,ab,0,0.83746,0.23724,0.01518,0.5,0.00771,0.08006,0.63974,0.26733,0.299344
06_lendingclub,on (ratio=0.1),False,ab,1,0.84059,0.23947,0.02303,0.31579,0.01195,0.09912,0.66066,0.27147,0.312792
06_lendingclub,on (ratio=0.1),False,ab,2,0.83803,0.23911,0.01147,0.27273,0.00586,0.06263,0.63013,0.23886,0.457645
06_lendingclub,on (ratio=0.1),False,ann,0,0.83746,0.1366,0.0,0.0,0.0,0.09179,0.65878,0.26572,40.039332
06_lendingclub,on (ratio=0.1),False,ann,1,0.84278,0.13029,0.0,0.0,0.0,0.09137,0.65054,0.2641,33.418951
06_lendingclub,on (ratio=0.1),False,ann,2,0.8396,0.13257,0.0,0.0,0.0,0.08858,0.64925,0.26872,66.203013
06_lendingclub,on (ratio=0.1),False,bnb,0,0.8362,0.13524,0.0,0.0,0.0,0.07865,0.63439,0.25375,0.056479
06_lendingclub,on (ratio=0.1),False,bnb,1,0.84435,0.13066,0.0274,0.77778,0.01394,0.07515,0.63357,0.25372,0.014529
06_lendingclub,on (ratio=0.1),False,bnb,2,0.83897,0.13408,0.0,0.0,0.0,0.06027,0.62271,0.23931,0.032319
06_lendingclub,on (ratio=0.1),False,cb,0,0.83526,0.13581,0.01128,0.23077,0.00578,0.08353,0.64587,0.26353,3.764628
06_lendingclub,on (ratio=0.1),False,cb,1,0.84184,0.13178,0.02321,0.4,0.01195,0.09489,0.66272,0.2592,2.565639
06_lendingclub,on (ratio=0.1),False,cb,2,0.83929,0.13637,0.00774,0.4,0.00391,0.06255,0.62315,0.23767,5.054052
06_lendingclub,on (ratio=0.1),False,dt,0,0.78547,0.21453,0.20441,0.25731,0.16956,0.01477,0.53728,0.17861,0.102822
06_lendingclub,on (ratio=0.1),False,dt,1,0.772,0.228,0.18018,0.20725,0.15936,0.00504,0.52283,0.16519,0.064017
06_lendingclub,on (ratio=0.1),False,dt,2,0.76629,0.23371,0.1766,0.20305,0.15625,0.00365,0.51954,0.16706,0.063381
