dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,on (ratio=0.1),False,ab,0,0.83746,0.15248,0.0,0.0,0.0,0.08101,0.64533,0.2572,0.283019
06_lendingclub,on (ratio=0.1),False,ab,1,0.84278,0.14849,0.0,0.0,0.0,0.10095,0.66804,0.2735,0.272301
06_lendingclub,on (ratio=0.1),False,ab,2,0.8396,0.14613,0.0,0.0,0.0,0.0879,0.65908,0.25318,0.271118
06_lendingclub,on (ratio=0.1),False,ann,0,0.83746,0.13434,0.0,0.0,0.0,0.09423,0.6618,0.26799,2.981283
06_lendingclub,on (ratio=0.1),False,ann,1,0.84278,0.13082,0.0,0.0,0.0,0.09548,0.65644,0.26985,1.563768
06_lendingclub,on (ratio=0.1),False,ann,2,0.8396,0.13169,0.0,0.0,0.0,0.09044,0.65192,0.26905,1.615959
06_lendingclub,on (ratio=0.1),False,bnb,0,0.8362,0.13524,0.0,0.0,0.0,0.07865,0.63439,0.25375,0.012165
06_lendingclub,on (ratio=0.1),False,bnb,1,0.84435,0.13066,0.0274,0.77778,0.01394,0.07515,0.63357,0.25372,0.011584
06_lendingclub,on (ratio=0.1),False,bnb,2,0.83897,0.13408,0.0,0.0,0.0,0.06027,0.62271,0.23931,0.011678
06_lendingclub,on (ratio=0.1),False,cb,0,0.83526,0.13581,0.01128,0.23077,0.00578,0.08353,0.64587,0.26353,2.718974
06_lendingclub,on (ratio=0.1),False,cb,1,0.84184,0.13178,0.02321,0.4,0.01195,0.09489,0.66272,0.2592,2.663631
06_lendingclub,on (ratio=0.1),False,cb,2,0.83929,0.13637,0.00774,0.4,0.00391,0.06255,0.62315,0.23767,2.718334
06_lendingclub,on (ratio=0.1),False,dt,0,0.78547,0.21453,0.20441,0.25731,0.16956,0.01477,0.53728,0.17861,0.052968
06_lendingclub,on (ratio=0.1),False,dt,1,0.772,0.228,0.18018,0.20725,0.15936,0.00504,0.52283,0.16519,0.065354
06_lendingclub,on (ratio=0.1),False,dt,2,0.76629,0.23371,0.1766,0.20305,0.15625,0.00365,0.51954,0.16706,0.062141
06_lendingclub,on (ratio=0.1),False,gnb,0,0.78077,0.18043,0.3,0.31185,0.28902,0.09295,0.66363,0.26512,0.014165
06_lendingclub,on (ratio=0.1),False,gnb,1,0.77169,0.19692,0.2775,0.27613,0.27888,0.06778,0.63372,0.23845,0.01334
06_lendingclub,on (ratio=0.1),False,gnb,2,0.78039,0.17678,0.27955,0.29501,0.26562,0.09395,0.65852,0.26435,0.014077
06_lendingclub,on (ratio=0.1),False,knn,0,0.83088,0.14946,0.03571,0.2439,0.01927,0.02066,0.56797,0.19035,0.095923
06_lendingclub,on (ratio=0.1),False,knn,1,0.83714,0.14571,0.05109,0.30435,0.02789,0.02137,0.56442,0.18795,0.036179
06_lendingclub,on (ratio=0.1),False,knn,2,0.83553,0.15025,0.05063,0.34146,0.02734,0.01341,0.54844,0.18379,0.036718
06_lendingclub,on (ratio=0.1),False,lda,0,0.83714,0.13241,0.01887,0.45455,0.00963,0.11749,0.67636,0.29202,0.017773
06_lendingclub,on (ratio=0.1),False,lda,1,0.84184,0.1294,0.05959,0.45714,0.03187,0.1083,0.66917,0.27697,0.016266
06_lendingclub,on (ratio=0.1),False,lda,2,0.84179,0.13126,0.03442,0.81818,0.01758,0.10862,0.67472,0.28679,0.017087
06_lendingclub,on (ratio=0.1),False,lgbm,0,0.83746,0.13921,0.04067,0.5,0.02119,0.07144,0.63439,0.2522,0.253982
06_lendingclub,on (ratio=0.1),False,lgbm,1,0.84059,0.13594,0.03781,0.37037,0.01992,0.06816,0.6347,0.23906,0.277201
06_lendingclub,on (ratio=0.1),False,lgbm,2,0.83866,0.14012,0.03013,0.42105,0.01562,0.05221,0.60843,0.22614,0.223768
06_lendingclub,on (ratio=0.1),False,lr,0,0.83746,0.13272,0.0,0.0,0.0,0.10964,0.67085,0.28841,0.019786
06_lendingclub,on (ratio=0.1),False,lr,1,0.84215,0.12909,0.00395,0.25,0.00199,0.10739,0.66541,0.27606,0.020959
06_lendingclub,on (ratio=0.1),False,lr,2,0.8396,0.13176,0.0,0.0,0.0,0.106,0.67165,0.28209,0.020688
06_lendingclub,on (ratio=0.1),False,rf,0,0.83714,0.13324,0.0,0.0,0.0,0.08546,0.65064,0.2582,0.862557
06_lendingclub,on (ratio=0.1),False,rf,1,0.84247,0.12963,0.00396,0.33333,0.00199,0.07834,0.65129,0.24967,0.899501
06_lendingclub,on (ratio=0.1),False,rf,2,0.83991,0.13257,0.0039,1.0,0.00195,0.07448,0.64183,0.25043,1.138303
06_lendingclub,on (ratio=0.1),False,tabnet,0,0.75572,0.19048,0.29091,0.27539,0.30829,0.08019,0.64832,0.25072,4.393918
06_lendingclub,on (ratio=0.1),False,tabnet,1,0.65675,0.22519,0.29744,0.21928,0.46215,0.05532,0.61574,0.22193,7.766277
06_lendingclub,on (ratio=0.1),False,tabnet,2,0.75595,0.20321,0.30009,0.27787,0.32617,0.07791,0.64395,0.24547,5.700916
06_lendingclub,on (ratio=0.1),False,xgb,0,0.83025,0.14806,0.06228,0.30508,0.03468,0.05259,0.61836,0.22345,0.103103
06_lendingclub,on (ratio=0.1),False,xgb,1,0.83683,0.14412,0.0746,0.34426,0.04183,0.04784,0.60486,0.21874,0.104368
06_lendingclub,on (ratio=0.1),False,xgb,2,0.83584,0.14707,0.05755,0.36364,0.03125,0.04132,0.59163,0.22032,0.103279
