dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,on (ratio=0.5),False,ab,0,0.81585,0.20408,0.19231,0.33493,0.13487,0.08471,0.64922,0.25536,0.401956
06_lendingclub,on (ratio=0.5),False,ab,1,0.81021,0.20508,0.25185,0.33117,0.20319,0.08535,0.65412,0.25226,0.41089
06_lendingclub,on (ratio=0.5),False,ab,2,0.80357,0.20529,0.21527,0.29965,0.16797,0.07502,0.645,0.24842,0.414448
06_lendingclub,on (ratio=0.5),False,ann,0,0.81804,0.1543,0.20083,0.35096,0.14066,0.09663,0.661,0.27507,6.416295
06_lendingclub,on (ratio=0.5),False,ann,1,0.80676,0.16188,0.25393,0.32308,0.20916,0.09796,0.65836,0.27123,2.284827
06_lendingclub,on (ratio=0.5),False,ann,2,0.82644,0.1472,0.14241,0.34328,0.08984,0.09866,0.66093,0.2732,2.152599
06_lendingclub,on (ratio=0.5),False,bnb,0,0.7673,0.16358,0.30496,0.29636,0.31407,0.077,0.62574,0.25377,0.013036
06_lendingclub,on (ratio=0.5),False,bnb,1,0.76762,0.16218,0.29198,0.28022,0.30478,0.06966,0.62368,0.25048,0.012878
06_lendingclub,on (ratio=0.5),False,bnb,2,0.75971,0.16732,0.2575,0.25528,0.25977,0.05598,0.61571,0.23215,0.01213
06_lendingclub,on (ratio=0.5),False,cb,0,0.83088,0.13509,0.12903,0.39604,0.07707,0.07915,0.64305,0.2583,3.199236
06_lendingclub,on (ratio=0.5),False,cb,1,0.83495,0.13155,0.13465,0.38318,0.08167,0.08851,0.65284,0.26201,3.224707
06_lendingclub,on (ratio=0.5),False,cb,2,0.8302,0.13646,0.13694,0.37069,0.08398,0.06746,0.63046,0.2406,3.20246
06_lendingclub,on (ratio=0.5),False,dt,0,0.73129,0.26871,0.24605,0.22617,0.26975,0.01354,0.54531,0.17971,0.077062
06_lendingclub,on (ratio=0.5),False,dt,1,0.73348,0.26652,0.2489,0.22345,0.28088,0.01574,0.54939,0.17582,0.102892
06_lendingclub,on (ratio=0.5),False,dt,2,0.71836,0.28164,0.20513,0.1874,0.22656,0.00251,0.51944,0.16652,0.071316
06_lendingclub,on (ratio=0.5),False,gnb,0,0.74006,0.2083,0.34231,0.29071,0.41618,0.09675,0.66212,0.26875,0.014579
06_lendingclub,on (ratio=0.5),False,gnb,1,0.72941,0.2233,0.32919,0.26972,0.42231,0.08163,0.64494,0.24999,0.018097
06_lendingclub,on (ratio=0.5),False,gnb,2,0.72556,0.21673,0.33737,0.27531,0.43555,0.09405,0.65886,0.26758,0.013943
06_lendingclub,on (ratio=0.5),False,knn,0,0.70028,0.21873,0.25986,0.21705,0.3237,0.01861,0.56862,0.18838,0.034122
06_lendingclub,on (ratio=0.5),False,knn,1,0.70373,0.21388,0.29192,0.23381,0.38845,0.03752,0.59965,0.20591,0.550695
06_lendingclub,on (ratio=0.5),False,knn,2,0.68233,0.2185,0.24666,0.19904,0.32422,0.02316,0.57411,0.19482,0.030053
06_lendingclub,on (ratio=0.5),False,lda,0,0.8077,0.15566,0.31011,0.37197,0.2659,0.11097,0.67131,0.2845,0.02108
06_lendingclub,on (ratio=0.5),False,lda,1,0.81084,0.15339,0.30093,0.35912,0.25896,0.11314,0.67024,0.28157,0.033744
06_lendingclub,on (ratio=0.5),False,lda,2,0.80326,0.15342,0.28146,0.33978,0.24023,0.11431,0.67686,0.28941,0.017915
06_lendingclub,on (ratio=0.5),False,lgbm,0,0.8243,0.13889,0.12753,0.33065,0.079,0.06945,0.63274,0.24317,0.238799
06_lendingclub,on (ratio=0.5),False,lgbm,1,0.83151,0.13393,0.17231,0.37838,0.11155,0.08208,0.64857,0.25661,0.474066
06_lendingclub,on (ratio=0.5),False,lgbm,2,0.82018,0.13989,0.11963,0.27857,0.07617,0.05827,0.62558,0.23138,0.283995
06_lendingclub,on (ratio=0.5),False,lr,0,0.80802,0.15602,0.29943,0.36798,0.25241,0.10924,0.67003,0.28329,0.027222
06_lendingclub,on (ratio=0.5),False,lr,1,0.81178,0.15395,0.29543,0.35897,0.251,0.10942,0.6671,0.27955,0.036215
