dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,off,True,ab,0,0.83746,0.13342,0.0,0.0,0.0,0.08684,0.6592,0.25253,0.729356
06_lendingclub,off,True,ab,1,0.84278,0.13084,0.0,0.0,0.0,0.09037,0.65598,0.24585,0.854633
06_lendingclub,off,True,ab,2,0.8396,0.13352,0.0,0.0,0.0,0.08535,0.65448,0.24464,0.845263
06_lendingclub,off,True,ann,0,0.83746,0.13037,0.0,0.0,0.0,0.0954,0.66256,0.27086,491.547826
06_lendingclub,off,True,ann,1,0.84278,0.12634,0.0,0.0,0.0,0.10076,0.65852,0.2744,468.074524
06_lendingclub,off,True,ann,2,0.8396,0.12881,0.0,0.0,0.0,0.09781,0.65757,0.27272,453.889682
06_lendingclub,off,True,bnb,0,0.83589,0.13082,0.0038,0.14286,0.00193,0.08175,0.64021,0.25908,0.013476
06_lendingclub,off,True,bnb,1,0.84435,0.12722,0.03495,0.69231,0.01793,0.08144,0.63584,0.25919,0.016071
06_lendingclub,off,True,bnb,2,0.83615,0.13209,0.06104,0.37778,0.0332,0.06204,0.62238,0.24324,0.012847
06_lendingclub,off,True,cb,0,0.83746,0.13651,0.0,0.0,0.0,0.09859,0.66654,0.26888,0.266919
06_lendingclub,off,True,cb,1,0.84278,0.1336,0.0,0.0,0.0,0.10361,0.66343,0.26994,0.351153
06_lendingclub,off,True,cb,2,0.8396,0.13527,0.0,0.0,0.0,0.09789,0.66453,0.26904,0.220222
06_lendingclub,off,True,dt,0,0.83746,0.13172,0.0,0.0,0.0,0.05926,0.62035,0.21261,0.049794
06_lendingclub,off,True,dt,1,0.84278,0.13067,0.0,0.0,0.0,0.03009,0.58558,0.18511,0.049352
06_lendingclub,off,True,dt,2,0.8396,0.13019,0.0,0.0,0.0,0.06196,0.62171,0.21337,0.040629
06_lendingclub,off,True,gnb,0,0.78359,0.1632,0.30692,0.32008,0.2948,0.10839,0.67221,0.28311,0.018775
06_lendingclub,off,True,gnb,1,0.77075,0.18654,0.27092,0.27092,0.27092,0.07901,0.64275,0.24626,0.016942
06_lendingclub,off,True,gnb,2,0.77788,0.17327,0.29871,0.30261,0.29492,0.09718,0.65916,0.26847,0.014049
06_lendingclub,off,True,knn,0,0.8384,0.13294,0.01901,0.71429,0.00963,0.06011,0.62793,0.24558,0.421029
06_lendingclub,off,True,knn,1,0.84309,0.12792,0.06004,0.51613,0.03187,0.07823,0.64272,0.25825,0.402923
06_lendingclub,off,True,knn,2,0.83897,0.13424,0.03383,0.45,0.01758,0.04424,0.60885,0.22323,0.315854
06_lendingclub,off,True,lda,0,0.83558,0.12896,0.06417,0.42857,0.03468,0.11886,0.6764,0.28939,0.016679
06_lendingclub,off,True,lda,1,0.8409,0.12619,0.10563,0.45455,0.05976,0.10914,0.67112,0.28084,0.01943
06_lendingclub,off,True,lda,2,0.83396,0.12947,0.12541,0.40426,0.07422,0.11007,0.67764,0.28553,0.017481
06_lendingclub,off,True,lgbm,0,0.83746,0.13064,0.0,0.0,0.0,0.0979,0.66874,0.26293,0.173162
06_lendingclub,off,True,lgbm,1,0.84278,0.12714,0.0,0.0,0.0,0.09421,0.65605,0.26255,0.160227
06_lendingclub,off,True,lgbm,2,0.8396,0.12957,0.0,0.0,0.0,0.08785,0.65975,0.25267,0.086228
06_lendingclub,off,True,lr,0,0.83746,0.12868,0.01143,0.5,0.00578,0.11003,0.67106,0.2861,0.053272
06_lendingclub,off,True,lr,1,0.84278,0.12551,0.03831,0.5,0.01992,0.10748,0.66557,0.28083,0.053492
06_lendingclub,off,True,lr,2,0.84179,0.12755,0.0381,0.76923,0.01953,0.10804,0.6701,0.28261,0.05078
06_lendingclub,off,True,rf,0,0.83746,0.12928,0.0,0.0,0.0,0.11003,0.67644,0.27984,1.609742
06_lendingclub,off,True,rf,1,0.84278,0.12605,0.0,0.0,0.0,0.10537,0.66589,0.28164,1.678813
06_lendingclub,off,True,rf,2,0.8396,0.12885,0.0,0.0,0.0,0.09484,0.66076,0.26477,1.400184
06_lendingclub,off,True,tabnet,0,0.69183,0.22243,0.32879,0.25449,0.46435,0.08149,0.64717,0.24846,37.148038
06_lendingclub,off,True,tabnet,1,0.59255,0.21232,0.30687,0.20945,0.57371,0.06334,0.60902,0.22097,20.769264
06_lendingclub,off,True,tabnet,2,0.71147,0.22635,0.29317,0.24147,0.37305,0.0608,0.62095,0.24105,48.043162
06_lendingclub,off,True,xgb,0,0.83746,0.1296,0.0,0.0,0.0,0.09802,0.66809,0.27145,0.361794
06_lendingclub,off,True,xgb,1,0.84278,0.12629,0.0,0.0,0.0,0.10041,0.66238,0.26988,0.236234
06_lendingclub,off,True,xgb,2,0.8396,0.1287,0.0,0.0,0.0,0.09401,0.66528,0.26234,0.444492
