dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,on (ratio=0.1),True,ann,0,0.83746,0.13319,0.0,0.0,0.0,0.09904,0.66464,0.27673,519.966107
06_lendingclub,on (ratio=0.1),True,ann,1,0.84278,0.13355,0.0,0.0,0.0,0.09401,0.65363,0.26644,504.148504
06_lendingclub,on (ratio=0.1),True,ann,2,0.8396,0.13421,0.0,0.0,0.0,0.09183,0.65482,0.27124,467.593538
06_lendingclub,on (ratio=0.1),True,tabpfn_auto,0,0.83746,0.13458,0.0,0.0,0.0,0.10836,0.67076,0.28612,1498.604681
06_lendingclub,on (ratio=0.1),True,tabpfn_auto,1,0.84278,0.13081,0.0,0.0,0.0,0.10436,0.66515,0.27739,1362.171226
06_lendingclub,on (ratio=0.1),True,tabpfn_auto,2,0.8396,0.13519,0.0,0.0,0.0,0.10021,0.66695,0.2731,1490.866607
06_lendingclub,on (ratio=0.1),True,ab,0,0.83746,0.189,0.0,0.0,0.0,0.08523,0.65497,0.25154,0.975292
06_lendingclub,on (ratio=0.1),True,ab,1,0.84278,0.18889,0.0,0.0,0.0,0.10164,0.66636,0.27383,1.61513
06_lendingclub,on (ratio=0.1),True,ab,2,0.8396,0.18871,0.0,0.0,0.0,0.08912,0.65807,0.26145,1.173441
06_lendingclub,on (ratio=0.1),True,bnb,0,0.83714,0.13452,0.0,0.0,0.0,0.07947,0.63405,0.25664,0.018419
06_lendingclub,on (ratio=0.1),True,bnb,1,0.84435,0.13052,0.0274,0.77778,0.01394,0.0761,0.63491,0.25458,0.062835
06_lendingclub,on (ratio=0.1),True,bnb,2,0.83929,0.1338,0.0,0.0,0.0,0.06317,0.62425,0.24402,0.019217
06_lendingclub,on (ratio=0.1),True,cb,0,0.83746,0.13137,0.0,0.0,0.0,0.10418,0.66839,0.27136,2.118625
06_lendingclub,on (ratio=0.1),True,cb,1,0.84278,0.12766,0.0,0.0,0.0,0.10458,0.66719,0.27313,6.659505
06_lendingclub,on (ratio=0.1),True,cb,2,0.8396,0.13024,0.0,0.0,0.0,0.0975,0.66438,0.26998,5.920579
06_lendingclub,on (ratio=0.1),True,dt,0,0.83746,0.13574,0.0,0.0,0.0,0.06299,0.6247,0.22955,0.026948
06_lendingclub,on (ratio=0.1),True,dt,1,0.84278,0.13248,0.0,0.0,0.0,0.0671,0.62601,0.21389,0.021325
06_lendingclub,on (ratio=0.1),True,dt,2,0.8396,0.13433,0.0,0.0,0.0,0.0618,0.62331,0.21574,0.050124
06_lendingclub,on (ratio=0.1),True,gnb,0,0.79048,0.16612,0.28142,0.31796,0.25241,0.10046,0.66673,0.27109,0.018576
06_lendingclub,on (ratio=0.1),True,gnb,1,0.77607,0.18717,0.23693,0.25517,0.22112,0.06625,0.63217,0.23332,0.087222
06_lendingclub,on (ratio=0.1),True,gnb,2,0.78791,0.16541,0.25686,0.29323,0.22852,0.0942,0.65923,0.27022,0.032001
06_lendingclub,on (ratio=0.1),True,knn,0,0.83746,0.13814,0.0,0.0,0.0,0.04405,0.61283,0.21968,2.673347
06_lendingclub,on (ratio=0.1),True,knn,1,0.84278,0.1328,0.0,0.0,0.0,0.05451,0.61688,0.22807,4.262197
06_lendingclub,on (ratio=0.1),True,knn,2,0.83897,0.13973,0.01533,0.4,0.00781,0.02219,0.56975,0.20148,4.597969
06_lendingclub,on (ratio=0.1),True,lda,0,0.83714,0.13241,0.01887,0.45455,0.00963,0.11749,0.67636,0.29202,0.074103
06_lendingclub,on (ratio=0.1),True,lda,1,0.84184,0.13098,0.04175,0.44,0.02191,0.1077,0.67073,0.27578,0.224394
06_lendingclub,on (ratio=0.1),True,lda,2,0.84211,0.1304,0.05618,0.68182,0.0293,0.10045,0.66382,0.27918,0.362455
06_lendingclub,on (ratio=0.1),True,lgbm,0,0.83652,0.13474,0.02247,0.4,0.01156,0.08399,0.64863,0.26278,1131.131701
06_lendingclub,on (ratio=0.1),True,lgbm,1,0.84372,0.13124,0.04589,0.57143,0.0239,0.08753,0.65074,0.25619,1325.497539
06_lendingclub,on (ratio=0.1),True,lgbm,2,0.83897,0.13521,0.01154,0.375,0.00586,0.06154,0.62287,0.24221,1128.352418
06_lendingclub,on (ratio=0.1),True,lr,0,0.83746,0.13328,0.0,0.0,0.0,0.10655,0.66874,0.2859,0.274389
06_lendingclub,on (ratio=0.1),True,lr,1,0.84278,0.12942,0.0,0.0,0.0,0.10169,0.66122,0.27588,0.133197
06_lendingclub,on (ratio=0.1),True,lr,2,0.8396,0.13224,0.0,0.0,0.0,0.10013,0.66471,0.27694,0.350589
06_lendingclub,on (ratio=0.1),True,rf,0,0.83746,0.13493,0.0,0.0,0.0,0.09422,0.65966,0.26332,0.316158
06_lendingclub,on (ratio=0.1),True,rf,1,0.84278,0.12998,0.0,0.0,0.0,0.10311,0.66922,0.28221,0.282147
06_lendingclub,on (ratio=0.1),True,rf,2,0.8396,0.13289,0.0,0.0,0.0,0.0917,0.65593,0.26808,0.365731
06_lendingclub,on (ratio=0.1),True,tabnet,0,0.57783,0.2391,0.33792,0.22676,0.66281,0.0919,0.6584,0.25933,100.518273
06_lendingclub,on (ratio=0.1),True,tabnet,1,0.66113,0.22601,0.31692,0.23198,0.5,0.06394,0.62806,0.23042,130.997653
06_lendingclub,on (ratio=0.1),True,tabnet,2,0.68045,0.23837,0.31544,0.24029,0.45898,0.05669,0.62287,0.22687,51.881879
06_lendingclub,on (ratio=0.1),True,tabpfn,0,0.83746,0.13449,0.0,0.0,0.0,0.09548,0.66031,0.27479,17.994618
06_lendingclub,on (ratio=0.1),True,tabpfn,1,0.84247,0.13103,0.0,0.0,0.0,0.10241,0.66396,0.27241,15.450414
06_lendingclub,on (ratio=0.1),True,tabpfn,2,0.8396,0.13538,0.0,0.0,0.0,0.09753,0.66558,0.2709,12.235877
06_lendingclub,on (ratio=0.1),True,tabpfn_rf,0,0.83746,0.13453,0.0,0.0,0.0,0.10817,0.67361,0.27829,195.297971
06_lendingclub,on (ratio=0.1),True,tabpfn_rf,1,0.84278,0.13022,0.0,0.0,0.0,0.10406,0.66622,0.28032,204.832482
06_lendingclub,on (ratio=0.1),True,tabpfn_rf,2,0.8396,0.13655,0.0,0.0,0.0,0.07961,0.64374,0.25533,224.022024
06_lendingclub,on (ratio=0.1),True,xgb,0,0.83652,0.13368,0.0,0.0,0.0,0.09754,0.65831,0.26929,614.385938
06_lendingclub,on (ratio=0.1),True,xgb,1,0.84309,0.12929,0.00792,0.66667,0.00398,0.1104,0.67451,0.2784,586.665125
06_lendingclub,on (ratio=0.1),True,xgb,2,0.83929,0.13342,0.0,0.0,0.0,0.08089,0.64687,0.25347,485.710129
