dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
06_lendingclub,on (ratio=0.5),True,ab,0,0.82963,0.16813,0.13099,0.38318,0.079,0.07733,0.6426,0.25247,2.565055
06_lendingclub,on (ratio=0.5),True,ab,1,0.84028,0.16965,0.09574,0.43548,0.05378,0.0899,0.64991,0.25755,2.609324
06_lendingclub,on (ratio=0.5),True,ab,2,0.82112,0.17063,0.14903,0.31447,0.09766,0.07626,0.64702,0.24759,2.605813
06_lendingclub,on (ratio=0.5),True,ann,0,0.81178,0.15596,0.1976,0.32174,0.14258,0.09723,0.66577,0.27334,1.966331
06_lendingclub,on (ratio=0.5),True,ann,1,0.82493,0.15514,0.22683,0.37104,0.16335,0.0937,0.65164,0.2728,1.863373
06_lendingclub,on (ratio=0.5),True,ann,2,0.81861,0.15321,0.1693,0.31892,0.11523,0.09442,0.65566,0.26766,2.164977
06_lendingclub,on (ratio=0.5),True,bnb,0,0.7673,0.16357,0.30496,0.29636,0.31407,0.077,0.62574,0.25377,0.011991
06_lendingclub,on (ratio=0.5),True,bnb,1,0.76762,0.16218,0.29198,0.28022,0.30478,0.06966,0.62368,0.25048,0.012635
06_lendingclub,on (ratio=0.5),True,bnb,2,0.75971,0.16732,0.2575,0.25528,0.25977,0.05598,0.61571,0.23215,0.012169
06_lendingclub,on (ratio=0.5),True,cb,0,0.81992,0.14533,0.16787,0.33721,0.11175,0.09348,0.66093,0.26782,0.370967
06_lendingclub,on (ratio=0.5),True,cb,1,0.83119,0.14279,0.19432,0.38922,0.12948,0.10496,0.6663,0.28822,0.396724
06_lendingclub,on (ratio=0.5),True,cb,2,0.82675,0.14524,0.16339,0.36242,0.10547,0.09414,0.66155,0.26711,0.379193
06_lendingclub,on (ratio=0.5),True,dt,0,0.83746,0.13925,0.0,0.0,0.0,0.05612,0.62796,0.2275,0.057276
06_lendingclub,on (ratio=0.5),True,dt,1,0.84278,0.13463,0.0,0.0,0.0,0.06332,0.62769,0.21921,0.052792
06_lendingclub,on (ratio=0.5),True,dt,2,0.8114,0.14342,0.19733,0.31092,0.14453,0.053,0.61396,0.2198,0.054332
06_lendingclub,on (ratio=0.5),True,gnb,0,0.74319,0.19873,0.34713,0.29579,0.42004,0.10539,0.67132,0.28362,0.014605
06_lendingclub,on (ratio=0.5),True,gnb,1,0.73097,0.21461,0.31879,0.26482,0.4004,0.08002,0.64175,0.24469,0.014065
06_lendingclub,on (ratio=0.5),True,gnb,2,0.7287,0.20794,0.32868,0.27249,0.41406,0.09308,0.6573,0.26541,0.014598
06_lendingclub,on (ratio=0.5),True,knn,0,0.75446,0.17961,0.26316,0.25688,0.26975,0.04547,0.61455,0.22322,0.223084
06_lendingclub,on (ratio=0.5),True,knn,1,0.75791,0.17551,0.28492,0.26598,0.30677,0.06995,0.63604,0.24735,0.039417
06_lendingclub,on (ratio=0.5),True,knn,2,0.74467,0.18218,0.24607,0.23374,0.25977,0.03801,0.60107,0.21694,0.087636
06_lendingclub,on (ratio=0.5),True,lda,0,0.8077,0.15566,0.31011,0.37197,0.2659,0.11097,0.67131,0.2845,0.015411
06_lendingclub,on (ratio=0.5),True,lda,1,0.81052,0.1534,0.30058,0.35813,0.25896,0.11314,0.67024,0.28157,0.014933
06_lendingclub,on (ratio=0.5),True,lda,2,0.81861,0.14001,0.19021,0.33498,0.13281,0.10407,0.66879,0.28291,0.01471
06_lendingclub,on (ratio=0.5),True,lgbm,0,0.82931,0.13552,0.128,0.37736,0.07707,0.09043,0.65438,0.26441,0.961194
06_lendingclub,on (ratio=0.5),True,lgbm,1,0.83934,0.13193,0.16585,0.45133,0.10159,0.09831,0.66008,0.27345,0.789197
06_lendingclub,on (ratio=0.5),True,lgbm,2,0.82769,0.13703,0.13249,0.34426,0.08203,0.07434,0.64295,0.24624,0.782228
06_lendingclub,on (ratio=0.5),True,lr,0,0.80927,0.15576,0.29268,0.36842,0.24277,0.10922,0.66957,0.28355,0.088379
06_lendingclub,on (ratio=0.5),True,lr,1,0.81365,0.15374,0.29082,0.36202,0.24303,0.10736,0.66626,0.27672,0.090904
06_lendingclub,on (ratio=0.5),True,lr,2,0.80514,0.15373,0.26995,0.33824,0.22461,0.1109,0.6727,0.28441,0.065529
06_lendingclub,on (ratio=0.5),True,rf,0,0.82336,0.14169,0.13231,0.32824,0.08285,0.08837,0.65293,0.26339,3.821049
06_lendingclub,on (ratio=0.5),True,rf,1,0.82462,0.13849,0.17647,0.33708,0.11952,0.10177,0.6667,0.27589,3.691692
06_lendingclub,on (ratio=0.5),True,rf,2,0.82519,0.14106,0.13622,0.32836,0.08594,0.08309,0.65506,0.25229,3.654795
06_lendingclub,on (ratio=0.5),True,tabnet,0,0.53649,0.2516,0.31797,0.20896,0.66474,0.0756,0.62562,0.26413,12.309184
06_lendingclub,on (ratio=0.5),True,tabnet,1,0.30003,0.27669,0.29606,0.17583,0.93625,0.09627,0.66097,0.2677,19.46357
06_lendingclub,on (ratio=0.5),True,tabnet,2,0.65852,0.22869,0.32716,0.23917,0.51758,0.07606,0.64228,0.25155,12.304475
06_lendingclub,on (ratio=0.5),True,xgb,0,0.82806,0.13868,0.11878,0.35577,0.07129,0.08625,0.65193,0.26161,0.298549
06_lendingclub,on (ratio=0.5),True,xgb,1,0.83934,0.13557,0.10783,0.42466,0.06175,0.09444,0.66046,0.2714,0.258499
06_lendingclub,on (ratio=0.5),True,xgb,2,0.82989,0.13972,0.13397,0.36522,0.08203,0.07876,0.64664,0.24754,0.259984
