dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
07_case_study,on (ratio=0.1),False,ab,0,0.93529,0.2356,0.31762,0.52292,0.22808,0.37775,0.83093,0.34994,2.210569
07_case_study,on (ratio=0.1),False,ab,1,0.93583,0.23545,0.29708,0.5381,0.20517,0.36164,0.8222,0.34157,1.948853
07_case_study,on (ratio=0.1),False,ab,2,0.93613,0.23576,0.31256,0.55,0.21831,0.37042,0.82823,0.3606,2.08816
07_case_study,on (ratio=0.1),False,ann,0,0.93397,0.06215,0.0,0.0,0.0,0.05529,0.63018,0.10976,338.353954
07_case_study,on (ratio=0.1),False,ann,1,0.93391,0.06252,0.0,0.0,0.0,0.05371,0.63075,0.10479,538.56193
07_case_study,on (ratio=0.1),False,ann,2,0.93349,0.06256,0.0,0.0,0.0,0.06156,0.63957,0.1121,319.071735
07_case_study,on (ratio=0.1),False,bnb,0,0.92644,0.05925,0.387,0.43024,0.35166,0.36512,0.80557,0.3285,0.188587
07_case_study,on (ratio=0.1),False,bnb,1,0.92767,0.05887,0.3762,0.43742,0.33,0.34462,0.79652,0.32217,0.121342
07_case_study,on (ratio=0.1),False,bnb,2,0.92596,0.05939,0.38515,0.43016,0.34867,0.3485,0.79589,0.334,0.117972
07_case_study,on (ratio=0.1),False,cb,0,0.93688,0.0492,0.30423,0.55893,0.209,0.42894,0.86294,0.39002,7.630028
07_case_study,on (ratio=0.1),False,cb,1,0.93688,0.05006,0.28387,0.56735,0.18929,0.40851,0.85564,0.3708,8.180888
07_case_study,on (ratio=0.1),False,cb,2,0.93733,0.04955,0.30017,0.58333,0.20207,0.42332,0.8635,0.38892,7.525831
07_case_study,on (ratio=0.1),False,dt,0,0.89533,0.1046,0.27146,0.25116,0.29532,0.13208,0.61753,0.12112,0.468245
07_case_study,on (ratio=0.1),False,dt,1,0.89683,0.10319,0.26876,0.2528,0.28688,0.12714,0.6134,0.11965,0.694523
07_case_study,on (ratio=0.1),False,dt,2,0.89494,0.10504,0.26274,0.24635,0.28146,0.1207,0.61027,0.11721,0.458803
07_case_study,on (ratio=0.1),False,gnb,0,0.93232,0.06074,0.07617,0.38589,0.04225,0.14986,0.7016,0.17548,0.125144
