dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
07_case_study,on (ratio=0.5),False,ab,0,0.9216,0.1665,0.39692,0.38681,0.40758,0.36514,0.83223,0.33402,0.897657
07_case_study,on (ratio=0.5),False,ab,1,0.9187,0.16931,0.41887,0.41679,0.42098,0.40357,0.85082,0.37179,0.909894
07_case_study,on (ratio=0.5),False,ab,2,0.9281,0.17081,0.42526,0.42628,0.42424,0.41328,0.85465,0.35874,0.879801
07_case_study,on (ratio=0.5),False,ann,0,0.9367,0.12331,0.0,0.0,0.0,0.06906,0.64536,0.10763,8.729834
07_case_study,on (ratio=0.5),False,ann,1,0.9304,0.12863,0.01416,0.5,0.00718,0.05609,0.62752,0.1119,7.557024
07_case_study,on (ratio=0.5),False,ann,2,0.9376,0.13569,0.02194,0.63636,0.01116,0.07349,0.64071,0.11805,7.508642
07_case_study,on (ratio=0.5),False,bnb,0,0.8804,0.08516,0.35071,0.26716,0.51027,0.32083,0.7789,0.31105,0.021627
07_case_study,on (ratio=0.5),False,bnb,1,0.8783,0.08324,0.38066,0.29472,0.53736,0.35132,0.78794,0.33638,0.02128
07_case_study,on (ratio=0.5),False,bnb,2,0.8927,0.07944,0.36994,0.29275,0.50239,0.35453,0.79395,0.33094,0.023351
07_case_study,on (ratio=0.5),False,cb,0,0.9358,0.05101,0.32845,0.48607,0.24803,0.36946,0.83461,0.33831,5.780243
07_case_study,on (ratio=0.5),False,cb,1,0.9321,0.0537,0.29783,0.53137,0.2069,0.38624,0.84368,0.36419,5.76103
07_case_study,on (ratio=0.5),False,cb,2,0.9365,0.04954,0.2905,0.48507,0.20734,0.40182,0.84573,0.34745,5.874497
07_case_study,on (ratio=0.5),False,dt,0,0.8914,0.1086,0.26819,0.23384,0.31438,0.1343,0.62238,0.11691,0.148699
07_case_study,on (ratio=0.5),False,dt,1,0.8878,0.1122,0.26184,0.2415,0.28592,0.11457,0.60937,0.11875,0.147872
07_case_study,on (ratio=0.5),False,dt,2,0.8883,0.1117,0.21833,0.19451,0.2488,0.08276,0.58994,0.0955,0.141893
07_case_study,on (ratio=0.5),False,gnb,0,0.9345,0.06157,0.05483,0.31667,0.03002,0.18574,0.7126,0.18773,0.026675
07_case_study,on (ratio=0.5),False,gnb,1,0.9309,0.06517,0.04952,0.58065,0.02586,0.15474,0.69002,0.20351,0.026261
07_case_study,on (ratio=0.5),False,gnb,2,0.1455,0.69711,0.12152,0.06495,0.94258,0.18287,0.72297,0.17687,0.027427
07_case_study,on (ratio=0.5),False,knn,0,0.8281,0.13016,0.15694,0.1138,0.25276,0.03725,0.5867,0.08939,0.100777
07_case_study,on (ratio=0.5),False,knn,1,0.8259,0.13399,0.17056,0.12758,0.25718,0.03923,0.59,0.09817,0.087837
07_case_study,on (ratio=0.5),False,knn,2,0.8294,0.1286,0.16208,0.1171,0.26316,0.04645,0.60029,0.09255,0.088478
07_case_study,on (ratio=0.5),False,lda,0,0.9023,0.11765,0.26926,0.25568,0.28436,0.17846,0.70103,0.1944,0.047048
07_case_study,on (ratio=0.5),False,lda,1,0.8974,0.11898,0.27542,0.27083,0.28017,0.16519,0.6804,0.21171,0.040959
07_case_study,on (ratio=0.5),False,lda,2,0.9028,0.11709,0.26364,0.25108,0.27751,0.15925,0.67845,0.18495,0.048248
07_case_study,on (ratio=0.5),False,lgbm,0,0.9347,0.05067,0.32332,0.46988,0.24645,0.37625,0.83825,0.34806,0.407781
07_case_study,on (ratio=0.5),False,lgbm,1,0.9327,0.05343,0.31536,0.54007,0.2227,0.39171,0.84867,0.36615,0.348729
07_case_study,on (ratio=0.5),False,lgbm,2,0.9387,0.0489,0.32415,0.525,0.23445,0.40464,0.85074,0.36421,0.317507
07_case_study,on (ratio=0.5),False,lr,0,0.9269,0.11719,0.2798,0.37173,0.22433,0.21042,0.736,0.2229,0.076006
