dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
07_case_study,off,True,ab,0,0.9393,0.08172,0.21271,0.5942,0.12954,0.38949,0.84635,0.35264,4.977769
07_case_study,off,True,ab,1,0.9342,0.08655,0.24194,0.61047,0.15086,0.42221,0.85549,0.38434,4.945532
07_case_study,off,True,ab,2,0.941,0.08184,0.20912,0.65546,0.1244,0.42627,0.85908,0.37902,4.95624
07_case_study,off,True,ann,0,0.9384,0.0504,0.24324,0.54696,0.1564,0.3418,0.79883,0.31367,549.063904
07_case_study,off,True,ann,1,0.9337,0.05377,0.25085,0.5873,0.15948,0.35834,0.8147,0.35678,66.918925
07_case_study,off,True,ann,2,0.939,0.04897,0.19948,0.56296,0.12121,0.37147,0.81219,0.34243,63.709247
07_case_study,off,True,bnb,0,0.9276,0.0564,0.37478,0.41333,0.34281,0.33071,0.78273,0.29628,0.021507
07_case_study,off,True,bnb,1,0.9258,0.0584,0.37542,0.45325,0.3204,0.36039,0.79736,0.33751,0.020282
07_case_study,off,True,bnb,2,0.9309,0.05332,0.38578,0.43574,0.34609,0.36391,0.8074,0.32952,0.020374
07_case_study,off,True,cb,0,0.9379,0.04798,0.27027,0.52752,0.18167,0.40986,0.85378,0.37047,2.067119
07_case_study,off,True,cb,1,0.935,0.05141,0.26471,0.62234,0.1681,0.43669,0.86049,0.39586,2.498874
07_case_study,off,True,cb,2,0.9405,0.04654,0.25157,0.59524,0.15949,0.43872,0.86452,0.3907,2.464953
07_case_study,off,True,dt,0,0.9389,0.05029,0.25759,0.55789,0.16746,0.34401,0.81691,0.28358,0.113512
07_case_study,off,True,dt,1,0.9329,0.05374,0.25362,0.56158,0.16379,0.35545,0.80643,0.29384,0.092901
07_case_study,off,True,dt,2,0.9395,0.04872,0.25216,0.56044,0.16268,0.38534,0.82964,0.29142,0.087553
07_case_study,off,True,gnb,0,0.9331,0.06626,0.03741,0.20968,0.02054,0.17687,0.72174,0.16536,0.028553
07_case_study,off,True,gnb,1,0.9288,0.07045,0.06562,0.37879,0.03592,0.14402,0.70742,0.16935,0.026819
07_case_study,off,True,gnb,2,0.9365,0.06041,0.04798,0.4,0.02552,0.11412,0.68043,0.14413,0.025505
07_case_study,off,True,knn,0,0.936,0.05823,0.02736,0.36,0.01422,0.10926,0.67572,0.13775,0.738929
07_case_study,off,True,knn,1,0.9301,0.06411,0.0251,0.42857,0.01293,0.09544,0.65604,0.14042,0.235132
07_case_study,off,True,knn,2,0.9363,0.05833,0.00933,0.1875,0.00478,0.10719,0.66405,0.12255,0.217991
07_case_study,off,True,lda,0,0.9364,0.06121,0.04217,0.45161,0.02212,0.19072,0.69885,0.20083,0.028785
07_case_study,off,True,lda,1,0.9307,0.06035,0.1261,0.51546,0.07184,0.21672,0.69275,0.23922,0.025324
07_case_study,off,True,lda,2,0.9369,0.05646,0.07613,0.46429,0.04147,0.19706,0.67246,0.2062,0.025745
07_case_study,off,True,lgbm,0,0.9377,0.04846,0.25389,0.52475,0.16746,0.40254,0.85138,0.35207,0.588329
07_case_study,off,True,lgbm,1,0.9341,0.05157,0.22743,0.61783,0.13937,0.42794,0.85864,0.39162,0.679062
07_case_study,off,True,lgbm,2,0.9399,0.04671,0.22651,0.58667,0.14035,0.43173,0.86148,0.38836,0.275316
07_case_study,off,True,lr,0,0.9363,0.05609,0.05349,0.45,0.02844,0.18045,0.7042,0.19659,0.420131
07_case_study,off,True,lr,1,0.931,0.06042,0.05738,0.58333,0.03017,0.18661,0.69423,0.22825,0.28654
07_case_study,off,True,lr,2,0.9369,0.0557,0.04249,0.4375,0.02233,0.17127,0.6802,0.19192,0.493516
07_case_study,off,True,rf,0,0.9386,0.04821,0.19634,0.57252,0.11848,0.40229,0.85061,0.3635,2.213412
07_case_study,off,True,rf,1,0.9337,0.05193,0.17435,0.65421,0.10057,0.42762,0.85982,0.38894,1.85315
07_case_study,off,True,rf,2,0.9394,0.04689,0.15363,0.61798,0.08772,0.43608,0.86337,0.3891,1.864492
07_case_study,off,True,tabnet,0,0.5999,0.25039,0.199,0.11394,0.78515,0.32423,0.78733,0.30147,76.275277
07_case_study,off,True,tabnet,1,0.7405,0.2084,0.28216,0.17472,0.73276,0.34359,0.80566,0.33388,116.535877
07_case_study,off,True,tabnet,2,0.7598,0.18812,0.23987,0.14962,0.60447,0.2854,0.76614,0.28756,86.864408
07_case_study,off,True,xgb,0,0.9374,0.04873,0.29186,0.51394,0.20379,0.39882,0.84879,0.35202,0.247491
07_case_study,off,True,xgb,1,0.9342,0.05195,0.28009,0.58716,0.18391,0.42041,0.85644,0.38453,0.291973
07_case_study,off,True,xgb,2,0.9397,0.04704,0.26193,0.56316,0.17065,0.43178,0.8619,0.37988,0.302303
