dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
07_case_study,on (ratio=0.1),True,ab,0,0.937,0.08718,0.30464,0.50549,0.21801,0.38661,0.84421,0.34916,5.072552
07_case_study,on (ratio=0.1),True,ab,1,0.9333,0.088,0.32146,0.55052,0.22701,0.4267,0.85629,0.38609,5.089773
07_case_study,on (ratio=0.1),True,ab,2,0.94,0.08343,0.3135,0.55466,0.2185,0.4238,0.85961,0.38077,5.284306
07_case_study,on (ratio=0.1),True,ann,0,0.935,0.05187,0.34476,0.47632,0.27014,0.34026,0.79854,0.32019,10.841781
07_case_study,on (ratio=0.1),True,ann,1,0.9317,0.05394,0.33496,0.51964,0.24713,0.37236,0.81804,0.3603,12.824665
07_case_study,on (ratio=0.1),True,ann,2,0.9367,0.05062,0.33298,0.49068,0.25199,0.37288,0.8136,0.3355,11.433423
07_case_study,on (ratio=0.1),True,bnb,0,0.9273,0.05987,0.37597,0.41165,0.34597,0.32841,0.78343,0.29846,0.018856
07_case_study,on (ratio=0.1),True,bnb,1,0.924,0.06147,0.375,0.43846,0.32759,0.3595,0.79768,0.3394,0.026712
07_case_study,on (ratio=0.1),True,bnb,2,0.9306,0.05641,0.39229,0.43495,0.35726,0.36275,0.80594,0.32989,0.022098
07_case_study,on (ratio=0.1),True,cb,0,0.939,0.04863,0.29724,0.54894,0.20379,0.40652,0.85189,0.36358,1.579726
07_case_study,on (ratio=0.1),True,cb,1,0.9349,0.05156,0.28697,0.60369,0.18822,0.43548,0.85909,0.39541,1.521506
07_case_study,on (ratio=0.1),True,cb,2,0.9402,0.04705,0.25806,0.58101,0.16587,0.43101,0.86301,0.39398,1.516734
07_case_study,on (ratio=0.1),True,dt,0,0.937,0.05107,0.2446,0.50746,0.16114,0.34771,0.81467,0.27864,0.094426
07_case_study,on (ratio=0.1),True,dt,1,0.9329,0.0534,0.25362,0.56158,0.16379,0.3904,0.8216,0.31985,0.093898
