dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
09_myhom,off,False,ab,0,0.59254,0.23703,0.19747,0.46988,0.125,0.02799,0.57383,0.45576,0.161322
09_myhom,off,False,ab,1,0.59837,0.23616,0.19154,0.50917,0.11796,0.03151,0.58576,0.46833,0.156055
09_myhom,off,False,ab,2,0.61509,0.2339,0.15918,0.58621,0.09209,0.03658,0.59264,0.47354,0.155126
09_myhom,off,False,ann,0,0.59897,0.23945,0.0,0.0,0.0,0.01422,0.54893,0.43095,2.316272
09_myhom,off,False,ann,1,0.59666,0.23937,0.0,0.0,0.0,0.02031,0.55005,0.45103,1.259273
09_myhom,off,False,ann,2,0.60437,0.23753,0.0,0.0,0.0,0.02216,0.5609,0.45311,1.2718
09_myhom,off,False,bnb,0,0.58226,0.24329,0.21308,0.43564,0.14103,0.00582,0.53684,0.42635,0.011791
09_myhom,off,False,bnb,1,0.59451,0.24067,0.16872,0.48731,0.10202,0.01053,0.55008,0.43664,0.011094
09_myhom,off,False,bnb,2,0.60523,0.23669,0.18279,0.5049,0.11159,0.01555,0.5608,0.44139,0.010751
09_myhom,off,False,cb,0,0.58398,0.2413,0.31764,0.46407,0.24145,0.02519,0.57119,0.45384,2.332858
09_myhom,off,False,cb,1,0.58508,0.24051,0.29032,0.46809,0.21041,0.03184,0.57617,0.45796,2.347863
09_myhom,off,False,cb,2,0.5868,0.23929,0.30044,0.45495,0.22427,0.02859,0.57392,0.4524,2.337036
09_myhom,off,False,dt,0,0.53985,0.46015,0.43354,0.42812,0.4391,0.00268,0.5232,0.41293,0.026124
09_myhom,off,False,dt,1,0.51865,0.48135,0.41173,0.40599,0.41764,3e-05,0.50228,0.40445,0.027872
09_myhom,off,False,dt,2,0.52508,0.47492,0.40558,0.4017,0.40953,0.00013,0.50512,0.39811,0.027307
09_myhom,off,False,gnb,0,0.56684,0.28583,0.40071,0.45007,0.36111,0.02235,0.56414,0.44123,0.011935
09_myhom,off,False,gnb,1,0.58766,0.26964,0.43278,0.48609,0.39001,0.04095,0.58796,0.46463,0.011874
09_myhom,off,False,gnb,2,0.59709,0.2718,0.28354,0.47815,0.20152,0.02246,0.56467,0.44026,0.011783
09_myhom,off,False,knn,0,0.52485,0.2909,0.36665,0.39387,0.34295,0.00165,0.50057,0.40204,0.060498
09_myhom,off,False,knn,1,0.55208,0.27799,0.38925,0.43247,0.35388,0.00445,0.53084,0.42085,0.056086
09_myhom,off,False,knn,2,0.55122,0.27805,0.38448,0.42031,0.35428,0.00587,0.52881,0.41327,0.052397
09_myhom,off,False,lda,0,0.5964,0.23607,0.22149,0.48905,0.14316,0.03496,0.58446,0.4611,0.013796
09_myhom,off,False,lda,1,0.59366,0.23413,0.15808,0.48108,0.09458,0.05067,0.60145,0.47717,0.012647
09_myhom,off,False,lda,2,0.60994,0.23233,0.18018,0.53476,0.10834,0.04897,0.60323,0.47976,0.012685
09_myhom,off,False,lgbm,0,0.57498,0.25283,0.34908,0.45238,0.28419,0.01534,0.54832,0.44524,0.212365
09_myhom,off,False,lgbm,1,0.5778,0.24961,0.36163,0.46346,0.29649,0.02063,0.55976,0.45211,0.200005
09_myhom,off,False,lgbm,2,0.57908,0.24843,0.37611,0.45469,0.32069,0.01963,0.55753,0.439,0.182939
09_myhom,off,False,lr,0,0.59854,0.23621,0.18874,0.49772,0.11645,0.03434,0.58335,0.45869,0.016198
09_myhom,off,False,lr,1,0.5958,0.23445,0.13088,0.49306,0.07545,0.04935,0.60159,0.47805,0.015549
09_myhom,off,False,lr,2,0.60994,0.23261,0.14474,0.5461,0.08342,0.04976,0.60307,0.48096,0.01571
09_myhom,off,False,rf,0,0.56727,0.26078,0.36237,0.4429,0.30662,0.00721,0.52798,0.42901,0.519471
09_myhom,off,False,rf,1,0.56194,0.25759,0.34821,0.43541,0.29012,0.01078,0.53943,0.43698,0.508892
09_myhom,off,False,rf,2,0.57694,0.25303,0.37174,0.45062,0.31636,0.0124,0.54825,0.43458,0.506602
09_myhom,off,False,tabnet,0,0.52656,0.25004,0.5539,0.44517,0.73291,0.02928,0.57802,0.44916,16.378294
09_myhom,off,False,tabnet,1,0.48264,0.25014,0.51232,0.4133,0.67375,0.00886,0.52892,0.42345,3.460347
09_myhom,off,False,tabnet,2,0.59709,0.24545,0.34358,0.4833,0.26652,0.03731,0.58919,0.47107,9.04024
09_myhom,off,False,tabpfn,0,0.59383,0.23563,0.24762,0.48148,0.16667,0.03583,0.58442,0.46296,2.22896
09_myhom,off,False,tabpfn,1,0.5958,0.23343,0.18637,0.49541,0.11477,0.05256,0.60394,0.4823,2.047779
09_myhom,off,False,tabpfn,2,0.61552,0.23166,0.15297,0.59559,0.08776,0.05119,0.60588,0.48679,2.062673
09_myhom,off,False,xgb,0,0.55955,0.27538,0.37317,0.43466,0.32692,0.00689,0.53042,0.42342,0.085685
09_myhom,off,False,xgb,1,0.56151,0.26927,0.38998,0.44429,0.3475,0.01166,0.54264,0.43516,0.081831
09_myhom,off,False,xgb,2,0.55765,0.2725,0.37831,0.42605,0.3402,0.00966,0.53552,0.41822,0.08786
09_myhom,on (ratio=0.1),False,ab,0,0.59897,0.25882,0.0,0.0,0.0,0.0127,0.54858,0.43219,0.135482
09_myhom,on (ratio=0.1),False,ab,1,0.59666,0.26541,0.0,0.0,0.0,0.02222,0.57228,0.45859,0.136425
09_myhom,on (ratio=0.1),False,ab,2,0.60437,0.25601,0.0,0.0,0.0,0.01223,0.54363,0.42162,0.135523
09_myhom,on (ratio=0.1),False,ann,0,0.59897,0.33047,0.0,0.0,0.0,0.00342,0.51352,0.40654,3.13033
09_myhom,on (ratio=0.1),False,ann,1,0.59666,0.33,0.0,0.0,0.0,0.0081,0.52472,0.42905,1.795556
09_myhom,on (ratio=0.1),False,ann,2,0.60437,0.31675,0.0,0.0,0.0,0.01002,0.53534,0.42316,1.704126
09_myhom,on (ratio=0.1),False,bnb,0,0.59897,0.32828,0.0,0.0,0.0,0.00722,0.53571,0.42683,0.010944
09_myhom,on (ratio=0.1),False,bnb,1,0.59666,0.33013,0.0,0.0,0.0,0.0104,0.5503,0.43615,0.010616
09_myhom,on (ratio=0.1),False,bnb,2,0.60437,0.32315,0.0,0.0,0.0,0.01487,0.55977,0.43922,0.010481
09_myhom,on (ratio=0.1),False,cb,0,0.59854,0.3343,0.00213,0.33333,0.00107,0.01641,0.5493,0.43288,2.019168
09_myhom,on (ratio=0.1),False,cb,1,0.59709,0.33285,0.00844,0.57143,0.00425,0.02762,0.5692,0.45179,2.048487
09_myhom,on (ratio=0.1),False,cb,2,0.60437,0.32526,0.00431,0.5,0.00217,0.02241,0.56782,0.44791,2.024635
09_myhom,on (ratio=0.1),False,dt,0,0.58141,0.41859,0.1783,0.41897,0.11325,0.0002,0.50405,0.40306,0.019448
09_myhom,on (ratio=0.1),False,dt,1,0.56922,0.43078,0.17825,0.38652,0.11583,0.0,0.49578,0.4014,0.024374
09_myhom,on (ratio=0.1),False,dt,2,0.58808,0.41192,0.20775,0.43448,0.13651,0.00113,0.5101,0.40093,0.017725
09_myhom,on (ratio=0.1),False,gnb,0,0.40531,0.58367,0.57054,0.40157,0.98504,0.02318,0.5653,0.44275,0.011564
09_myhom,on (ratio=0.1),False,gnb,1,0.59108,0.36242,0.23188,0.47841,0.15303,0.03357,0.57929,0.45888,0.017063
09_myhom,on (ratio=0.1),False,gnb,2,0.39649,0.59312,0.5673,0.39597,1.0,0.02031,0.5586,0.43576,0.011545
09_myhom,on (ratio=0.1),False,knn,0,0.59769,0.3492,0.02086,0.43478,0.01068,0.00062,0.48804,0.3957,0.048981
09_myhom,on (ratio=0.1),False,knn,1,0.5958,0.34423,0.02884,0.46667,0.01488,0.00367,0.52682,0.41938,0.082822
09_myhom,on (ratio=0.1),False,knn,2,0.6018,0.34164,0.01485,0.35,0.00758,0.00113,0.51252,0.40013,0.047053
09_myhom,on (ratio=0.1),False,lda,0,0.59897,0.32676,0.0,0.0,0.0,0.03302,0.58513,0.46139,0.013061
09_myhom,on (ratio=0.1),False,lda,1,0.59666,0.32733,0.0,0.0,0.0,0.04385,0.59305,0.47349,0.018373
09_myhom,on (ratio=0.1),False,lda,2,0.6048,0.32036,0.00216,1.0,0.00108,0.03849,0.58877,0.46664,0.012438
09_myhom,on (ratio=0.1),False,lgbm,0,0.59811,0.348,0.02495,0.46154,0.01282,0.00779,0.52682,0.42143,0.222267
09_myhom,on (ratio=0.1),False,lgbm,1,0.59709,0.34404,0.03491,0.51515,0.01807,0.01339,0.54225,0.43638,0.363461
09_myhom,on (ratio=0.1),False,lgbm,2,0.60609,0.33515,0.0213,0.625,0.01083,0.01862,0.55428,0.44005,0.173204
09_myhom,on (ratio=0.1),False,lr,0,0.59897,0.32794,0.0,0.0,0.0,0.0236,0.56982,0.44696,0.013208
09_myhom,on (ratio=0.1),False,lr,1,0.59666,0.32849,0.0,0.0,0.0,0.03859,0.58535,0.47035,0.01348
09_myhom,on (ratio=0.1),False,lr,2,0.60437,0.32201,0.0,0.0,0.0,0.02978,0.57715,0.46239,0.013906
09_myhom,on (ratio=0.1),False,rf,0,0.5994,0.33384,0.00426,0.66667,0.00214,0.0058,0.51682,0.41514,0.330076
09_myhom,on (ratio=0.1),False,rf,1,0.59537,0.33251,0.0084,0.36364,0.00425,0.00496,0.51761,0.42006,0.340063
09_myhom,on (ratio=0.1),False,rf,2,0.60652,0.32509,0.01713,0.72727,0.00867,0.00896,0.52865,0.42324,0.321854
09_myhom,on (ratio=0.1),False,tabnet,0,0.54242,0.25043,0.48306,0.44159,0.53312,0.01648,0.55008,0.44388,41.232686
09_myhom,on (ratio=0.1),False,tabnet,1,0.5988,0.24173,0.06958,0.53846,0.03719,0.03438,0.58021,0.46536,5.829051
09_myhom,on (ratio=0.1),False,tabnet,2,0.60909,0.2387,0.15242,0.53595,0.08884,0.02099,0.54522,0.44796,4.736495
09_myhom,on (ratio=0.1),False,xgb,0,0.5964,0.35316,0.03878,0.43182,0.0203,0.00747,0.53134,0.42109,0.073349
09_myhom,on (ratio=0.1),False,xgb,1,0.59151,0.3519,0.04221,0.38889,0.02232,0.00888,0.52341,0.41833,0.076506
09_myhom,on (ratio=0.1),False,xgb,2,0.60351,0.34138,0.04343,0.47727,0.02275,0.01136,0.5369,0.4321,0.073267
09_myhom,on (ratio=0.1),False,tabpfn,0,0.59897,0.34058,0.0,0.0,0.0,0.03155,0.5821,0.45531,2.584672
09_myhom,on (ratio=0.1),False,tabpfn,1,0.59666,0.33977,0.0,0.0,0.0,0.04162,0.59176,0.47957,2.543325
09_myhom,on (ratio=0.1),False,tabpfn,2,0.60437,0.33273,0.0,0.0,0.0,0.04001,0.59027,0.47062,2.438591
09_myhom,on (ratio=0.5),False,ab,0,0.59983,0.23849,0.03313,0.53333,0.01709,0.02733,0.5712,0.45415,0.160409
09_myhom,on (ratio=0.5),False,ab,1,0.59709,0.23915,0.00424,0.66667,0.00213,0.02768,0.58202,0.46101,0.153274
09_myhom,on (ratio=0.5),False,ab,2,0.60437,0.23701,0.0,0.0,0.0,0.03277,0.5884,0.46068,0.147787
09_myhom,on (ratio=0.5),False,ann,0,0.59897,0.24277,0.0,0.0,0.0,0.01369,0.54785,0.4305,9.425684
09_myhom,on (ratio=0.5),False,ann,1,0.59666,0.2449,0.0,0.0,0.0,0.019,0.55172,0.45098,1.370982
09_myhom,on (ratio=0.5),False,ann,2,0.60437,0.24122,0.0,0.0,0.0,0.02015,0.5558,0.44602,1.13327
09_myhom,on (ratio=0.5),False,bnb,0,0.5934,0.24569,0.13806,0.46061,0.0812,0.00628,0.53665,0.42723,0.0114
09_myhom,on (ratio=0.5),False,bnb,1,0.5928,0.24585,0.14568,0.47368,0.08608,0.01058,0.55045,0.43673,0.011291
09_myhom,on (ratio=0.5),False,bnb,2,0.60394,0.24049,0.0,0.0,0.0,0.01515,0.56065,0.44109,0.010472
09_myhom,on (ratio=0.5),False,cb,0,0.59383,0.24757,0.10734,0.45238,0.0609,0.02648,0.56933,0.45362,2.207614
09_myhom,on (ratio=0.5),False,cb,1,0.5898,0.24462,0.12282,0.44667,0.0712,0.03388,0.58106,0.45648,2.177932
09_myhom,on (ratio=0.5),False,cb,2,0.5958,0.24353,0.12116,0.43333,0.07042,0.02438,0.57008,0.44503,2.232025
09_myhom,on (ratio=0.5),False,dt,0,0.54156,0.45844,0.37354,0.41321,0.34081,0.00038,0.50839,0.40518,0.023858
09_myhom,on (ratio=0.5),False,dt,1,0.53579,0.46421,0.37579,0.41058,0.34644,0.00014,0.50512,0.40585,0.023674
09_myhom,on (ratio=0.5),False,dt,2,0.54179,0.45821,0.40578,0.41667,0.39545,0.0014,0.51652,0.40395,0.024702
09_myhom,on (ratio=0.5),False,gnb,0,0.57841,0.27838,0.29714,0.44828,0.22222,0.02353,0.56504,0.44496,0.012108
09_myhom,on (ratio=0.5),False,gnb,1,0.5868,0.27574,0.28593,0.47188,0.2051,0.04031,0.5879,0.46357,0.011537
09_myhom,on (ratio=0.5),False,gnb,2,0.59709,0.28939,0.2504,0.47432,0.1701,0.01856,0.55021,0.4292,0.011759
09_myhom,on (ratio=0.5),False,knn,0,0.55613,0.28985,0.28846,0.40385,0.22436,0.00114,0.50086,0.40441,0.051635
09_myhom,on (ratio=0.5),False,knn,1,0.57351,0.27371,0.31332,0.44685,0.24123,0.00636,0.53881,0.42576,0.055635
09_myhom,on (ratio=0.5),False,knn,2,0.57137,0.27703,0.31601,0.42857,0.25027,0.00567,0.53155,0.41462,0.050905
09_myhom,on (ratio=0.5),False,lda,0,0.59597,0.24056,0.06169,0.44928,0.03312,0.0354,0.58587,0.46103,0.014387
09_myhom,on (ratio=0.5),False,lda,1,0.60094,0.23917,0.05674,0.6087,0.02976,0.0523,0.60254,0.47689,0.012769
09_myhom,on (ratio=0.5),False,lda,2,0.60566,0.23653,0.04564,0.53659,0.02384,0.0473,0.59852,0.47245,0.012911
09_myhom,on (ratio=0.5),False,lgbm,0,0.58098,0.264,0.22504,0.43558,0.15171,0.01002,0.52865,0.42362,0.19973
09_myhom,on (ratio=0.5),False,lgbm,1,0.58594,0.25588,0.25692,0.46518,0.17747,0.01952,0.55367,0.44407,0.187211
09_myhom,on (ratio=0.5),False,lgbm,2,0.59194,0.24974,0.27549,0.46292,0.1961,0.02202,0.56691,0.44355,0.183397
09_myhom,on (ratio=0.5),False,lr,0,0.59769,0.2407,0.03494,0.45946,0.01816,0.03564,0.58498,0.45903,0.016034
09_myhom,on (ratio=0.5),False,lr,1,0.59923,0.23949,0.03309,0.61538,0.017,0.05232,0.60333,0.4785,0.015429
09_myhom,on (ratio=0.5),False,lr,2,0.60566,0.23691,0.02128,0.58824,0.01083,0.04792,0.59972,0.47554,0.015042
09_myhom,on (ratio=0.5),False,rf,0,0.57541,0.26366,0.2532,0.42967,0.17949,0.00751,0.525,0.4284,0.476265
09_myhom,on (ratio=0.5),False,rf,1,0.56751,0.26396,0.25093,0.41626,0.1796,0.00797,0.52781,0.4213,0.464241
09_myhom,on (ratio=0.5),False,rf,2,0.58808,0.25599,0.27031,0.45178,0.19285,0.00802,0.53836,0.42758,0.473315
09_myhom,on (ratio=0.5),False,tabnet,0,0.54884,0.24699,0.42365,0.43434,0.41346,0.01332,0.54581,0.42558,7.774341
09_myhom,on (ratio=0.5),False,tabnet,1,0.53793,0.24858,0.49673,0.44296,0.56536,0.01811,0.55711,0.44557,5.514937
09_myhom,on (ratio=0.5),False,tabnet,2,0.41577,0.25674,0.56908,0.40179,0.97508,0.03193,0.5824,0.4664,4.912065
09_myhom,on (ratio=0.5),False,tabpfn,0,0.60026,0.24179,0.03115,0.55556,0.01603,0.03584,0.58601,0.46183,1.941802
09_myhom,on (ratio=0.5),False,tabpfn,1,0.59966,0.2399,0.03512,0.62963,0.01807,0.05249,0.60529,0.48253,1.574347
09_myhom,on (ratio=0.5),False,tabpfn,2,0.60394,0.23805,0.0,0.0,0.0,0.04631,0.60003,0.47831,1.560913
09_myhom,on (ratio=0.5),False,xgb,0,0.57198,0.28047,0.2649,0.42553,0.19231,0.01144,0.51924,0.4243,0.086962
09_myhom,on (ratio=0.5),False,xgb,1,0.57351,0.27058,0.29979,0.44375,0.22635,0.01672,0.54492,0.44166,0.076718
09_myhom,on (ratio=0.5),False,xgb,2,0.5808,0.2727,0.3132,0.44511,0.2416,0.01064,0.54037,0.41693,0.079034
09_myhom,off,True,ab,0,0.60197,0.24158,0.06067,0.56604,0.03205,0.02715,0.57844,0.45951,1.335091
09_myhom,off,True,ab,1,0.59666,0.25149,0.0,0.0,0.0,0.03371,0.58901,0.46832,1.514205
09_myhom,off,True,ab,2,0.60437,0.24413,0.0,0.0,0.0,0.03114,0.58587,0.46522,1.584256
09_myhom,off,True,ann,0,0.59897,0.23612,0.1775,0.5,0.10791,0.03356,0.58109,0.46052,8.753176
09_myhom,off,True,ann,1,0.5988,0.23566,0.10173,0.52475,0.05632,0.04693,0.60047,0.47576,165.594673
09_myhom,off,True,ann,2,0.61123,0.23285,0.10109,0.59302,0.05525,0.0502,0.59881,0.48075,168.021883
09_myhom,off,True,bnb,0,0.58226,0.24347,0.21308,0.43564,0.14103,0.00588,0.53713,0.42639,0.010339
09_myhom,off,True,bnb,1,0.59451,0.24084,0.16872,0.48731,0.10202,0.01028,0.55029,0.43671,0.013585
09_myhom,off,True,bnb,2,0.60523,0.23692,0.18279,0.5049,0.11159,0.01549,0.5607,0.44148,0.019686
09_myhom,off,True,cb,0,0.59297,0.23675,0.2351,0.47712,0.15598,0.03107,0.57685,0.45721,1.482468
09_myhom,off,True,cb,1,0.59709,0.23547,0.1637,0.50273,0.09777,0.03841,0.58986,0.47307,1.681331
09_myhom,off,True,cb,2,0.60866,0.23382,0.20952,0.52155,0.13109,0.03904,0.59078,0.47328,1.618334
