dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
09_myhom,off,False,ab,0,0.58098,0.24927,0.25229,0.44355,0.17628,0.02699,0.57021,0.45469,0.371076
09_myhom,off,False,ab,1,0.58937,0.24928,0.2608,0.47606,0.1796,0.02809,0.57363,0.45753,0.525603
09_myhom,off,False,ab,2,0.61595,0.24909,0.27742,0.54259,0.18635,0.03974,0.5919,0.48053,0.184478
09_myhom,off,False,ann,0,0.59897,0.23957,0.0,0.0,0.0,0.01512,0.55013,0.43278,60.389445
09_myhom,off,False,ann,1,0.59666,0.23939,0.0,0.0,0.0,0.0199,0.55036,0.45097,68.792257
09_myhom,off,False,ann,2,0.60437,0.23772,0.0,0.0,0.0,0.02156,0.5603,0.45372,32.13359
09_myhom,off,False,bnb,0,0.58226,0.24329,0.21308,0.43564,0.14103,0.00582,0.53684,0.42635,0.03741
09_myhom,off,False,bnb,1,0.59451,0.24067,0.16872,0.48731,0.10202,0.01053,0.55008,0.43664,0.046231
09_myhom,off,False,bnb,2,0.60523,0.23669,0.18279,0.5049,0.11159,0.01555,0.5608,0.44139,0.011097
09_myhom,off,False,cb,0,0.58398,0.2413,0.31764,0.46407,0.24145,0.02519,0.57119,0.45384,4.580239
09_myhom,off,False,cb,1,0.58508,0.24051,0.29032,0.46809,0.21041,0.03184,0.57617,0.45796,5.71171
09_myhom,off,False,cb,2,0.5868,0.23929,0.30044,0.45495,0.22427,0.02859,0.57392,0.4524,2.960692
09_myhom,off,False,dt,0,0.53985,0.46015,0.43354,0.42812,0.4391,0.00268,0.5232,0.41293,0.03976
09_myhom,off,False,dt,1,0.51865,0.48135,0.41173,0.40599,0.41764,3e-05,0.50228,0.40445,0.03117
09_myhom,off,False,dt,2,0.52508,0.47492,0.40558,0.4017,0.40953,0.00013,0.50512,0.39811,0.025725
09_myhom,off,False,gnb,0,0.56684,0.28583,0.40071,0.45007,0.36111,0.02235,0.56414,0.44123,0.01394
09_myhom,off,False,gnb,1,0.58766,0.26964,0.43278,0.48609,0.39001,0.04095,0.58796,0.46463,0.013369
09_myhom,off,False,gnb,2,0.59709,0.2718,0.28354,0.47815,0.20152,0.02246,0.56467,0.44026,0.011782
09_myhom,off,False,knn,0,0.52485,0.2909,0.36665,0.39387,0.34295,0.00165,0.50057,0.40204,0.060406
09_myhom,off,False,knn,1,0.55208,0.27799,0.38925,0.43247,0.35388,0.00445,0.53084,0.42085,0.057094
09_myhom,off,False,knn,2,0.55122,0.27805,0.38448,0.42031,0.35428,0.00587,0.52881,0.41327,0.053424
09_myhom,off,False,lda,0,0.5964,0.23607,0.22149,0.48905,0.14316,0.03496,0.58446,0.4611,0.105436
09_myhom,off,False,lda,1,0.59366,0.23413,0.15808,0.48108,0.09458,0.05067,0.60145,0.47717,0.135676
09_myhom,off,False,lda,2,0.60994,0.23233,0.18018,0.53476,0.10834,0.04897,0.60323,0.47976,0.114797
09_myhom,off,False,lgbm,0,0.57498,0.25283,0.34908,0.45238,0.28419,0.01534,0.54832,0.44524,644.330754
09_myhom,off,False,lgbm,1,0.5778,0.24961,0.36163,0.46346,0.29649,0.02063,0.55976,0.45211,697.057127
09_myhom,off,False,lgbm,2,0.57908,0.24843,0.37611,0.45469,0.32069,0.01963,0.55753,0.439,656.097127
09_myhom,off,False,lr,0,0.59854,0.23621,0.18874,0.49772,0.11645,0.03434,0.58335,0.45869,0.063575
09_myhom,off,False,lr,1,0.5958,0.23445,0.13088,0.49306,0.07545,0.04935,0.60159,0.47805,0.058162
09_myhom,off,False,lr,2,0.60994,0.23261,0.14474,0.5461,0.08342,0.04976,0.60307,0.48096,0.033838
09_myhom,off,False,rf,0,0.56727,0.26078,0.36237,0.4429,0.30662,0.00721,0.52798,0.42901,0.865753
09_myhom,off,False,rf,1,0.56194,0.25759,0.34821,0.43541,0.29012,0.01078,0.53943,0.43698,1.022167
09_myhom,off,False,rf,2,0.57694,0.25303,0.37174,0.45062,0.31636,0.0124,0.54825,0.43458,0.787794
09_myhom,off,False,tabnet,0,0.45844,0.25422,0.54954,0.4123,0.82372,0.01937,0.55597,0.44951,11.484523
09_myhom,off,False,tabnet,1,0.56451,0.24797,0.30316,0.42747,0.23486,0.00435,0.51233,0.42124,2.647054
09_myhom,off,False,tabnet,2,0.4222,0.25331,0.56767,0.40319,0.95883,0.02593,0.57109,0.45674,10.532518
09_myhom,off,False,tabpfn,0,0.59469,0.23559,0.21947,0.48188,0.14209,0.03572,0.58414,0.46223,8.038982
09_myhom,off,False,tabpfn,1,0.59366,0.23355,0.13346,0.47712,0.07758,0.0497,0.60428,0.48198,6.510327
09_myhom,off,False,tabpfn,2,0.61123,0.23282,0.07354,0.64286,0.039,0.05137,0.60041,0.48533,6.749702
09_myhom,off,False,xgb,0,0.54456,0.27818,0.35615,0.41119,0.3141,0.00657,0.52385,0.42131,222.700108
09_myhom,off,False,xgb,1,0.56708,0.26975,0.3901,0.45175,0.34325,0.01092,0.54012,0.42864,117.77319
09_myhom,off,False,xgb,2,0.55551,0.27218,0.37417,0.42234,0.33586,0.00963,0.53269,0.41384,181.247228
