dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
09_myhom,on (ratio=0.1),False,ab,0,0.5994,0.24677,0.00426,0.66667,0.00214,0.01434,0.54116,0.42647,0.14031
09_myhom,on (ratio=0.1),False,ab,1,0.59451,0.24808,0.0,0.0,0.0,0.01834,0.5562,0.43802,0.184346
09_myhom,on (ratio=0.1),False,ab,2,0.60437,0.24686,0.0,0.0,0.0,0.01978,0.55883,0.45196,0.1554
09_myhom,on (ratio=0.1),False,ann,0,0.59897,0.32566,0.0,0.0,0.0,0.00421,0.51747,0.40988,22.48567
09_myhom,on (ratio=0.1),False,ann,1,0.59666,0.32048,0.0,0.0,0.0,0.00761,0.52638,0.43015,21.608515
09_myhom,on (ratio=0.1),False,ann,2,0.60437,0.3202,0.0,0.0,0.0,0.00906,0.53389,0.42177,27.99462
09_myhom,on (ratio=0.1),False,bnb,0,0.59897,0.32828,0.0,0.0,0.0,0.00722,0.53571,0.42683,0.010792
09_myhom,on (ratio=0.1),False,bnb,1,0.59666,0.33013,0.0,0.0,0.0,0.0104,0.5503,0.43615,0.015779
09_myhom,on (ratio=0.1),False,bnb,2,0.60437,0.32315,0.0,0.0,0.0,0.01487,0.55977,0.43922,0.019939
09_myhom,on (ratio=0.1),False,cb,0,0.59854,0.3343,0.00213,0.33333,0.00107,0.01641,0.5493,0.43288,1.725786
09_myhom,on (ratio=0.1),False,cb,1,0.59709,0.33285,0.00844,0.57143,0.00425,0.02762,0.5692,0.45179,1.54402
09_myhom,on (ratio=0.1),False,cb,2,0.60437,0.32526,0.00431,0.5,0.00217,0.02241,0.56782,0.44791,1.85826
09_myhom,on (ratio=0.1),False,dt,0,0.58141,0.41859,0.1783,0.41897,0.11325,0.0002,0.50405,0.40306,0.019171
09_myhom,on (ratio=0.1),False,dt,1,0.56922,0.43078,0.17825,0.38652,0.11583,0.0,0.49578,0.4014,0.019465
09_myhom,on (ratio=0.1),False,dt,2,0.58808,0.41192,0.20775,0.43448,0.13651,0.00113,0.5101,0.40093,0.021996
09_myhom,on (ratio=0.1),False,gnb,0,0.40531,0.58367,0.57054,0.40157,0.98504,0.02318,0.5653,0.44275,0.010161
09_myhom,on (ratio=0.1),False,gnb,1,0.59108,0.36242,0.23188,0.47841,0.15303,0.03357,0.57929,0.45888,0.012895
09_myhom,on (ratio=0.1),False,gnb,2,0.39649,0.59312,0.5673,0.39597,1.0,0.02031,0.5586,0.43576,0.026164
09_myhom,on (ratio=0.1),False,knn,0,0.59769,0.3492,0.02086,0.43478,0.01068,0.00062,0.48804,0.3957,0.056156
09_myhom,on (ratio=0.1),False,knn,1,0.5958,0.34423,0.02884,0.46667,0.01488,0.00367,0.52682,0.41938,0.080993
09_myhom,on (ratio=0.1),False,knn,2,0.6018,0.34164,0.01485,0.35,0.00758,0.00113,0.51252,0.40013,0.054071
09_myhom,on (ratio=0.1),False,lda,0,0.59897,0.32676,0.0,0.0,0.0,0.03302,0.58513,0.46139,0.020512
09_myhom,on (ratio=0.1),False,lda,1,0.59666,0.32733,0.0,0.0,0.0,0.04385,0.59305,0.47349,0.018548
09_myhom,on (ratio=0.1),False,lda,2,0.6048,0.32036,0.00216,1.0,0.00108,0.03849,0.58877,0.46664,0.093466
09_myhom,on (ratio=0.1),False,lgbm,0,0.59811,0.348,0.02495,0.46154,0.01282,0.00779,0.52682,0.42143,359.547279
09_myhom,on (ratio=0.1),False,lgbm,1,0.59709,0.34404,0.03491,0.51515,0.01807,0.01339,0.54225,0.43638,437.016722
09_myhom,on (ratio=0.1),False,lgbm,2,0.60609,0.33515,0.0213,0.625,0.01083,0.01862,0.55428,0.44005,474.87351
09_myhom,on (ratio=0.1),False,lr,0,0.59897,0.32794,0.0,0.0,0.0,0.0236,0.56982,0.44696,0.033828
09_myhom,on (ratio=0.1),False,lr,1,0.59666,0.32849,0.0,0.0,0.0,0.03859,0.58535,0.47035,0.102042
09_myhom,on (ratio=0.1),False,lr,2,0.60437,0.32201,0.0,0.0,0.0,0.02978,0.57715,0.46239,0.141241
09_myhom,on (ratio=0.1),False,rf,0,0.5994,0.33384,0.00426,0.66667,0.00214,0.0058,0.51682,0.41514,0.379672
09_myhom,on (ratio=0.1),False,rf,1,0.59537,0.33251,0.0084,0.36364,0.00425,0.00496,0.51761,0.42006,0.330812
09_myhom,on (ratio=0.1),False,rf,2,0.60652,0.32509,0.01713,0.72727,0.00867,0.00896,0.52865,0.42324,0.508782
09_myhom,on (ratio=0.1),False,tabnet,0,0.58483,0.24608,0.27633,0.45906,0.19765,0.01562,0.55371,0.43634,9.095521
09_myhom,on (ratio=0.1),False,tabnet,1,0.58851,0.24066,0.20398,0.46415,0.13071,0.03246,0.57767,0.46232,9.83716
09_myhom,on (ratio=0.1),False,tabnet,2,0.60694,0.2433,0.13897,0.52113,0.08017,0.01237,0.53486,0.42727,7.738481
09_myhom,on (ratio=0.1),False,tabpfn,0,0.59897,0.34207,0.0,0.0,0.0,0.02935,0.57705,0.45146,4.206001
09_myhom,on (ratio=0.1),False,tabpfn,1,0.59666,0.34107,0.0,0.0,0.0,0.03843,0.58767,0.47581,5.739464
09_myhom,on (ratio=0.1),False,tabpfn,2,0.60437,0.33424,0.0,0.0,0.0,0.03148,0.57913,0.46294,6.01901
09_myhom,on (ratio=0.1),False,xgb,0,0.60111,0.35142,0.04513,0.5641,0.0235,0.00805,0.52848,0.42762,110.606464
09_myhom,on (ratio=0.1),False,xgb,1,0.59794,0.35076,0.05634,0.5283,0.02976,0.01035,0.52402,0.4282,160.998742
09_myhom,on (ratio=0.1),False,xgb,2,0.60823,0.34032,0.05187,0.60976,0.02709,0.01703,0.54542,0.43666,167.717554
