dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
09_myhom,on (ratio=0.5),False,ab,0,0.59983,0.23849,0.03313,0.53333,0.01709,0.02733,0.5712,0.45415,0.160409
09_myhom,on (ratio=0.5),False,ab,1,0.59709,0.23915,0.00424,0.66667,0.00213,0.02768,0.58202,0.46101,0.153274
09_myhom,on (ratio=0.5),False,ab,2,0.60437,0.23701,0.0,0.0,0.0,0.03277,0.5884,0.46068,0.147787
09_myhom,on (ratio=0.5),False,ann,0,0.59897,0.24277,0.0,0.0,0.0,0.01369,0.54785,0.4305,9.425684
09_myhom,on (ratio=0.5),False,ann,1,0.59666,0.2449,0.0,0.0,0.0,0.019,0.55172,0.45098,1.370982
09_myhom,on (ratio=0.5),False,ann,2,0.60437,0.24122,0.0,0.0,0.0,0.02015,0.5558,0.44602,1.13327
09_myhom,on (ratio=0.5),False,bnb,0,0.5934,0.24569,0.13806,0.46061,0.0812,0.00628,0.53665,0.42723,0.0114
09_myhom,on (ratio=0.5),False,bnb,1,0.5928,0.24585,0.14568,0.47368,0.08608,0.01058,0.55045,0.43673,0.011291
09_myhom,on (ratio=0.5),False,bnb,2,0.60394,0.24049,0.0,0.0,0.0,0.01515,0.56065,0.44109,0.010472
09_myhom,on (ratio=0.5),False,cb,0,0.59383,0.24757,0.10734,0.45238,0.0609,0.02648,0.56933,0.45362,2.207614
09_myhom,on (ratio=0.5),False,cb,1,0.5898,0.24462,0.12282,0.44667,0.0712,0.03388,0.58106,0.45648,2.177932
09_myhom,on (ratio=0.5),False,cb,2,0.5958,0.24353,0.12116,0.43333,0.07042,0.02438,0.57008,0.44503,2.232025
09_myhom,on (ratio=0.5),False,dt,0,0.54156,0.45844,0.37354,0.41321,0.34081,0.00038,0.50839,0.40518,0.023858
09_myhom,on (ratio=0.5),False,dt,1,0.53579,0.46421,0.37579,0.41058,0.34644,0.00014,0.50512,0.40585,0.023674
