dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
09_myhom,off,True,ab,0,0.59769,0.24642,0.091,0.48454,0.05021,0.02855,0.57958,0.45789,0.142478
09_myhom,off,True,ab,1,0.59966,0.2463,0.08431,0.5443,0.0457,0.03561,0.58899,0.47614,0.154113
09_myhom,off,True,ab,2,0.60437,0.24616,0.03553,0.5,0.01842,0.04038,0.59295,0.47496,0.153277
09_myhom,off,True,ann,0,0.59897,0.23929,0.0,0.0,0.0,0.016,0.55175,0.43327,1.454226
09_myhom,off,True,ann,1,0.59666,0.23949,0.0,0.0,0.0,0.02047,0.55121,0.45479,1.450668
09_myhom,off,True,ann,2,0.60437,0.23761,0.0,0.0,0.0,0.02224,0.56076,0.45285,1.46581
09_myhom,off,True,bnb,0,0.58226,0.24347,0.21308,0.43564,0.14103,0.00588,0.53713,0.42639,0.004564
09_myhom,off,True,bnb,1,0.59451,0.24084,0.16872,0.48731,0.10202,0.01028,0.55029,0.43671,0.004761
09_myhom,off,True,bnb,2,0.60523,0.23692,0.18279,0.5049,0.11159,0.01549,0.5607,0.44148,0.004595
09_myhom,off,True,cb,0,0.58355,0.23815,0.27786,0.4561,0.19979,0.02723,0.57309,0.45135,0.083563
09_myhom,off,True,cb,1,0.59323,0.23582,0.26491,0.48857,0.18172,0.03757,0.59044,0.46947,0.09772
09_myhom,off,True,cb,2,0.6048,0.23336,0.26475,0.50151,0.17985,0.04029,0.5936,0.48221,0.095021
09_myhom,off,True,dt,0,0.56255,0.25116,0.36227,0.43609,0.30983,0.0186,0.55734,0.43078,0.008325
09_myhom,off,True,dt,1,0.58766,0.24925,0.05501,0.36364,0.02976,0.02363,0.56591,0.44618,0.00844
09_myhom,off,True,dt,2,0.58251,0.25058,0.1288,0.36923,0.07801,0.02033,0.55383,0.42493,0.008329
09_myhom,off,True,gnb,0,0.56812,0.28243,0.34545,0.4404,0.28419,0.02231,0.56445,0.44139,0.005193
09_myhom,off,True,gnb,1,0.5808,0.2659,0.36328,0.46891,0.29649,0.04068,0.58785,0.46515,0.004952
09_myhom,off,True,gnb,2,0.59709,0.27041,0.28135,0.47792,0.19935,0.02424,0.56826,0.44359,0.005536
09_myhom,off,True,knn,0,0.52485,0.2909,0.36665,0.39387,0.34295,0.00165,0.50057,0.40204,0.02545
09_myhom,off,True,knn,1,0.55208,0.27799,0.38925,0.43247,0.35388,0.00445,0.53084,0.42085,0.024938
09_myhom,off,True,knn,2,0.55122,0.27805,0.38448,0.42031,0.35428,0.00587,0.52881,0.41327,0.023286
09_myhom,off,True,lda,0,0.5964,0.23607,0.22149,0.48905,0.14316,0.03496,0.58446,0.4611,0.009029
09_myhom,off,True,lda,1,0.59366,0.23413,0.15808,0.48108,0.09458,0.05067,0.60145,0.47717,0.005161
09_myhom,off,True,lda,2,0.61037,0.23233,0.18182,0.53723,0.10943,0.04897,0.60323,0.47976,0.005327
09_myhom,off,True,lgbm,0,0.59512,0.23692,0.11434,0.46565,0.06517,0.02531,0.57091,0.45589,0.050453
09_myhom,off,True,lgbm,1,0.58851,0.2366,0.08046,0.40777,0.04463,0.03082,0.58105,0.45734,0.301168
09_myhom,off,True,lgbm,2,0.60694,0.23508,0.09477,0.53333,0.052,0.03115,0.57903,0.46184,0.302067
09_myhom,off,True,lr,0,0.59769,0.2365,0.17848,0.49275,0.10897,0.03087,0.58137,0.45751,0.026673
09_myhom,off,True,lr,1,0.60137,0.23507,0.11765,0.54867,0.06589,0.04727,0.5994,0.47664,0.026008
09_myhom,off,True,lr,2,0.60866,0.233,0.11787,0.54464,0.06609,0.04762,0.60115,0.48102,0.02998
09_myhom,off,True,rf,0,0.59212,0.23769,0.22853,0.47315,0.15064,0.02574,0.57045,0.45203,0.110832
09_myhom,off,True,rf,1,0.59494,0.23739,0.18323,0.49074,0.11265,0.03053,0.57706,0.45926,0.162007
09_myhom,off,True,rf,2,0.60652,0.23526,0.21806,0.50996,0.13868,0.03195,0.58012,0.46662,0.171239
09_myhom,off,True,tabnet,0,0.54627,0.24869,0.53816,0.45468,0.65919,0.02991,0.57212,0.45698,6.936422
09_myhom,off,True,tabnet,1,0.47364,0.25106,0.56546,0.42387,0.8491,0.02293,0.56314,0.45893,2.631089
09_myhom,off,True,tabnet,2,0.45264,0.25279,0.56342,0.41159,0.89274,0.0401,0.5937,0.47172,3.092935
09_myhom,off,True,xgb,0,0.59126,0.23962,0.28593,0.4775,0.20406,0.02194,0.56228,0.45321,0.034751
09_myhom,off,True,xgb,1,0.59194,0.23669,0.23596,0.48197,0.15622,0.03437,0.58467,0.46327,0.029162
09_myhom,off,True,xgb,2,0.60351,0.2352,0.23993,0.4966,0.15818,0.03297,0.58312,0.46255,0.029454
09_myhom,off,True,tabpfn_rf,0,0.56427,0.26013,0.34933,0.43541,0.29167,0.01032,0.53587,0.42805,71.956041
09_myhom,off,True,tabpfn_rf,1,0.56537,0.2554,0.32937,0.43608,0.26461,0.01589,0.54869,0.43828,73.181224
09_myhom,off,True,tabpfn_rf,2,0.60009,0.24972,0.33022,0.48936,0.24919,0.01799,0.56071,0.4469,72.237063
