dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
09_myhom,off,True,ab,0,0.60197,0.24158,0.06067,0.56604,0.03205,0.02715,0.57844,0.45951,1.335091
09_myhom,off,True,ab,1,0.59666,0.25149,0.0,0.0,0.0,0.03371,0.58901,0.46832,1.514205
09_myhom,off,True,ab,2,0.60437,0.24413,0.0,0.0,0.0,0.03114,0.58587,0.46522,1.584256
09_myhom,off,True,ann,0,0.59897,0.23612,0.1775,0.5,0.10791,0.03356,0.58109,0.46052,8.753176
09_myhom,off,True,ann,1,0.5988,0.23566,0.10173,0.52475,0.05632,0.04693,0.60047,0.47576,165.594673
09_myhom,off,True,ann,2,0.61123,0.23285,0.10109,0.59302,0.05525,0.0502,0.59881,0.48075,168.021883
09_myhom,off,True,bnb,0,0.58226,0.24347,0.21308,0.43564,0.14103,0.00588,0.53713,0.42639,0.010339
09_myhom,off,True,bnb,1,0.59451,0.24084,0.16872,0.48731,0.10202,0.01028,0.55029,0.43671,0.013585
09_myhom,off,True,bnb,2,0.60523,0.23692,0.18279,0.5049,0.11159,0.01549,0.5607,0.44148,0.019686
09_myhom,off,True,cb,0,0.59297,0.23675,0.2351,0.47712,0.15598,0.03107,0.57685,0.45721,1.482468
09_myhom,off,True,cb,1,0.59709,0.23547,0.1637,0.50273,0.09777,0.03841,0.58986,0.47307,1.681331
09_myhom,off,True,cb,2,0.60866,0.23382,0.20952,0.52155,0.13109,0.03904,0.59078,0.47328,1.618334
09_myhom,off,True,dt,0,0.5874,0.2426,0.31067,0.47072,0.23184,0.01435,0.55217,0.44052,0.022119
09_myhom,off,True,dt,1,0.5928,0.23899,0.02464,0.36364,0.01275,0.02486,0.57124,0.44993,0.026668
09_myhom,off,True,dt,2,0.59623,0.23789,0.03484,0.32075,0.01842,0.02474,0.5735,0.44274,0.025846
09_myhom,off,True,gnb,0,0.56769,0.28249,0.34523,0.43967,0.28419,0.0223,0.56444,0.44139,0.011909
09_myhom,off,True,gnb,1,0.58165,0.26596,0.36623,0.47078,0.29968,0.04054,0.58784,0.46511,0.016265
09_myhom,off,True,gnb,2,0.59709,0.27044,0.28135,0.47792,0.19935,0.0243,0.56813,0.44352,0.014441
09_myhom,off,True,knn,0,0.56255,0.2801,0.28451,0.41344,0.21688,0.00335,0.50766,0.4093,0.062095
09_myhom,off,True,knn,1,0.57694,0.26943,0.27904,0.44626,0.20298,0.00594,0.53606,0.42468,0.086349
09_myhom,off,True,knn,2,0.57908,0.27284,0.28841,0.43545,0.2156,0.00391,0.52726,0.41251,0.083324
09_myhom,off,True,lda,0,0.5964,0.23607,0.22149,0.48905,0.14316,0.03496,0.58446,0.4611,0.012847
09_myhom,off,True,lda,1,0.59366,0.23413,0.15808,0.48108,0.09458,0.05067,0.60145,0.47717,0.019367
09_myhom,off,True,lda,2,0.60994,0.23233,0.18018,0.53476,0.10834,0.04897,0.60323,0.47976,0.020029
09_myhom,off,True,lgbm,0,0.59126,0.23753,0.26161,0.47472,0.18056,0.02753,0.57087,0.46042,0.331767
09_myhom,off,True,lgbm,1,0.59623,0.23594,0.21369,0.49805,0.13603,0.03431,0.58621,0.46532,0.450536
09_myhom,off,True,lgbm,2,0.60266,0.23562,0.23071,0.49291,0.1506,0.03229,0.57823,0.46057,1.603546
09_myhom,off,True,lr,0,0.59597,0.23711,0.15274,0.48023,0.09081,0.02887,0.57752,0.45391,0.028706
09_myhom,off,True,lr,1,0.59966,0.23586,0.09144,0.54023,0.04995,0.04235,0.59428,0.47452,0.03245
09_myhom,off,True,lr,2,0.60394,0.2339,0.08333,0.49412,0.0455,0.04557,0.59651,0.47749,0.029842
09_myhom,off,True,rf,0,0.59383,0.23743,0.26625,0.48315,0.18376,0.02888,0.5716,0.45577,0.868129
09_myhom,off,True,rf,1,0.60137,0.23685,0.22886,0.52075,0.14665,0.03211,0.58048,0.46399,0.735425
09_myhom,off,True,rf,2,0.60952,0.23461,0.23766,0.52206,0.15385,0.03386,0.58486,0.46929,0.753466
09_myhom,off,True,tabnet,0,0.5557,0.24538,0.52885,0.46008,0.62179,0.03442,0.58315,0.4678,51.44447
09_myhom,off,True,tabnet,1,0.51607,0.26966,0.51732,0.43276,0.64293,0.02271,0.55871,0.45005,11.684732
09_myhom,off,True,tabnet,2,0.4072,0.2579,0.56276,0.39732,0.96425,0.02155,0.55727,0.44527,18.979271
09_myhom,off,True,xgb,0,0.5904,0.2384,0.26348,0.47238,0.18269,0.02476,0.56869,0.45156,0.427017
09_myhom,off,True,xgb,1,0.60094,0.23603,0.20766,0.52137,0.12965,0.0352,0.5876,0.47512,0.6621
09_myhom,off,True,xgb,2,0.59966,0.23515,0.23817,0.48185,0.15818,0.03369,0.58208,0.46106,0.50194
