dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
09_myhom,on (ratio=0.1),True,ab,0,0.59897,0.30981,0.0,0.0,0.0,0.01409,0.55548,0.43677,0.160187
09_myhom,on (ratio=0.1),True,ab,1,0.59666,0.30602,0.0,0.0,0.0,0.02631,0.57875,0.45877,0.160827
09_myhom,on (ratio=0.1),True,ab,2,0.60437,0.29625,0.0,0.0,0.0,0.01423,0.55606,0.42906,0.158889
09_myhom,on (ratio=0.1),True,ann,0,0.59897,0.32522,0.0,0.0,0.0,0.02886,0.57768,0.45627,11.814775
09_myhom,on (ratio=0.1),True,ann,1,0.59666,0.33295,0.0,0.0,0.0,0.028,0.57497,0.4589,10.752191
09_myhom,on (ratio=0.1),True,ann,2,0.60437,0.31662,0.0,0.0,0.0,0.0327,0.58395,0.46337,10.797011
09_myhom,on (ratio=0.1),True,bnb,0,0.59897,0.32794,0.0,0.0,0.0,0.00647,0.53519,0.42476,0.015037
09_myhom,on (ratio=0.1),True,bnb,1,0.59666,0.32976,0.0,0.0,0.0,0.01066,0.55021,0.43655,0.010836
09_myhom,on (ratio=0.1),True,bnb,2,0.60437,0.3227,0.0,0.0,0.0,0.01539,0.56066,0.4401,0.010524
09_myhom,on (ratio=0.1),True,cb,0,0.59854,0.33211,0.0,0.0,0.0,0.01387,0.54744,0.43516,0.560787
09_myhom,on (ratio=0.1),True,cb,1,0.59666,0.33154,0.00212,0.5,0.00106,0.0269,0.56945,0.45306,0.625527
09_myhom,on (ratio=0.1),True,cb,2,0.60437,0.32385,0.0,0.0,0.0,0.02332,0.56687,0.44961,0.585509
09_myhom,on (ratio=0.1),True,dt,0,0.5994,0.34349,0.01267,0.54545,0.00641,0.00535,0.5213,0.41616,0.017449
09_myhom,on (ratio=0.1),True,dt,1,0.59966,0.34048,0.05274,0.57778,0.02763,0.00876,0.52395,0.4311,0.017431
09_myhom,on (ratio=0.1),True,dt,2,0.60566,0.33379,0.02128,0.58824,0.01083,0.00729,0.53112,0.4242,0.016405
