dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
10_hackerearth,off,False,ab,0,0.8065,0.17576,0.29405,0.83264,0.17856,0.25305,0.74439,0.54345,1.758155
10_hackerearth,off,False,ab,1,0.7957,0.17459,0.28089,0.84177,0.16857,0.20924,0.73599,0.49908,1.847508
10_hackerearth,off,False,ab,2,0.7957,0.17877,0.26853,0.82781,0.16026,0.22089,0.7273,0.52484,2.750221
10_hackerearth,off,False,ann,0,0.7826,0.15414,0.08961,0.81679,0.04741,0.18886,0.72363,0.47884,7.705487
10_hackerearth,off,False,ann,1,0.7642,0.16131,0.00758,1.0,0.0038,0.1875,0.72566,0.49301,6.280184
10_hackerearth,off,False,ann,2,0.7809,0.1611,0.19121,0.7019,0.11068,0.16333,0.70865,0.46266,10.442359
10_hackerearth,off,False,bnb,0,0.7402,0.1694,0.45603,0.43231,0.4825,0.1781,0.72876,0.45326,0.053719
10_hackerearth,off,False,bnb,1,0.7449,0.16886,0.47282,0.46278,0.48331,0.1881,0.73361,0.4728,0.05746
10_hackerearth,off,False,bnb,2,0.7224,0.1817,0.44613,0.41841,0.47778,0.15138,0.70905,0.42948,0.057081
10_hackerearth,off,False,cb,0,0.8875,0.08829,0.69,0.91254,0.55472,0.56698,0.9015,0.81527,6.664685
10_hackerearth,off,False,cb,1,0.8825,0.09019,0.6894,0.9209,0.55091,0.57961,0.90612,0.82763,7.4418
10_hackerearth,off,False,cb,2,0.8825,0.09199,0.68825,0.90763,0.55427,0.56205,0.90249,0.81216,6.779005
10_hackerearth,off,False,dt,0,0.7517,0.2483,0.46197,0.45208,0.47231,0.13416,0.65272,0.33262,0.4739
10_hackerearth,off,False,dt,1,0.7636,0.2364,0.50729,0.50062,0.51415,0.17653,0.67755,0.37239,0.47032
10_hackerearth,off,False,dt,2,0.7594,0.2406,0.48303,0.48574,0.48034,0.15337,0.66249,0.35492,0.479179
10_hackerearth,off,False,gnb,0,0.2676,0.73203,0.37816,0.2339,0.98671,0.01906,0.53892,0.24035,0.052159
10_hackerearth,off,False,gnb,1,0.2883,0.71083,0.39589,0.24772,0.98521,0.02174,0.54152,0.25289,0.07534
10_hackerearth,off,False,gnb,2,0.2776,0.72148,0.38956,0.24278,0.98504,0.01696,0.53391,0.24696,0.062491
10_hackerearth,off,False,knn,0,0.7512,0.18598,0.28423,0.40525,0.21887,0.06117,0.62273,0.31083,0.160279
10_hackerearth,off,False,knn,1,0.7458,0.19247,0.26996,0.42152,0.19856,0.05359,0.6105,0.3171,0.124248
10_hackerearth,off,False,knn,2,0.7449,0.18992,0.29001,0.4158,0.22265,0.06224,0.62422,0.32062,0.40663
10_hackerearth,off,False,lda,0,0.8002,0.14064,0.44096,0.59833,0.34914,0.28035,0.78552,0.51091,0.224702
10_hackerearth,off,False,lda,1,0.788,0.14545,0.4298,0.59141,0.33756,0.28174,0.7861,0.52508,0.239735
10_hackerearth,off,False,lda,2,0.7873,0.14748,0.43745,0.57391,0.35342,0.26717,0.77891,0.5028,1.194146
10_hackerearth,off,False,lgbm,0,0.8785,0.09406,0.65414,0.91481,0.50908,0.52501,0.89063,0.79257,0.291826
10_hackerearth,off,False,lgbm,1,0.8696,0.09771,0.63998,0.92351,0.48965,0.53264,0.89322,0.80218,0.356565
10_hackerearth,off,False,lgbm,2,0.8752,0.09517,0.66252,0.90206,0.5235,0.54239,0.89662,0.79989,0.304532
10_hackerearth,off,False,lr,0,0.7993,0.14228,0.37845,0.6286,0.27071,0.26346,0.77787,0.50842,0.210218
10_hackerearth,off,False,lr,1,0.7861,0.14712,0.35083,0.62284,0.24419,0.25923,0.77651,0.52462,0.217821
10_hackerearth,off,False,lr,2,0.7842,0.1488,0.36641,0.58537,0.26667,0.24075,0.76679,0.499,0.227545
10_hackerearth,off,False,rf,0,0.8367,0.12683,0.45802,0.9127,0.30572,0.31285,0.79169,0.63473,3.288911
10_hackerearth,off,False,rf,1,0.8298,0.12949,0.45449,0.94157,0.29954,0.32671,0.80219,0.65595,3.213487
10_hackerearth,off,False,rf,2,0.8259,0.13349,0.43748,0.89669,0.28932,0.29258,0.78199,0.62019,3.315981
10_hackerearth,off,False,tabnet,0,0.6885,0.19776,0.46798,0.38077,0.607,0.19918,0.72758,0.51452,28.952499
10_hackerearth,off,False,tabnet,1,0.698,0.20246,0.46681,0.40097,0.55851,0.18529,0.70667,0.52541,30.409037
10_hackerearth,off,False,tabnet,2,0.6737,0.20611,0.47021,0.37916,0.6188,0.18861,0.72479,0.48924,315.929611
10_hackerearth,off,False,tabpfn,0,0.8662,0.10116,0.61507,0.87695,0.47364,0.49156,0.88061,0.76663,191.563846
10_hackerearth,off,False,tabpfn,1,0.8598,0.10449,0.61547,0.87725,0.47402,0.49383,0.87968,0.77697,191.354006
10_hackerearth,off,False,tabpfn,2,0.8553,0.10764,0.59479,0.86271,0.45385,0.47047,0.87054,0.75419,271.458125
10_hackerearth,off,False,xgb,0,0.8861,0.09083,0.69324,0.88393,0.57023,0.53378,0.89225,0.79633,0.209457
10_hackerearth,off,False,xgb,1,0.8836,0.09088,0.70382,0.88484,0.58428,0.55584,0.899,0.81248,0.389364
10_hackerearth,off,False,xgb,2,0.8784,0.09331,0.68708,0.86352,0.57051,0.54142,0.89599,0.79739,0.181209
