dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
10_hackerearth,on (ratio=0.1),False,ab,0,0.82525,0.23414,0.41662,0.94246,0.26742,0.31324,0.79804,0.64263,8.374855
10_hackerearth,on (ratio=0.1),False,ab,1,0.82048,0.23676,0.40706,0.94393,0.25947,0.30894,0.79448,0.64183,10.566126
10_hackerearth,on (ratio=0.1),False,ab,2,0.82348,0.23701,0.40864,0.94911,0.26037,0.3079,0.79399,0.63774,6.425471
10_hackerearth,on (ratio=0.1),False,ann,0,0.76666,0.17735,0.0,0.0,0.0,0.17035,0.71898,0.46462,1864.665976
10_hackerearth,on (ratio=0.1),False,ann,1,0.76252,0.18404,0.0,0.0,0.0,0.14826,0.7021,0.45249,1712.105949
10_hackerearth,on (ratio=0.1),False,ann,2,0.76576,0.18484,0.0,0.0,0.0,0.14847,0.70272,0.4479,436.584831
10_hackerearth,on (ratio=0.1),False,bnb,0,0.77887,0.16397,0.23498,0.60959,0.14554,0.17983,0.73245,0.46061,0.289849
10_hackerearth,on (ratio=0.1),False,bnb,1,0.77341,0.16786,0.2606,0.57895,0.16814,0.16814,0.72339,0.45804,0.462244
10_hackerearth,on (ratio=0.1),False,bnb,2,0.7765,0.16577,0.22509,0.59911,0.13858,0.17004,0.72406,0.45576,0.202967
10_hackerearth,on (ratio=0.1),False,cb,0,0.86779,0.09997,0.6209,0.93813,0.464,0.60063,0.91327,0.8348,29.165511
10_hackerearth,on (ratio=0.1),False,cb,1,0.86569,0.10141,0.62254,0.93587,0.4664,0.60119,0.91117,0.83458,13.065981
10_hackerearth,on (ratio=0.1),False,cb,2,0.86752,0.1008,0.62055,0.94282,0.46247,0.59607,0.91045,0.8333,7.639343
10_hackerearth,on (ratio=0.1),False,dt,0,0.79195,0.20805,0.46027,0.58312,0.38017,0.16548,0.64873,0.36631,2.559008
10_hackerearth,on (ratio=0.1),False,dt,1,0.78913,0.21087,0.45159,0.59049,0.36559,0.15855,0.64331,0.36654,1.723111
10_hackerearth,on (ratio=0.1),False,dt,2,0.79621,0.20379,0.4705,0.60108,0.38653,0.17705,0.65403,0.37603,1.540007
10_hackerearth,on (ratio=0.1),False,gnb,0,0.27599,0.72387,0.38877,0.24207,0.98676,0.01536,0.52734,0.24357,0.283922
10_hackerearth,on (ratio=0.1),False,gnb,1,0.28239,0.71746,0.39468,0.24677,0.98509,0.01632,0.53158,0.24959,0.249163
10_hackerearth,on (ratio=0.1),False,gnb,2,0.27783,0.72185,0.38947,0.24282,0.98335,0.01535,0.53099,0.24602,0.179395
10_hackerearth,on (ratio=0.1),False,knn,0,0.76894,0.19123,0.10107,0.5481,0.05567,0.0634,0.61405,0.31446,1.796421
10_hackerearth,on (ratio=0.1),False,knn,1,0.76225,0.19699,0.09851,0.49486,0.0547,0.05229,0.60448,0.30782,1.627395
10_hackerearth,on (ratio=0.1),False,knn,2,0.76765,0.1952,0.10286,0.53818,0.05686,0.04988,0.59924,0.30364,0.903694
10_hackerearth,on (ratio=0.1),False,lda,0,0.77746,0.16069,0.16219,0.66729,0.09231,0.29215,0.79011,0.52588,10.120197
10_hackerearth,on (ratio=0.1),False,lda,1,0.77437,0.16391,0.17215,0.66895,0.09879,0.26993,0.77949,0.52055,9.737461
10_hackerearth,on (ratio=0.1),False,lda,2,0.7762,0.16182,0.15054,0.67864,0.08466,0.29072,0.78972,0.53001,3.352822
10_hackerearth,on (ratio=0.1),False,lgbm,0,0.85804,0.10667,0.57773,0.94428,0.41617,0.57022,0.90449,0.82023,562.581437
10_hackerearth,on (ratio=0.1),False,lgbm,1,0.85453,0.11019,0.57506,0.93877,0.41448,0.55616,0.89789,0.81283,455.727825
10_hackerearth,on (ratio=0.1),False,lgbm,2,0.85546,0.10862,0.56843,0.94547,0.40638,0.5597,0.90084,0.81387,107.887485
10_hackerearth,on (ratio=0.1),False,lr,0,0.77026,0.16549,0.04704,0.73256,0.0243,0.26859,0.78229,0.52082,1.409341
10_hackerearth,on (ratio=0.1),False,lr,1,0.76792,0.16919,0.0598,0.78846,0.03108,0.24945,0.77146,0.51616,1.654098
10_hackerearth,on (ratio=0.1),False,lr,2,0.76981,0.16723,0.04861,0.76265,0.0251,0.26092,0.77778,0.52057,0.835298
10_hackerearth,on (ratio=0.1),False,rf,0,0.82399,0.1417,0.40382,0.96316,0.25546,0.31171,0.79209,0.63687,14.532238
10_hackerearth,on (ratio=0.1),False,rf,1,0.81877,0.14588,0.38986,0.97229,0.24381,0.30569,0.7882,0.63714,14.361434
10_hackerearth,on (ratio=0.1),False,rf,2,0.82141,0.14367,0.3915,0.96962,0.24526,0.30744,0.78908,0.63514,9.232227
10_hackerearth,on (ratio=0.1),False,tabnet,0,0.7019,0.1848,0.52511,0.41789,0.70635,0.2617,0.77988,0.54867,717.773834
10_hackerearth,on (ratio=0.1),False,tabnet,1,0.79033,0.14669,0.61495,0.54529,0.70503,0.40297,0.83945,0.70649,663.56003
10_hackerearth,on (ratio=0.1),False,tabnet,2,0.80158,0.13553,0.62793,0.55989,0.71478,0.43614,0.85816,0.72765,213.772226
10_hackerearth,on (ratio=0.1),False,tabpfn,0,0.82756,0.14025,0.42795,0.94714,0.27642,0.30228,0.78631,0.6348,663.950332
10_hackerearth,on (ratio=0.1),False,tabpfn,1,0.82183,0.14374,0.41528,0.9411,0.26642,0.29906,0.78707,0.637,690.659794
10_hackerearth,on (ratio=0.1),False,tabpfn,2,0.82591,0.14228,0.42253,0.94734,0.2719,0.30382,0.79075,0.63679,649.988927
10_hackerearth,on (ratio=0.1),False,xgb,0,0.86863,0.10142,0.62557,0.93388,0.4703,0.56866,0.90356,0.81806,168.05117
10_hackerearth,on (ratio=0.1),False,xgb,1,0.8662,0.10305,0.62571,0.932,0.47094,0.5725,0.90446,0.82086,32.01009
10_hackerearth,on (ratio=0.1),False,xgb,2,0.8665,0.10318,0.61881,0.9343,0.4626,0.55448,0.89772,0.81,29.677137
