dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
10_hackerearth,on (ratio=0.5),False,ab,0,0.7807,0.19371,0.46733,0.5172,0.42623,0.22097,0.74366,0.52242,3.33167
10_hackerearth,on (ratio=0.5),False,ab,1,0.781,0.19402,0.47101,0.54992,0.41191,0.22025,0.74214,0.53989,2.664597
10_hackerearth,on (ratio=0.5),False,ab,2,0.7861,0.19512,0.43873,0.56832,0.35726,0.20813,0.73505,0.52552,2.54849
10_hackerearth,on (ratio=0.5),False,ann,0,0.7605,0.1702,0.46504,0.46892,0.46123,0.19463,0.7289,0.48178,11.224423
10_hackerearth,on (ratio=0.5),False,ann,1,0.7827,0.16003,0.36703,0.59099,0.26616,0.19404,0.73065,0.49294,12.20013
10_hackerearth,on (ratio=0.5),False,ann,2,0.7763,0.1656,0.38561,0.53958,0.3,0.16628,0.71259,0.46662,7.70336
10_hackerearth,on (ratio=0.5),False,bnb,0,0.7118,0.18748,0.47003,0.40176,0.56624,0.17211,0.72702,0.43803,0.060546
10_hackerearth,on (ratio=0.5),False,bnb,1,0.7122,0.18646,0.48662,0.42112,0.57626,0.18025,0.73065,0.46258,0.064605
10_hackerearth,on (ratio=0.5),False,bnb,2,0.6944,0.19987,0.46311,0.3932,0.56325,0.14856,0.70841,0.4221,0.065089
10_hackerearth,on (ratio=0.5),False,cb,0,0.886,0.08946,0.69222,0.88597,0.56801,0.55513,0.90015,0.80973,8.428063
10_hackerearth,on (ratio=0.5),False,cb,1,0.8832,0.09184,0.69772,0.90047,0.5695,0.56224,0.90227,0.81877,8.214371
10_hackerearth,on (ratio=0.5),False,cb,2,0.8788,0.09366,0.68585,0.87154,0.56538,0.54643,0.89817,0.80322,8.494634
10_hackerearth,on (ratio=0.5),False,dt,0,0.7395,0.2605,0.47257,0.43512,0.51706,0.13768,0.6607,0.33398,0.54903
10_hackerearth,on (ratio=0.5),False,dt,1,0.7428,0.2572,0.48539,0.46104,0.51246,0.1448,0.66335,0.35167,0.568287
10_hackerearth,on (ratio=0.5),False,dt,2,0.7362,0.2638,0.46578,0.44265,0.49145,0.12564,0.65121,0.33654,0.610495
10_hackerearth,on (ratio=0.5),False,gnb,0,0.2766,0.72259,0.37959,0.23535,0.98051,0.01782,0.53836,0.24018,0.066138
10_hackerearth,on (ratio=0.5),False,gnb,1,0.3005,0.69912,0.39651,0.24913,0.97085,0.02109,0.54437,0.25422,0.073601
10_hackerearth,on (ratio=0.5),False,gnb,2,0.2875,0.7111,0.39035,0.24404,0.97479,0.01742,0.53609,0.24787,0.073689
10_hackerearth,on (ratio=0.5),False,knn,0,0.641,0.24389,0.38464,0.31367,0.49712,0.05909,0.62746,0.30882,0.132453
10_hackerearth,on (ratio=0.5),False,knn,1,0.6342,0.25298,0.38042,0.3175,0.47444,0.04278,0.60894,0.3053,0.164963
10_hackerearth,on (ratio=0.5),False,knn,2,0.6367,0.25153,0.39156,0.32195,0.49957,0.05188,0.62241,0.30878,0.187327
10_hackerearth,on (ratio=0.5),False,lda,0,0.7923,0.14809,0.52742,0.5421,0.51351,0.28218,0.78552,0.50836,0.277108
10_hackerearth,on (ratio=0.5),False,lda,1,0.7824,0.15146,0.52675,0.54281,0.51162,0.28033,0.78524,0.52176,0.241544
10_hackerearth,on (ratio=0.5),False,lda,2,0.7815,0.15412,0.52654,0.53407,0.51923,0.26883,0.78041,0.50418,0.457147
10_hackerearth,on (ratio=0.5),False,lgbm,0,0.876,0.09613,0.65344,0.88494,0.51794,0.51459,0.88858,0.78545,0.387831
10_hackerearth,on (ratio=0.5),False,lgbm,1,0.8702,0.09817,0.65294,0.88929,0.51584,0.52425,0.89204,0.79838,0.372471
10_hackerearth,on (ratio=0.5),False,lgbm,2,0.8709,0.0999,0.65619,0.87067,0.5265,0.51035,0.88743,0.78105,0.468614
10_hackerearth,on (ratio=0.5),False,lr,0,0.7909,0.14924,0.50438,0.5423,0.47142,0.26723,0.77962,0.50607,0.264185
10_hackerearth,on (ratio=0.5),False,lr,1,0.7817,0.15258,0.50103,0.54582,0.46303,0.26185,0.77781,0.52024,0.257805
10_hackerearth,on (ratio=0.5),False,lr,2,0.7794,0.15517,0.49749,0.53268,0.46667,0.24864,0.77176,0.50095,0.281995
10_hackerearth,on (ratio=0.5),False,rf,0,0.831,0.13209,0.4722,0.8,0.33496,0.30572,0.79008,0.62626,3.845272
10_hackerearth,on (ratio=0.5),False,rf,1,0.8241,0.13481,0.47664,0.80584,0.3384,0.30819,0.79309,0.63851,3.847506
10_hackerearth,on (ratio=0.5),False,rf,2,0.8151,0.13724,0.4429,0.75077,0.3141,0.28738,0.78594,0.61223,4.556828
10_hackerearth,on (ratio=0.5),False,tabnet,0,0.6746,0.20411,0.47752,0.37446,0.65884,0.20588,0.73427,0.52335,38.77032
10_hackerearth,on (ratio=0.5),False,tabnet,1,0.493,0.27496,0.44261,0.29915,0.85044,0.18536,0.71682,0.50007,46.558421
10_hackerearth,on (ratio=0.5),False,tabnet,2,0.6838,0.20524,0.49115,0.39391,0.65214,0.19737,0.73704,0.48923,37.061375
10_hackerearth,on (ratio=0.5),False,tabpfn,0,0.8518,0.11299,0.56386,0.83961,0.42446,0.41372,0.84915,0.71382,359.364617
10_hackerearth,on (ratio=0.5),False,tabpfn,1,0.8484,0.11146,0.57464,0.85547,0.43262,0.4489,0.86404,0.74614,375.221848
10_hackerearth,on (ratio=0.5),False,tabpfn,2,0.8366,0.11876,0.53394,0.80274,0.4,0.39741,0.84361,0.70307,266.47888
10_hackerearth,on (ratio=0.5),False,xgb,0,0.8776,0.09393,0.67447,0.84365,0.56181,0.51379,0.88674,0.78645,0.262506
10_hackerearth,on (ratio=0.5),False,xgb,1,0.8808,0.09394,0.70245,0.85845,0.59442,0.53453,0.89196,0.80178,0.285966
10_hackerearth,on (ratio=0.5),False,xgb,2,0.8738,0.09767,0.67888,0.83899,0.57009,0.5114,0.88778,0.78291,0.267365
