dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
10_hackerearth,off,True,ab,0,0.79771,0.219,0.2744,0.84158,0.16392,0.2646,0.76689,0.5871,7.812627
10_hackerearth,off,True,ab,1,0.79204,0.21928,0.26224,0.83243,0.15563,0.24741,0.75783,0.57705,8.228122
10_hackerearth,off,True,ab,2,0.79555,0.21947,0.26459,0.8403,0.15702,0.25527,0.75867,0.58173,7.907474
10_hackerearth,off,True,ann,0,0.77971,0.15555,0.13966,0.78732,0.07663,0.19826,0.73792,0.49346,13.393774
10_hackerearth,off,True,ann,1,0.77467,0.15967,0.11646,0.84615,0.06253,0.18088,0.72286,0.49075,14.695823
10_hackerearth,off,True,ann,2,0.78088,0.15721,0.1745,0.74231,0.09887,0.18901,0.72849,0.48482,15.259905
10_hackerearth,off,True,bnb,0,0.73811,0.17093,0.46697,0.44465,0.49164,0.18069,0.73293,0.46263,0.131919
10_hackerearth,off,True,bnb,1,0.73063,0.17681,0.4625,0.43953,0.488,0.16825,0.72326,0.45893,0.129331
10_hackerearth,off,True,bnb,2,0.73219,0.17559,0.46561,0.43711,0.49808,0.17209,0.72507,0.45873,0.132919
10_hackerearth,off,True,cb,0,0.90205,0.07699,0.75603,0.90259,0.65042,0.64323,0.92654,0.85473,4.59558
10_hackerearth,off,True,cb,1,0.90034,0.07889,0.75577,0.90397,0.64932,0.63505,0.92388,0.85104,4.731757
10_hackerearth,off,True,cb,2,0.90331,0.07706,0.75967,0.90916,0.65241,0.63898,0.92448,0.85358,4.653576
10_hackerearth,off,True,dt,0,0.83137,0.13244,0.50261,0.80613,0.36513,0.30479,0.78004,0.61104,0.674214
10_hackerearth,off,True,dt,1,0.83257,0.13158,0.49434,0.87408,0.34462,0.31294,0.78749,0.61909,0.672228
10_hackerearth,off,True,dt,2,0.83128,0.13326,0.49397,0.83031,0.35156,0.30064,0.77694,0.60658,0.655843
10_hackerearth,off,True,gnb,0,0.69317,0.22185,0.4578,0.3895,0.55516,0.14479,0.69524,0.44594,0.102105
10_hackerearth,off,True,gnb,1,0.67738,0.23583,0.44806,0.37733,0.55141,0.12746,0.67897,0.4349,0.093567
10_hackerearth,off,True,gnb,2,0.68929,0.22797,0.45349,0.38562,0.55033,0.13333,0.68321,0.43541,0.09436
10_hackerearth,off,True,knn,0,0.77797,0.16295,0.21541,0.6139,0.13062,0.1337,0.69196,0.41101,3.342213
10_hackerearth,off,True,knn,1,0.77119,0.1673,0.21152,0.58224,0.12923,0.11789,0.6797,0.40126,3.535781
10_hackerearth,off,True,knn,2,0.77425,0.16475,0.2198,0.57703,0.13576,0.1259,0.6854,0.40477,3.256454
10_hackerearth,off,True,lda,0,0.7933,0.14271,0.4457,0.59544,0.35613,0.29032,0.7919,0.52354,0.191737
10_hackerearth,off,True,lda,1,0.76357,0.20877,0.01253,0.76923,0.00632,0.26885,0.78055,0.5175,0.205406
10_hackerearth,off,True,lda,2,0.7672,0.20328,0.01797,0.75532,0.00909,0.27138,0.78005,0.51194,0.15315
10_hackerearth,off,True,lgbm,0,0.89809,0.07921,0.74318,0.902,0.63191,0.6295,0.92477,0.84864,0.543994
10_hackerearth,off,True,lgbm,1,0.89725,0.08046,0.74605,0.90307,0.63555,0.62813,0.92319,0.84861,0.534745
10_hackerearth,off,True,lgbm,2,0.89833,0.07985,0.74355,0.90864,0.62923,0.62679,0.92206,0.84807,0.593901
10_hackerearth,off,True,lr,0,0.80227,0.13791,0.45962,0.63431,0.36038,0.31617,0.80455,0.55404,20.032177
10_hackerearth,off,True,lr,1,0.79873,0.14113,0.46134,0.63296,0.36294,0.30076,0.79606,0.55207,14.10522
10_hackerearth,off,True,lr,2,0.8032,0.13846,0.4599,0.64385,0.35771,0.31369,0.80148,0.55585,16.529327
10_hackerearth,off,True,rf,0,0.83305,0.12592,0.46721,0.91489,0.31371,0.33771,0.81068,0.66465,4.182052
10_hackerearth,off,True,rf,1,0.82852,0.12804,0.45686,0.92178,0.30369,0.33547,0.81032,0.6666,4.202419
10_hackerearth,off,True,rf,2,0.83098,0.12698,0.45733,0.9223,0.30405,0.33707,0.80963,0.66577,4.22666
10_hackerearth,off,True,tabnet,0,0.83605,0.12038,0.68883,0.61819,0.77771,0.52347,0.89234,0.77668,105.592654
10_hackerearth,off,True,tabnet,1,0.83779,0.11805,0.69182,0.63028,0.76668,0.52342,0.8908,0.78268,95.369099
10_hackerearth,off,True,tabnet,2,0.82864,0.12988,0.66561,0.613,0.7281,0.47907,0.87415,0.75315,110.986117
10_hackerearth,off,True,xgb,0,0.89869,0.07842,0.74496,0.9028,0.6341,0.63538,0.92593,0.85161,0.796346
10_hackerearth,off,True,xgb,1,0.89608,0.08035,0.7418,0.90473,0.6286,0.62914,0.92421,0.85159,0.835305
10_hackerearth,off,True,xgb,2,0.89629,0.08051,0.73657,0.90931,0.61898,0.62414,0.92134,0.84615,0.849298
10_hackerearth,off,False,tabpfn,0,0.83917,0.1375,0.63794,0.67193,0.60723,0.42922,0.8523,0.73145,965.062411
10_hackerearth,off,False,tabpfn,1,0.84118,0.13577,0.6247,0.71179,0.55659,0.41328,0.84376,0.72005,952.193806
10_hackerearth,off,False,tabpfn,2,0.8557,0.12716,0.63372,0.78156,0.53291,0.43472,0.85095,0.73487,950.605087
