dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
10_hackerearth,off,True,ab,0,0.8067,0.16127,0.29375,0.8375,0.17811,0.21706,0.73699,0.52108,20.306143
10_hackerearth,off,True,ab,1,0.7958,0.16374,0.28099,0.84355,0.16857,0.20806,0.73353,0.49921,17.768227
10_hackerearth,off,True,ab,2,0.7964,0.1649,0.2692,0.84081,0.16026,0.18735,0.7182,0.48472,17.755069
10_hackerearth,off,True,ann,0,0.8238,0.12847,0.5489,0.65009,0.47497,0.34709,0.81805,0.6223,77.53829
10_hackerearth,off,True,ann,1,0.8085,0.13862,0.48783,0.66472,0.3853,0.30379,0.79415,0.59574,77.912546
10_hackerearth,off,True,ann,2,0.8146,0.1356,0.5077,0.67041,0.40855,0.31105,0.7989,0.60794,79.147659
10_hackerearth,off,True,bnb,0,0.7392,0.16956,0.45485,0.43055,0.48206,0.17776,0.72874,0.45271,0.05892
10_hackerearth,off,True,bnb,1,0.744,0.16898,0.47195,0.4611,0.48331,0.18833,0.73378,0.47294,0.056074
10_hackerearth,off,True,bnb,2,0.722,0.18181,0.44555,0.41773,0.47735,0.15162,0.70928,0.43025,0.063617
10_hackerearth,off,True,cb,0,0.8927,0.08559,0.71102,0.90659,0.58485,0.57733,0.90561,0.81999,3.977178
10_hackerearth,off,True,cb,1,0.8851,0.08938,0.70133,0.91149,0.56992,0.57245,0.90531,0.82426,3.946166
10_hackerearth,off,True,cb,2,0.8844,0.08976,0.69943,0.89309,0.57479,0.56801,0.90423,0.81434,4.012669
10_hackerearth,off,True,dt,0,0.8386,0.12913,0.45912,0.94223,0.3035,0.27263,0.74947,0.55399,0.394026
10_hackerearth,off,True,dt,1,0.8316,0.13326,0.45712,0.96463,0.29954,0.27005,0.75229,0.55843,0.373656
10_hackerearth,off,True,dt,2,0.8269,0.13672,0.43003,0.93687,0.27906,0.24875,0.73635,0.53018,0.374914
10_hackerearth,off,True,gnb,0,0.6777,0.23434,0.44055,0.36216,0.56225,0.13792,0.68701,0.42765,0.078766
10_hackerearth,off,True,gnb,1,0.6911,0.22536,0.45549,0.3908,0.54584,0.1387,0.68957,0.44,0.072406
10_hackerearth,off,True,gnb,2,0.6684,0.2423,0.43219,0.36057,0.53932,0.11964,0.66885,0.41657,0.070975
10_hackerearth,off,True,knn,0,0.7844,0.15712,0.20968,0.60722,0.12672,0.15073,0.70405,0.43486,0.972087
10_hackerearth,off,True,knn,1,0.774,0.16303,0.19972,0.61707,0.11914,0.14651,0.69779,0.43422,0.946251
10_hackerearth,off,True,knn,2,0.7711,0.16348,0.20327,0.54784,0.12479,0.13439,0.69153,0.41894,0.929549
10_hackerearth,off,True,lda,0,0.8002,0.14064,0.44096,0.59833,0.34914,0.28035,0.78552,0.51091,0.274759
10_hackerearth,off,True,lda,1,0.788,0.14545,0.4298,0.59141,0.33756,0.28174,0.7861,0.52508,0.275998
10_hackerearth,off,True,lda,2,0.7873,0.14748,0.43745,0.57391,0.35342,0.26717,0.77891,0.5028,0.325995
10_hackerearth,off,True,lgbm,0,0.8823,0.0927,0.68887,0.85387,0.57732,0.52734,0.8908,0.79303,1.236108
10_hackerearth,off,True,lgbm,1,0.8804,0.09341,0.69614,0.87317,0.57879,0.54345,0.89522,0.80836,1.216996
10_hackerearth,off,True,lgbm,2,0.8782,0.09588,0.69149,0.84888,0.58333,0.52733,0.88908,0.79175,1.060242
10_hackerearth,off,True,lr,0,0.8076,0.1372,0.44997,0.63417,0.34869,0.30278,0.79534,0.53115,4.799793
10_hackerearth,off,True,lr,1,0.7977,0.14105,0.43977,0.63826,0.33545,0.3033,0.79712,0.55072,5.749441
10_hackerearth,off,True,lr,2,0.7959,0.14303,0.45061,0.60873,0.35769,0.28923,0.79059,0.52323,6.548937
10_hackerearth,off,True,rf,0,0.8368,0.1272,0.45124,0.93584,0.2973,0.32106,0.79859,0.64475,11.434765
10_hackerearth,off,True,rf,1,0.8277,0.13102,0.44113,0.94972,0.28728,0.33182,0.80421,0.66347,11.156189
10_hackerearth,off,True,rf,2,0.8262,0.13361,0.43054,0.92275,0.28077,0.30156,0.78981,0.62959,11.057
10_hackerearth,off,True,tabnet,0,0.6636,0.19927,0.48246,0.36955,0.69473,0.217,0.74787,0.5104,46.985063
10_hackerearth,off,True,tabnet,1,0.662,0.2155,0.49612,0.38332,0.703,0.19895,0.73509,0.49218,46.910786
10_hackerearth,off,True,tabnet,2,0.6711,0.20352,0.46616,0.37582,0.61368,0.16225,0.70579,0.47085,46.860208
10_hackerearth,off,True,xgb,0,0.8772,0.09348,0.65389,0.89853,0.51396,0.5271,0.89278,0.79368,1.468702
10_hackerearth,off,True,xgb,1,0.8738,0.09485,0.65818,0.91698,0.51331,0.55002,0.90003,0.81285,1.47356
10_hackerearth,off,True,xgb,2,0.8699,0.0982,0.64463,0.89326,0.50427,0.52145,0.89144,0.78891,1.435206
