dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
10_hackerearth,on (ratio=0.1),True,ab,0,0.7743,0.16003,0.0,0.0,0.0,0.20521,0.73101,0.49871,15.463764
10_hackerearth,on (ratio=0.1),True,ab,1,0.7633,0.16558,0.0,0.0,0.0,0.20555,0.72812,0.50152,16.61576
10_hackerearth,on (ratio=0.1),True,ab,2,0.766,0.1637,0.0,0.0,0.0,0.17716,0.7105,0.47424,16.219211
10_hackerearth,on (ratio=0.1),True,ann,0,0.7886,0.16018,0.14413,0.83568,0.07887,0.21726,0.74927,0.50562,14.560604
10_hackerearth,on (ratio=0.1),True,ann,1,0.7825,0.16574,0.18202,0.82877,0.10224,0.21766,0.74963,0.5219,15.134242
10_hackerearth,on (ratio=0.1),True,ann,2,0.7845,0.16836,0.17338,0.84644,0.09658,0.19469,0.73327,0.50188,17.38802
10_hackerearth,on (ratio=0.1),True,bnb,0,0.781,0.16195,0.2019,0.56879,0.12273,0.17069,0.72456,0.44037,0.050937
10_hackerearth,on (ratio=0.1),True,bnb,1,0.7779,0.16481,0.2264,0.64484,0.1373,0.18528,0.73219,0.47195,0.070494
10_hackerearth,on (ratio=0.1),True,bnb,2,0.7689,0.17179,0.27441,0.51716,0.18675,0.14698,0.70605,0.42689,0.054066
10_hackerearth,on (ratio=0.1),True,cb,0,0.8445,0.11951,0.48493,0.96063,0.32432,0.49098,0.8686,0.76949,14.185254
10_hackerearth,on (ratio=0.1),True,cb,1,0.8386,0.1239,0.49181,0.96539,0.32995,0.50685,0.87924,0.78927,14.771032
10_hackerearth,on (ratio=0.1),True,cb,2,0.8341,0.12903,0.46467,0.94862,0.30769,0.4598,0.8619,0.75109,13.853397
10_hackerearth,on (ratio=0.1),True,dt,0,0.8376,0.14106,0.45135,0.95021,0.29597,0.25534,0.73134,0.5377,0.264795
10_hackerearth,on (ratio=0.1),True,dt,1,0.832,0.14521,0.46154,0.95618,0.30418,0.27099,0.74953,0.55824,0.269817
10_hackerearth,on (ratio=0.1),True,dt,2,0.8264,0.15033,0.43007,0.92776,0.27991,0.24048,0.72873,0.52558,0.260149
10_hackerearth,on (ratio=0.1),True,gnb,0,0.7397,0.19659,0.40448,0.41816,0.39167,0.11842,0.6746,0.39949,0.067173
10_hackerearth,on (ratio=0.1),True,gnb,1,0.7408,0.195,0.40849,0.44417,0.37812,0.12626,0.68223,0.42598,0.073098
10_hackerearth,on (ratio=0.1),True,gnb,2,0.7125,0.21681,0.40856,0.39389,0.42436,0.10905,0.65932,0.40651,0.067553
10_hackerearth,on (ratio=0.1),True,knn,0,0.7745,0.1771,0.00177,1.0,0.00089,0.11524,0.67602,0.39515,0.90779
10_hackerearth,on (ratio=0.1),True,knn,1,0.7635,0.18429,0.00253,0.75,0.00127,0.11622,0.67144,0.41089,0.897128
10_hackerearth,on (ratio=0.1),True,knn,2,0.7667,0.18314,0.00681,0.88889,0.00342,0.10808,0.66884,0.3958,0.932363
10_hackerearth,on (ratio=0.1),True,lda,0,0.783,0.15837,0.15891,0.63467,0.09083,0.2685,0.7774,0.49961,0.4313
10_hackerearth,on (ratio=0.1),True,lda,1,0.7768,0.1628,0.18718,0.6781,0.10858,0.28206,0.7814,0.5239,0.237965
10_hackerearth,on (ratio=0.1),True,lda,2,0.7765,0.16513,0.1911,0.62411,0.11282,0.25497,0.77167,0.49642,0.216249
10_hackerearth,on (ratio=0.1),True,lgbm,0,0.8497,0.11561,0.51406,0.95096,0.35224,0.47574,0.86743,0.76094,0.898428
10_hackerearth,on (ratio=0.1),True,lgbm,1,0.8398,0.12322,0.50062,0.95482,0.33925,0.47124,0.86827,0.76562,0.906092
10_hackerearth,on (ratio=0.1),True,lgbm,2,0.8368,0.12708,0.48223,0.93596,0.32479,0.43525,0.85049,0.73387,0.984953
10_hackerearth,on (ratio=0.1),True,lr,0,0.7802,0.15759,0.10359,0.65128,0.05627,0.28727,0.78604,0.52017,3.040024
10_hackerearth,on (ratio=0.1),True,lr,1,0.7763,0.16046,0.15104,0.74254,0.08407,0.30199,0.79037,0.55459,3.418748
10_hackerearth,on (ratio=0.1),True,lr,2,0.7747,0.16155,0.1404,0.6548,0.07863,0.27493,0.78142,0.51982,3.935566
10_hackerearth,on (ratio=0.1),True,rf,0,0.8187,0.14553,0.33174,0.98684,0.19938,0.28865,0.77435,0.61695,7.303575
10_hackerearth,on (ratio=0.1),True,rf,1,0.8062,0.15208,0.30934,0.98861,0.18335,0.30259,0.78362,0.63899,7.77147
10_hackerearth,on (ratio=0.1),True,rf,2,0.8076,0.15299,0.30891,0.96847,0.18376,0.272,0.76425,0.60585,7.387045
10_hackerearth,on (ratio=0.1),True,tabnet,0,0.6248,0.21826,0.45718,0.33942,0.70004,0.18269,0.71871,0.49516,40.999493
10_hackerearth,on (ratio=0.1),True,tabnet,1,0.6883,0.19778,0.48231,0.39737,0.61343,0.19506,0.72343,0.5199,59.17278
10_hackerearth,on (ratio=0.1),True,tabnet,2,0.6751,0.20193,0.45696,0.37524,0.58419,0.17241,0.70918,0.48498,57.515675
10_hackerearth,on (ratio=0.1),True,xgb,0,0.8436,0.11997,0.48074,0.95894,0.32078,0.45796,0.86247,0.74772,0.60129
10_hackerearth,on (ratio=0.1),True,xgb,1,0.8346,0.12614,0.47392,0.95882,0.31474,0.46434,0.86807,0.76128,0.605478
10_hackerearth,on (ratio=0.1),True,xgb,2,0.8313,0.13056,0.45281,0.93943,0.29829,0.42503,0.84965,0.72592,0.617981
