dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,off,False,ab,0,0.80009,0.24196,0.51594,0.63871,0.43275,0.34324,0.82972,0.60992,8.182422
11_cobranded,off,False,ab,1,0.79998,0.24191,0.51641,0.65008,0.42834,0.34273,0.83018,0.61281,13.063936
11_cobranded,off,False,ab,2,0.80432,0.24184,0.52058,0.64372,0.43699,0.34103,0.82893,0.60413,5.510872
11_cobranded,off,False,ann,0,0.79383,0.14387,0.44024,0.6638,0.32932,0.30364,0.80913,0.58394,1444.644224
11_cobranded,off,False,ann,1,0.78078,0.14681,0.30355,0.73009,0.19161,0.30282,0.80991,0.58407,1448.801402
11_cobranded,off,False,ann,2,0.79554,0.14202,0.4125,0.6843,0.29523,0.30727,0.8106,0.58115,1298.403749
11_cobranded,off,False,bnb,0,0.75063,0.19087,0.53057,0.49441,0.57243,0.25802,0.78382,0.52484,0.499951
11_cobranded,off,False,bnb,1,0.75108,0.19432,0.53535,0.50072,0.57512,0.25171,0.78007,0.51385,0.278381
11_cobranded,off,False,bnb,2,0.75006,0.19439,0.52471,0.48793,0.56748,0.24441,0.77637,0.51275,0.267025
11_cobranded,off,False,cb,0,0.81025,0.13137,0.54225,0.66763,0.45651,0.36563,0.83959,0.63897,42.757798
11_cobranded,off,False,cb,1,0.80695,0.1331,0.53437,0.6703,0.44428,0.36483,0.84012,0.63458,43.484289
11_cobranded,off,False,cb,2,0.80901,0.13227,0.53202,0.65795,0.44655,0.35656,0.83607,0.62534,49.055231
11_cobranded,off,False,dt,0,0.72862,0.27128,0.45566,0.45007,0.46139,0.10951,0.63869,0.34041,3.810872
11_cobranded,off,False,dt,1,0.72858,0.27141,0.46138,0.45662,0.46624,0.11256,0.64101,0.34601,3.956887
11_cobranded,off,False,dt,2,0.73378,0.26621,0.46435,0.45451,0.47463,0.11971,0.64588,0.34348,3.859072
11_cobranded,off,False,gnb,0,0.71632,0.25238,0.57233,0.45505,0.77106,0.28229,0.79369,0.51851,0.203606
11_cobranded,off,False,gnb,1,0.73222,0.23921,0.57753,0.47601,0.7341,0.27783,0.79192,0.51353,0.276156
11_cobranded,off,False,gnb,2,0.70633,0.26302,0.56117,0.44068,0.77233,0.26915,0.78717,0.5014,0.422436
11_cobranded,off,False,knn,0,0.77883,0.1615,0.4579,0.57729,0.37944,0.22855,0.75204,0.47156,1.26139
11_cobranded,off,False,knn,1,0.7744,0.16345,0.46045,0.57032,0.38607,0.22745,0.75105,0.47564,1.989632
11_cobranded,off,False,knn,2,0.78092,0.15973,0.46668,0.57168,0.39426,0.23269,0.75372,0.47508,1.846657
11_cobranded,off,False,lda,0,0.8014,0.13792,0.50188,0.65601,0.4064,0.33306,0.82321,0.59995,2.072988
11_cobranded,off,False,lda,1,0.79645,0.14006,0.49563,0.64843,0.40111,0.33085,0.82303,0.59757,3.356453
11_cobranded,off,False,lda,2,0.80233,0.13722,0.50297,0.64702,0.41138,0.33229,0.82327,0.59361,3.505239
11_cobranded,off,False,lgbm,0,0.80856,0.13227,0.53679,0.66382,0.45057,0.36088,0.83721,0.63368,712.450207
11_cobranded,off,False,lgbm,1,0.80459,0.1339,0.53058,0.6615,0.44292,0.35933,0.83756,0.62924,783.355278
11_cobranded,off,False,lgbm,2,0.81032,0.13218,0.53262,0.66421,0.44455,0.35592,0.8356,0.62567,876.321124
11_cobranded,off,False,lr,0,0.80054,0.13684,0.49367,0.65812,0.39497,0.33607,0.82599,0.60575,0.618406
11_cobranded,off,False,lr,1,0.79769,0.13821,0.49328,0.65683,0.39495,0.33544,0.82669,0.60507,0.853922
11_cobranded,off,False,lr,2,0.80342,0.13654,0.50048,0.6547,0.40506,0.33283,0.82443,0.59745,0.994857
11_cobranded,off,False,rf,0,0.80729,0.13454,0.51615,0.67579,0.41752,0.34958,0.83129,0.6207,15.001959
11_cobranded,off,False,rf,1,0.80395,0.13641,0.51131,0.67548,0.41134,0.34586,0.82916,0.61544,25.202425
11_cobranded,off,False,rf,2,0.80788,0.13404,0.51093,0.67034,0.41277,0.34768,0.83031,0.61492,30.164243
11_cobranded,off,False,tabnet,0,0.73319,0.17232,0.58885,0.47439,0.77609,0.3397,0.82778,0.60484,185.482904
11_cobranded,off,False,tabnet,1,0.73957,0.16932,0.59769,0.48606,0.77591,0.34744,0.83135,0.61406,99.454518
11_cobranded,off,False,tabnet,2,0.73206,0.17126,0.58155,0.46875,0.76585,0.33738,0.8267,0.60186,264.693928
11_cobranded,off,False,tabpfn,0,0.80425,0.13465,0.47863,0.6951,0.36497,0.35376,0.83439,0.62368,179.240275
11_cobranded,off,False,tabpfn,1,0.80121,0.13569,0.47861,0.69159,0.36592,0.35644,0.8361,0.62585,180.514998
11_cobranded,off,False,tabpfn,2,0.80627,0.13431,0.49053,0.68007,0.38362,0.3473,0.82907,0.61686,184.142983
11_cobranded,off,False,xgb,0,0.80234,0.13657,0.5349,0.6357,0.46169,0.34289,0.82814,0.61292,166.595639
11_cobranded,off,False,xgb,1,0.80076,0.13871,0.53251,0.64165,0.45511,0.33921,0.82801,0.61046,113.934553
11_cobranded,off,False,xgb,2,0.8032,0.13785,0.52874,0.63271,0.45411,0.33116,0.82325,0.60245,192.719778
