dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,on (ratio=0.1),False,ab,0,0.77849,0.23926,0.23196,0.79218,0.13587,0.33675,0.826,0.60328,5.876584
11_cobranded,on (ratio=0.1),False,ab,1,0.77575,0.23827,0.24552,0.76194,0.14634,0.33861,0.8273,0.60184,5.78939
11_cobranded,on (ratio=0.1),False,ab,2,0.78081,0.23893,0.23304,0.78032,0.13697,0.3351,0.82507,0.59765,5.515534
11_cobranded,on (ratio=0.1),False,ann,0,0.75382,0.18165,0.0,0.0,0.0,0.29102,0.80281,0.56984,600.03649
11_cobranded,on (ratio=0.1),False,ann,1,0.75067,0.1757,0.0,0.0,0.0,0.28884,0.80152,0.57256,554.335059
11_cobranded,on (ratio=0.1),False,ann,2,0.75688,0.17882,0.0,0.0,0.0,0.29503,0.80451,0.57058,931.974273
11_cobranded,on (ratio=0.1),False,bnb,0,0.77028,0.18085,0.48382,0.54139,0.43732,0.25721,0.78325,0.52398,0.226094
11_cobranded,on (ratio=0.1),False,bnb,1,0.76297,0.18587,0.49012,0.52853,0.45691,0.25223,0.78024,0.51473,0.200058
11_cobranded,on (ratio=0.1),False,bnb,2,0.76577,0.1828,0.47353,0.52202,0.43329,0.24505,0.77649,0.51297,0.178988
11_cobranded,on (ratio=0.1),False,cb,0,0.78164,0.15678,0.24777,0.81548,0.14608,0.35481,0.83504,0.62489,23.920185
11_cobranded,on (ratio=0.1),False,cb,1,0.78089,0.1582,0.27154,0.79373,0.16378,0.35352,0.83539,0.62451,17.801597
11_cobranded,on (ratio=0.1),False,cb,2,0.78448,0.15603,0.25509,0.7987,0.15178,0.34709,0.83163,0.61438,11.365267
11_cobranded,on (ratio=0.1),False,dt,0,0.754,0.24589,0.35674,0.50069,0.27708,0.07737,0.59345,0.31689,2.401557
11_cobranded,on (ratio=0.1),False,dt,1,0.75393,0.24606,0.36513,0.5118,0.2838,0.08197,0.59696,0.32386,1.96018
11_cobranded,on (ratio=0.1),False,dt,2,0.75178,0.24822,0.35165,0.48175,0.27688,0.07138,0.5906,0.30919,1.619494
11_cobranded,on (ratio=0.1),False,gnb,0,0.74215,0.2295,0.57292,0.48369,0.70251,0.28188,0.7935,0.51888,0.246935
11_cobranded,on (ratio=0.1),False,gnb,1,0.68617,0.28339,0.56364,0.43136,0.8129,0.27684,0.79085,0.51335,0.144859
11_cobranded,on (ratio=0.1),False,gnb,2,0.74383,0.22853,0.55209,0.48016,0.64939,0.26855,0.78746,0.50189,0.091829
11_cobranded,on (ratio=0.1),False,knn,0,0.77095,0.18038,0.21248,0.69186,0.12551,0.18028,0.699,0.42726,0.893271
11_cobranded,on (ratio=0.1),False,knn,1,0.77005,0.18248,0.23769,0.6853,0.14378,0.17418,0.69594,0.42851,0.828256
11_cobranded,on (ratio=0.1),False,knn,2,0.77514,0.17847,0.23246,0.68322,0.14006,0.17365,0.69521,0.42156,0.707288
