dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,on (ratio=0.5),False,ab,0,0.7872,0.18707,0.5616,0.58223,0.54238,0.32228,0.8182,0.58697,2.479982
11_cobranded,on (ratio=0.5),False,ab,1,0.7857,0.18463,0.56239,0.5669,0.55794,0.32246,0.81749,0.59429,2.413362
11_cobranded,on (ratio=0.5),False,ab,2,0.7791,0.18619,0.55705,0.55963,0.55449,0.31859,0.81753,0.57966,2.436045
11_cobranded,on (ratio=0.5),False,ann,0,0.79,0.14556,0.49689,0.62432,0.41265,0.30956,0.81111,0.58736,7.672486
11_cobranded,on (ratio=0.5),False,ann,1,0.786,0.14625,0.54565,0.57315,0.52066,0.32434,0.81982,0.59483,6.096878
11_cobranded,on (ratio=0.5),False,ann,2,0.7887,0.14517,0.51031,0.60829,0.43952,0.31372,0.8143,0.59028,6.15476
11_cobranded,on (ratio=0.5),False,bnb,0,0.7317,0.21074,0.53184,0.47359,0.60645,0.23701,0.76893,0.49814,0.031011
11_cobranded,on (ratio=0.5),False,bnb,1,0.7417,0.19901,0.55211,0.48257,0.64506,0.26572,0.78376,0.52711,0.029988
11_cobranded,on (ratio=0.5),False,bnb,2,0.7353,0.20439,0.53973,0.47813,0.61956,0.24829,0.77463,0.5185,0.030514
11_cobranded,on (ratio=0.5),False,cb,0,0.8034,0.13721,0.55338,0.64479,0.48468,0.34744,0.82992,0.62254,6.373034
11_cobranded,on (ratio=0.5),False,cb,1,0.8068,0.13361,0.55153,0.64565,0.48136,0.35962,0.83558,0.62973,6.30649
11_cobranded,on (ratio=0.5),False,cb,2,0.8006,0.13606,0.54682,0.63483,0.48024,0.34999,0.83307,0.62944,6.402281
11_cobranded,on (ratio=0.5),False,dt,0,0.7183,0.2817,0.46516,0.44481,0.48747,0.10889,0.64162,0.34563,0.687249
