dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,off,True,ab,0,0.79578,0.21443,0.43412,0.6829,0.3182,0.33173,0.824,0.59956,7.241177
11_cobranded,off,True,ab,1,0.79237,0.21413,0.43193,0.67947,0.31659,0.33098,0.824,0.59898,7.301708
11_cobranded,off,True,ab,2,0.79866,0.21422,0.43609,0.68334,0.32022,0.32856,0.82265,0.5957,7.100485
11_cobranded,off,True,ann,0,0.79462,0.14238,0.41516,0.69429,0.29612,0.31722,0.81676,0.5931,13.154767
11_cobranded,off,True,ann,1,0.79282,0.14326,0.43071,0.6839,0.31433,0.31673,0.8173,0.59341,14.423866
11_cobranded,off,True,ann,2,0.79892,0.141,0.43924,0.68204,0.32392,0.31658,0.81613,0.58886,13.876186
11_cobranded,off,True,bnb,0,0.75063,0.19087,0.53057,0.49441,0.57243,0.25802,0.78382,0.52484,0.063707
11_cobranded,off,True,bnb,1,0.75108,0.19432,0.53535,0.50072,0.57512,0.2517,0.78007,0.51385,0.123776
11_cobranded,off,True,bnb,2,0.75006,0.19439,0.52471,0.48793,0.56748,0.24441,0.77637,0.51275,0.081477
11_cobranded,off,True,cb,0,0.81014,0.13179,0.53461,0.67408,0.44296,0.36298,0.8387,0.63749,0.924247
11_cobranded,off,True,cb,1,0.80579,0.13379,0.5263,0.67157,0.4327,0.36036,0.83788,0.63014,0.990034
11_cobranded,off,True,cb,2,0.81047,0.13199,0.52854,0.66863,0.43699,0.35816,0.83621,0.62572,0.950557
11_cobranded,off,True,dt,0,0.79087,0.1455,0.47132,0.624,0.37867,0.29684,0.80333,0.54987,0.512381
11_cobranded,off,True,dt,1,0.7891,0.14722,0.48089,0.62246,0.39179,0.29944,0.80543,0.54298,0.496895
11_cobranded,off,True,dt,2,0.79352,0.14436,0.49744,0.60921,0.42033,0.29788,0.80529,0.54121,0.4971
11_cobranded,off,True,gnb,0,0.75667,0.1897,0.57657,0.50434,0.67296,0.30593,0.8072,0.5641,0.05062
11_cobranded,off,True,gnb,1,0.75603,0.18971,0.57797,0.50816,0.67003,0.2993,0.80396,0.55955,0.046644
11_cobranded,off,True,gnb,2,0.76401,0.18737,0.57315,0.5115,0.6517,0.29816,0.80216,0.53924,0.046724
11_cobranded,off,True,knn,0,0.79417,0.14371,0.45301,0.65504,0.34623,0.29382,0.80126,0.55944,1.067132
11_cobranded,off,True,knn,1,0.79053,0.14583,0.45502,0.6476,0.35073,0.29111,0.7997,0.55792,1.022288
11_cobranded,off,True,knn,2,0.79757,0.142,0.46342,0.65166,0.35956,0.29727,0.80339,0.55942,1.021922
11_cobranded,off,True,lda,0,0.8014,0.13792,0.50188,0.65601,0.4064,0.33306,0.82321,0.59995,0.107474
