dataset,imbalance_setting,tuning,model,split,accuracy,brier,f1,precision,recall,h_measure,aucroc,aucpr,training_time
11_cobranded,off,True,ab,0,0.7944,0.16541,0.46262,0.67403,0.35217,0.33202,0.82255,0.59711,22.615778
11_cobranded,off,True,ab,1,0.8005,0.16344,0.46814,0.68433,0.35575,0.34248,0.82757,0.60776,19.181473
11_cobranded,off,True,ab,2,0.7965,0.16507,0.46546,0.68049,0.35369,0.33567,0.82541,0.60728,19.243137
11_cobranded,off,True,ann,0,0.7984,0.13913,0.55983,0.62022,0.51015,0.34185,0.82697,0.61011,219.500789
11_cobranded,off,True,ann,1,0.8056,0.13434,0.5428,0.64686,0.46759,0.35535,0.83381,0.62244,70.679691
11_cobranded,off,True,ann,2,0.8008,0.13642,0.51224,0.66244,0.41756,0.34625,0.83034,0.62238,64.337259
11_cobranded,off,True,bnb,0,0.7447,0.2004,0.53216,0.49321,0.5778,0.24594,0.7754,0.50632,0.028429
11_cobranded,off,True,bnb,1,0.7554,0.18758,0.54887,0.50372,0.60292,0.27288,0.78909,0.53396,0.032317
11_cobranded,off,True,bnb,2,0.7477,0.19406,0.5306,0.49686,0.56926,0.25432,0.77992,0.52554,0.028527
11_cobranded,off,True,cb,0,0.8044,0.13514,0.54128,0.65905,0.45921,0.35768,0.8342,0.6268,1.280684
11_cobranded,off,True,cb,1,0.8084,0.13212,0.5354,0.66667,0.44733,0.36589,0.83856,0.63414,1.382051
11_cobranded,off,True,cb,2,0.8058,0.13402,0.53563,0.66786,0.44711,0.36052,0.83736,0.6344,1.400136
11_cobranded,off,True,dt,0,0.7803,0.14886,0.50485,0.58212,0.44568,0.27537,0.7906,0.54048,0.444741
11_cobranded,off,True,dt,1,0.7916,0.14474,0.5,0.61294,0.4222,0.29247,0.80178,0.53834,0.437284
11_cobranded,off,True,dt,2,0.7827,0.14792,0.42831,0.62809,0.32495,0.27791,0.795,0.53304,0.434747
11_cobranded,off,True,gnb,0,0.7342,0.20622,0.57349,0.48051,0.7111,0.30114,0.80301,0.55993,0.03166
11_cobranded,off,True,gnb,1,0.752,0.19155,0.58179,0.49827,0.69895,0.31293,0.80984,0.56534,0.032398
11_cobranded,off,True,gnb,2,0.7614,0.18243,0.57408,0.51921,0.64192,0.30203,0.80639,0.55514,0.03224
11_cobranded,off,True,knn,0,0.7966,0.14324,0.47766,0.67343,0.37008,0.30908,0.80881,0.59111,0.721425
11_cobranded,off,True,knn,1,0.8002,0.13891,0.46606,0.68446,0.35332,0.32814,0.81864,0.60429,0.404309
11_cobranded,off,True,knn,2,0.7896,0.14403,0.46051,0.64373,0.35848,0.30614,0.80787,0.58156,0.383108
11_cobranded,off,True,lda,0,0.7973,0.14099,0.51145,0.64853,0.4222,0.33085,0.82064,0.59411,0.116129
11_cobranded,off,True,lda,1,0.7999,0.13823,0.50458,0.64863,0.41288,0.34,0.82614,0.59784,0.083225
11_cobranded,off,True,lda,2,0.7975,0.14004,0.51381,0.64458,0.42715,0.33073,0.8224,0.60026,0.053633
11_cobranded,off,True,lgbm,0,0.8032,0.13558,0.53497,0.65852,0.45046,0.35625,0.83331,0.62294,0.244966
11_cobranded,off,True,lgbm,1,0.8078,0.13255,0.5344,0.66446,0.44692,0.36325,0.83785,0.63225,0.25831
11_cobranded,off,True,lgbm,2,0.8036,0.13507,0.52652,0.66464,0.43593,0.35416,0.83463,0.62917,0.26148
11_cobranded,off,True,lr,0,0.7959,0.13974,0.50449,0.64695,0.41345,0.33409,0.82325,0.59696,0.658933
11_cobranded,off,True,lr,1,0.8001,0.13638,0.5036,0.65042,0.41086,0.34459,0.82959,0.60611,0.664951
11_cobranded,off,True,lr,2,0.8013,0.13849,0.5197,0.6587,0.42914,0.33665,0.82562,0.6072,0.612894
11_cobranded,off,True,rf,0,0.8015,0.13643,0.51408,0.66794,0.41783,0.3541,0.83164,0.62022,11.333907
11_cobranded,off,True,rf,1,0.8095,0.1334,0.51316,0.69481,0.40681,0.36279,0.8358,0.63512,10.339838
11_cobranded,off,True,rf,2,0.7999,0.13634,0.50335,0.66535,0.40479,0.35016,0.83157,0.62789,10.517933
11_cobranded,off,True,tabnet,0,0.7353,0.17236,0.5884,0.4829,0.75288,0.33148,0.82139,0.59913,80.928413
11_cobranded,off,True,tabnet,1,0.752,0.16547,0.59237,0.49834,0.73015,0.3363,0.82356,0.59898,74.507264
11_cobranded,off,True,tabnet,2,0.7445,0.1685,0.59218,0.49335,0.74052,0.33555,0.82447,0.60503,62.955447
11_cobranded,off,True,xgb,0,0.8059,0.13504,0.53994,0.66764,0.45324,0.35705,0.8341,0.62789,0.794364
11_cobranded,off,True,xgb,1,0.8091,0.13207,0.53405,0.67158,0.44327,0.36668,0.83932,0.6355,0.825232
11_cobranded,off,True,xgb,2,0.8035,0.13462,0.52957,0.66148,0.44152,0.35763,0.83548,0.63338,0.825335
